House number,Street name,Postal code,Latitude,Longitude
3401,Bromley Lane,80601,39.9733136,-104.7823568
140,Bush Street,80601,39.9844220,-104.8231105
12045,Moline Street,80640,39.9153337,-104.8540633
269,East Bridge Street,80601,39.9870774,-104.8198555
737,South Main Street,80601,39.9750475,-104.8259593
1790,East Bridge Street,80601,39.9864968,-104.8008480
2315,Prairie Center Parkway,80601,39.9525274,-104.7811107
15958,County Road 4,80603,40.0146496,-104.7550807
1610,Prairie Center Parkway,80601,39.9646483,-104.7685781
1072,Prairie Center Parkway,80601,39.9712480,-104.7703710
96,North 50th Avenue,80601,39.9880461,-104.7502507
96,North 50th Avenue,80601,39.9879732,-104.7502496
96,North 50th Avenue,80601,39.9878989,-104.7502496
96,North 50th Avenue,80601,39.9878435,-104.7502480
2700,East Bridge Street,80601,39.9865059,-104.7914117
2730,East Bridge Street,80601,39.9864679,-104.7910389
125,West Bridge Street,80601,39.9873856,-104.8268970
125,West Bridge Street,80601,39.9873486,-104.8265750
125,West Bridge Street,80601,39.9873342,-104.8261430
119,West Bridge Street,80601,39.9871804,-104.8258260
119,West Bridge Street,80601,39.9872877,-104.8258200
119,West Bridge Street,80601,39.9873986,-104.8258120
233,North Main Street,80601,39.9905914,-104.8205000
55,North Kuner Road,80601,39.9876061,-104.8249448
992,South 4th Avenue,80601,39.9698851,-104.8177330
240,West Jessup Street,80601,39.9772974,-104.8256650
1821,East Bridge Street,80601,39.9873585,-104.7996994
79,East Bromley Lane,80601,39.9726913,-104.8225897
21,County Road 27,80603,40.0006691,-104.8172179
119,East Bridge Street,80601,39.9869700,-104.8217200
139,North Main Street,80601,39.9886538,-104.8211080
275,South 4th Avenue,80601,39.9824122,-104.8184526
177,East Bridge Street,80601,39.9870175,-104.8207031
4833,East Bridge Street,80601,39.9873527,-104.7547663
125,West Bridge Street,80601,39.9874495,-104.8268254
13300,Riverdale Road,80602,39.9341412,-104.8731986
356,Longspur Drive,80601,39.9824264,-104.7460619
140,Bush Street,80601,39.9845845,-104.8235123
250,Pavilions Place,80601,39.9826448,-104.8234042
1111,Judicial Center Drive,80601,39.9677886,-104.7650454
1100,Judicial Center Drive,80601,39.9692815,-104.7607557
1000,Judicial Center Drive,80601,39.9713654,-104.7601935
4980,East Bromley Lane,80601,39.9692377,-104.7581984
1150,Prairie Center Parkway,80601,39.9691150,-104.7698070
1600,Prairie Center Parkway,80601,39.9646560,-104.7688915
