House number,Street name,Postal code,Latitude,Longitude
7284,Lagae Road,80108,39.4685880,-104.8796210
1414,Castle Pines Parkway,80109,39.4694308,-104.9097148
7298,Lagae Road,80108,39.4692151,-104.8820000
562,East Castle Pines Parkway,80108,39.4700440,-104.8740995
562,East Castle Pines Parkway,80108,39.4700432,-104.8740233
361,Village Square Lane,80108,39.4705346,-104.8798655
361,Village Square Lane,80108,39.4705947,-104.8796211
250,Max Drive,80108,39.4704908,-104.8819778
250,Max Drive,80108,39.4705686,-104.8818317
363,Village Square Lane,80108,39.4707975,-104.8788373
7280,Lagae Road,80108,39.4682272,-104.8806686
7280,Lagae Road,80108,39.4684368,-104.8801558
7437,Village Square Drive,80108,39.4703358,-104.8789864
361,Village Square Lane,80108,39.4704828,-104.8800595
361,Village Square Lane,80108,39.4706090,-104.8795678
363,Village Square Lane,80108,39.4706875,-104.8792499
363,Village Square Lane,80108,39.4707590,-104.8790039
363,Village Square Lane,80108,39.4708714,-104.8785068
7303,Brixham Circle,80108,39.4682150,-104.9017821
7390,Brixham Circle,80108,39.4698734,-104.9013938
7310,Brixham Circle,80108,39.4685910,-104.9015121
7350,Brixham Circle,80108,39.4692817,-104.9020566
7290,Brixham Circle,80108,39.4685397,-104.9009721
7367,Brixham Circle,80108,39.4696598,-104.9025656
7300,Brixham Circle,80108,39.4685253,-104.9012553
7340,Brixham Circle,80108,39.4690682,-104.9019662
7280,Brixham Circle,80108,39.4685911,-104.9007109
7359,Brixham Circle,80108,39.4694516,-104.9026491
7330,Brixham Circle,80108,39.4689045,-104.9018653
7263,Brixham Circle,80108,39.4684072,-104.8999097
7380,Brixham Circle,80108,39.4697775,-104.9015996
7351,Brixham Circle,80108,39.4691994,-104.9026725
7255,Brixham Circle,80108,39.4685716,-104.8997177
7335,Brixham Circle,80108,39.4688184,-104.9024965
7271,Brixham Circle,80108,39.4682986,-104.9001490
7319,Brixham Circle,80108,39.4684789,-104.9022000
7343,Brixham Circle,80108,39.4690253,-104.9025964
7320,Brixham Circle,80108,39.4687400,-104.9017106
7279,Brixham Circle,80108,39.4682315,-104.9004338
7370,Brixham Circle,80108,39.4696595,-104.9018270
7260,Brixham Circle,80108,39.4688451,-104.9002157
7311,Brixham Circle,80108,39.4683480,-104.9020283
7327,Brixham Circle,80108,39.4686437,-104.9023489
7360,Brixham Circle,80108,39.4694832,-104.9020090
7270,Brixham Circle,80108,39.4686622,-104.9004655
6425,Montano Place,80108,39.4905530,-104.9141852
6410,Montano Place,80108,39.4901179,-104.9145144
6415,Montano Place,80108,39.4904273,-104.9144376
6420,Montano Place,80108,39.4899396,-104.9142757
6450,Montano Place,80108,39.4899709,-104.9140142
6455,Montano Place,80108,39.4905152,-104.9138740
7311,Woodglen Place,80108,39.4686365,-104.9061733
7328,Woodglen Place,80108,39.4686584,-104.9051802
7301,Woodglen Place,80108,39.4684867,-104.9064922
7320,Woodglen Place,80108,39.4684691,-104.9053697
7302,Woodglen Place,80108,39.4681752,-104.9059465
7332,Woodglen Place,80108,39.4687643,-104.9047805
7312,Woodglen Place,80108,39.4683083,-104.9057048
951,Buffalo Ridge Road,80108,39.4743070,-104.9044757
1254,Buffalo Ridge Road,80108,39.4754512,-104.9079120
1159,Buffalo Ridge Road,80108,39.4758521,-104.9047816
962,Buffalo Ridge Road,80108,39.4734109,-104.9045466
1217,Buffalo Ridge Road,80108,39.4764683,-104.9070315
1086,Buffalo Ridge Road,80108,39.4746964,-104.9073793
1283,Buffalo Ridge Road,80108,39.4757947,-104.9093415
1186,Buffalo Ridge Road,80108,39.4760931,-104.9057305
1047,Buffalo Ridge Road,80108,39.4737382,-104.9069719
994,Buffalo Ridge Road,80108,39.4729243,-104.9057788
1292,Buffalo Ridge Road,80108,39.4751635,-104.9091385
