House number,Street name,Postal code,Latitude,Longitude
530,Reynolds Street,80621,40.0755438,-104.8120104
530,Reynolds Street,80621,40.0755611,-104.8139702
1121,Denver Avenue,80621,40.0904527,-104.8109091
105,1st Street,80621,40.0803825,-104.8179640
111,South Rollie Avenue,80621,40.0796653,-104.8052530
104,Denver Avenue,80621,40.0805508,-104.8101725
104,Denver Avenue,80621,40.0805531,-104.8099865
1115,1st Street,80621,40.0808223,-104.8050979
1501,Historic Park Way,80621,40.0962391,-104.8162014
1401,Historic Park Way,80621,40.0952674,-104.8161874
2001,Historic Park Way,80621,40.0979967,-104.8163602
1025,Fulton Avenue,80621,40.0894199,-104.8159835
305,Denver Avenue,80621,40.0826850,-104.8108589
733,Denver Avenue,80621,40.0865462,-104.8109739
201,South Rollie Avenue,80621,40.0786752,-104.8057969
203,South Rollie Avenue,80621,40.0776298,-104.8058345
641,14th Street,80621,40.0951703,-104.8108872
1600,9th Street,80621,40.0864801,-104.7991160
640,14th Street,80621,40.0940655,-104.8119796
203,South Harrison Avenue,80621,40.0786296,-104.8070349
104,Denver Avenue,80621,40.0804105,-104.8102784
100,South Rollie Avenue,80621,40.0797645,-104.8042560
100,South Harrison Avenue,80621,40.0797699,-104.8057492
201,South Rollie Avenue,80621,40.0786746,-104.8057982
203,South Rollie Avenue,80621,40.0776286,-104.8058321
101,Denver Avenue,80621,40.0804950,-104.8108790
101,Denver Avenue,80621,40.0807193,-104.8109166
11,1st Street,80621,40.0806085,-104.8186591
25,South Grand Avenue,80621,40.0797758,-104.8187362
131,South McKinley Avenue,80621,40.0796013,-104.8134314
201,South McKinley Avenue,80621,40.0779103,-104.8140987
1115,1st Street,80621,40.0808666,-104.8051543
2001,Historic Park Way,80621,40.0983480,-104.8189906
641,14th Street,80621,40.0948903,-104.8110054
641,14th Street,80621,40.0951673,-104.8109269
1391,Denver Avenue,80621,40.0942211,-104.8114850
1392,Denver Avenue,80621,40.0943582,-104.8101169
1552,North Denver Avenue,80621,40.0966387,-104.8099045
4400,9th Street,80621,40.0837332,-104.7485061
1160,Dexter Street,80621,40.0786729,-104.8043336
150,South Rollie Avenue,80621,40.0793151,-104.8042813
1300,Dexter Street,80621,40.0788835,-104.8024068
1400,Dexter Street,80621,40.0790277,-104.8018325
1200,Dexter Street,80621,40.0790432,-104.8029696
1200,Dexter Street,80621,40.0790433,-104.8030558
1200,Dexter Street,80621,40.0790437,-104.8031306
1200,Dexter Street,80621,40.0790580,-104.8031938
1200,Dexter Street,80621,40.0790586,-104.8032515
1200,Dexter Street,80621,40.0790706,-104.8033540
1200,Dexter Street,80621,40.0790247,-104.8034105
1200,Dexter Street,80621,40.0789867,-104.8034988
1200,Dexter Street,80621,40.0789507,-104.8035829
1200,Dexter Street,80621,40.0789254,-104.8036400
1200,Dexter Street,80621,40.0788985,-104.8037001
1200,Dexter Street,80621,40.0788829,-104.8037819
1115,2nd Street,80621,40.0819810,-104.8053877
1025,1st Street,80621,40.0804845,-104.8067775
321,South Denver Avenue,80621,40.0771059,-104.8107946
130,South Denver Avenue,80621,40.0795538,-104.8100831
112,South Denver Avenue,80621,40.0800168,-104.8100166
127,South Denver Avenue,80621,40.0794753,-104.8108664
622,1st Street,80621,40.0799329,-104.8109482
825,1st Street,80621,40.0806135,-104.8086468
150,Main Street,80621,40.0811956,-104.8092690
140,Denver Avenue,80621,40.0811190,-104.8102988
130,Denver Avenue,80621,40.0809286,-104.8102301
214,Denver Avenue,80621,40.0817818,-104.8103110
214,Denver Avenue,80621,40.0817823,-104.8100280
230,Denver Avenue,80621,40.0821487,-104.8101200
220,Denver Avenue,80621,40.0820025,-104.8101200
720,3rd Street,80621,40.0821351,-104.8099161
205,Denver Avenue,80621,40.0816310,-104.8109568
201,Denver Avenue,80621,40.0816309,-104.8110582
229,Denver Avenue,80621,40.0820828,-104.8107304
227,Denver Avenue,80621,40.0819474,-104.8108637
237,Denver Avenue,80621,40.0822021,-104.8107683
301,Denver Avenue,80621,40.0824755,-104.8108582
305,Denver Avenue,80621,40.0826210,-104.8108682
327,Denver Avenue,80621,40.0829394,-104.8108347
333,Denver Avenue,80621,40.0830828,-104.8108730
300,Denver Avenue,80621,40.0824572,-104.8102809
304,Denver Avenue,80621,40.0825214,-104.8102812
306,Denver Avenue,80621,40.0825750,-104.8102812
308,Denver Avenue,80621,40.0826438,-104.8102724
312,Denver Avenue,80621,40.0827320,-104.8101745
322,Denver Avenue,80621,40.0828565,-104.8102140
326,Denver Avenue,80621,40.0829274,-104.8102617
332,Denver Avenue,80621,40.0830129,-104.8102900
714,4th Street,80621,40.0831149,-104.8102437
716,4th Street,80621,40.0831167,-104.8100319
410,Denver Avenue,80621,40.0834982,-104.8103194
450,Denver Avenue,80621,40.0839706,-104.8102734
415,Denver Avenue,80621,40.0836234,-104.8107622
417,Denver Avenue,80621,40.0837345,-104.8107675
419,Denver Avenue,80621,40.0838037,-104.8107387
421,Denver Avenue,80621,40.0838692,-104.8107966
620,5th Street,80621,40.0839996,-104.8110313
510,Denver Avenue,80621,40.0844448,-104.8102722
721,5th Street,80621,40.0843928,-104.8099215
509,Denver Avenue,80621,40.0843665,-104.8108031
720,Denver Avenue,80621,40.0862257,-104.8102851
804,Denver Avenue,80621,40.0865882,-104.8100372
806,Denver Avenue,80621,40.0868838,-104.8100146
825,Denver Avenue,80621,40.0871447,-104.8108934
605,4th Street,80621,40.0834247,-104.8114035
912,Denver Avenue,80621,40.0879649,-104.8101101
942,Denver Avenue,80621,40.0884501,-104.8102178
1021,Denver Avenue,80621,40.0889407,-104.8109962
1041,Denver Avenue,80621,40.0893279,-104.8109198
1051,Denver Avenue,80621,40.0895172,-104.8108989
1061,Denver Avenue,80621,40.0898649,-104.8109162
1121,Denver Avenue,80621,40.0905232,-104.8109556
1042,Denver Avenue,80621,40.0895781,-104.8102283
1100,Denver Avenue,80621,40.0901815,-104.8101450
815,12th Street,80621,40.0914261,-104.8091427
1230,Denver Avenue,80621,40.0914692,-104.8102841
1232,Denver Avenue,80621,40.0917853,-104.8101093
123,1st Street,80621,40.0804435,-104.8174670
145,1st Street,80621,40.0804469,-104.8172251
217,1st Street,80621,40.0805201,-104.8161893
20,South Grand Avenue,80621,40.0799281,-104.8177854
150,1st Street,80621,40.0799875,-104.8173078
156,1st Street,80621,40.0798808,-104.8170192
196,1st Street,80621,40.0798930,-104.8167325
232,1st Street,80621,40.0799187,-104.8158569
453,1st Street,80621,40.0804450,-104.8132688
400,2nd Street,80621,40.0808462,-104.8140798
817,4th Street,80621,40.0834332,-104.8093104
803,4th Street,80621,40.0834112,-104.8095696
334,Main Street,80621,40.0831231,-104.8095134
808,4th Street,80621,40.0831055,-104.8093688
809,5th Street,80621,40.0844099,-104.8091723
516,Main Street,80621,40.0844432,-104.8095393
805,5th Street,80621,40.0843128,-104.8095254
540,Main Street,80621,40.0848406,-104.8093263
720,Main Street,80621,40.0864772,-104.8092199
801,9th Street,80621,40.0875736,-104.8093209
222,Clubhouse Drive,80621,40.0837911,-104.7916199
809,1st Street,80621,40.0806992,-104.8092673
601,Denver Avenue,80621,40.0853814,-104.8105841
931,Denver Avenue,80621,40.0876723,-104.8109063
1190,Denver Avenue,80621,40.0909666,-104.8100900
800,12th Street,80621,40.0906591,-104.8092788
815,12th Street,80621,40.0914001,-104.8095428
1293,Denver Avenue,80621,40.0922628,-104.8112510
201,1st Street,80621,40.0804450,-104.8167446
385,4th Street,80621,40.0829539,-104.8090145
638,Main Street,80621,40.0856765,-104.8092527
