House number,Street name,Postal code,Latitude,Longitude
10604,Grant Drive,80233,39.8889340,-104.9819263
10900,Huron Street,80234,39.8941521,-104.9958140
1300,Malley Drive,80233,39.9035503,-104.9717576
11551,Wyco Drive,80233,39.9057589,-104.9656905
1451,Leroy Drive,80233,39.8897222,-104.9688889
11700,Irma Drive,80233,39.9084275,-104.9674100
10941,Irma Drive,80233,39.8951032,-104.9668400
11701,Community Center Drive,80233,39.9096018,-104.9884025
852,East 120th Avenue,80233,39.9135294,-104.9760759
950,East 120th Avenue,80233,39.9135294,-104.9752090
100,Community Center Drive,80233,39.9079295,-104.9848150
99,Community Center Drive,80233,39.9079718,-104.9848683
98,Community Center Drive,80233,39.9080090,-104.9849151
97,Community Center Drive,80233,39.9080478,-104.9849639
96,Community Center Drive,80233,39.9080860,-104.9850121
95,Community Center Drive,80233,39.9081199,-104.9850549
105,Community Center Drive,80233,39.9077699,-104.9848235
106,Community Center Drive,80233,39.9077355,-104.9848815
107,Community Center Drive,80233,39.9077037,-104.9849352
108,Community Center Drive,80233,39.9076690,-104.9849937
109,Community Center Drive,80233,39.9076413,-104.9850404
110,Community Center Drive,80233,39.9076101,-104.9850931
101,Community Center Drive,80233,39.9079195,-104.9846344
102,Community Center Drive,80233,39.9078793,-104.9846335
103,Community Center Drive,80233,39.9078176,-104.9846321
104,Community Center Drive,80233,39.9077622,-104.9846334
91,Community Center Drive,80233,39.9081691,-104.9853415
92,Community Center Drive,80233,39.9081823,-104.9852727
93,Community Center Drive,80233,39.9081936,-104.9852140
94,Community Center Drive,80233,39.9082071,-104.9851434
90,Community Center Drive,80233,39.9080431,-104.9853840
89,Community Center Drive,80233,39.9080115,-104.9854273
88,Community Center Drive,80233,39.9079785,-104.9854727
87,Community Center Drive,80233,39.9079364,-104.9855305
83,Community Center Drive,80233,39.9083442,-104.9858044
84,Community Center Drive,80233,39.9082945,-104.9858435
85,Community Center Drive,80233,39.9082611,-104.9858698
86,Community Center Drive,80233,39.9081991,-104.9859187
82,Community Center Drive,80233,39.9084499,-104.9856842
67,Community Center Drive,80233,39.9084154,-104.9864168
66,Community Center Drive,80233,39.9085371,-104.9867433
65,Community Center Drive,80233,39.9085488,-104.9868202
64,Community Center Drive,80233,39.9085571,-104.9868748
63,Community Center Drive,80233,39.9085698,-104.9869579
72,Community Center Drive,80233,39.9086847,-104.9863396
71,Community Center Drive,80233,39.9086378,-104.9863531
70,Community Center Drive,80233,39.9085880,-104.9863674
69,Community Center Drive,80233,39.9085344,-104.9863827
