House number,Street name,Postal code,Latitude,Longitude
450,East Road,06010,41.6630947,-72.9317659
470,Farmington Avenue,06010,41.6892300,-72.9277504
45,North Main Street,06010,41.6719500,-72.9461447
417,Broad Street,06010,41.6718937,-72.9128056
72,Farmington Avenue,06010,41.6837391,-72.9398709
73,Farmington Avenue,06010,41.6837953,-72.9397918
190,Century Drive Ste 4,06010,41.6537734,-72.9176585
95,Riverside Avenue,06010,41.6709591,-72.9392719
325,Mix St,06010,41.7001010,-72.9226478
240,Stafford Ave,06010,41.6837495,-72.9008327
750,Farmington Avenue,06010-3915,41.6918188,-72.9185983
25,Newell Road,06010,41.6769262,-72.9365902
597,Farmington Avenue,06010,41.6917746,-72.9242569
182,Pine Street,06010,41.6680394,-72.9156727
379,Ivy Drive,06010,41.7060418,-72.8948539
250,Old Turnpike Road,06010,41.7150361,-72.8970301
359,Ivy Drive,06010,41.7065029,-72.8949285
389,Ivy Drive,06010,41.7057926,-72.8948135
369,Ivy Drive,06010,41.7062874,-72.8948919
230,Old Turnpike Road,06010,41.7144750,-72.8968915
349,Ivy Drive,06010,41.7067716,-72.8949870
1247,Farmington Avenue,06010,41.6983461,-72.9023093
1200,Farmington Avenue,06010,41.6957779,-72.9029527
1033,Farmington Avenue,06010-3929,41.6958266,-72.9096963
1197,Farmington Avenue,06010,41.6977888,-72.9041214
646,Farmington Avenue,06011,41.6903865,-72.9224401
641,Farmington Plaza,06010,41.6911045,-72.9225603
641,Farmington Avenue,06010,41.6910770,-72.9227273
855,Farmington Avenue,06010,41.6935617,-72.9152646
983,Pine Street,06062,41.6694564,-72.8876697
67,Beckwith Drive,06062,41.6696486,-72.8877461
61,Beckwith Drive,06062,41.6700358,-72.8876361
815,Pine Street,06010,41.6696809,-72.8930748
92,Edrow Road,06010,41.6993263,-72.9249253
70,Anthony Drive,06010,41.6928342,-72.8965306
54,New Hampshire Drive,06010,41.7150862,-72.9033039
41,Surrey Drive,06010,41.6640094,-72.9146505
29,Michigan Avenue,06010,41.7095673,-72.8998588
109,Couture Drive,06010,41.7045871,-72.8958708
219,Camp Street,06010,41.6843470,-72.8907031
443,King Street,06010,41.6804975,-72.9224028
58,Town Line Road,06010,41.6537540,-72.9858191
65,Milton Road,06010,41.6855671,-72.8991539
329,Redstone Hill Road,06010,41.6580264,-72.9027937
38,Buckley Avenue,06010,41.6791778,-72.8954073
38,Milton Road,06010,41.6851797,-72.9001070
20,UConn Drive,06010,41.7141544,-72.9717854
291,Mark Street,06010,41.6892301,-72.8948762
600,Burlington Avenue,06010,41.6989593,-72.9436923
96,Wilderness Way,06010,41.7022087,-72.9369383
200,Minnesota Lane,06010,41.7120225,-72.8979485
948,Pine Street,06010,41.6690055,-72.8880873
92,Indiana Street,06010,41.7130829,-72.9018908
77,Overlook Avenue,06010,41.6670363,-72.8877221
30,Morningside Drive West,06010,41.6908757,-72.9098867
134,New Street,06010,41.6757925,-72.9184662
20,Plank Hill Road,06010,41.7216234,-72.9041431
421,Camp Street,06010,41.6898659,-72.8917478
115,Moody Street,06010,41.6877426,-72.9291230
207,Marcia Drive,06010,41.7045695,-72.8984190
26,Felice Road,06010,41.7104633,-72.9114450
23,John Avenue,06010,41.6925677,-72.9149719
107,Stafford Avenue,06010,41.6800331,-72.9039739
89,Bingham Street,06010,41.6722078,-72.9012142
65,Couture Drive,06010,41.7037312,-72.8971150
97,Violet Drive,06010,41.6599638,-72.8919076
550,Broad Street,06010,41.6713833,-72.9187741
95,Anthony Drive,06010,41.6933427,-72.8972013
41,East Road,06010,41.6627385,-72.9472287
25,Zack Lane,06010,41.6570139,-72.8875698
154,Castle Road,06010,41.6834945,-72.9140640
115,Old Wolcott Road,06010,41.6557324,-72.9633763
54,Jennifer Road,06010,41.6845095,-72.9170461
115,Inwood Lane,06010,41.7126525,-72.9011390
221,Mechanic Street,06010,41.6811912,-72.9126960
39,Jamesdrew Lane,06010,41.6590949,-72.9024515
29,Hardwick Road,06010,41.6844783,-72.9074973
45,Zack Lane,06010,41.6564754,-72.8875155
480,Maple Avenue,06010,41.7044672,-72.9444193
46,Preston Street,06010,41.6732701,-72.9137129
167,Birch Street,06010,41.6638542,-72.9014814
133,Boy Street,06010,41.7065218,-72.9554709
700,Farmington Avenue,06010,41.6912187,-72.9198631
16,Knox Place,06010,41.6786386,-72.9133663
117,New Street,06010,41.6755221,-72.9176806
510,Wolcott Street,06010,41.6603063,-72.9602897
88,Josephine Terrace,06010,41.6647621,-72.9630677
35,Donovan Court,06010,41.6440275,-72.9723877
54,Norwood Road,06010,41.7050899,-72.9588477
282,Mark Street,06010,41.6888081,-72.8952332
20,Joseph Street,06010,41.6656045,-72.9129588
93,Rose Street,06010,41.7021355,-72.9098880
