House number,Street name,Postal code,Latitude,Longitude
1857,High Street,33916,26.6436833,-81.8511967
2182,Mitchell Court,33916,26.6382730,-81.8392380
2210,Widman Way,33901,26.6395205,-81.8682054
10091a,McGregor Boulevard,33919,26.5960984,-81.8903018
1815-1,Fowler Street,33901,26.6428511,-81.8632453
3800,Michigan Ave,33916,26.6472083,-81.8389124
2189,Ortiz Avenue,33905,26.6194669,-81.8089089
2635,Cortez Boulevard,33901,26.6284401,-81.8774328
2776,Cleveland Avenue,33901,26.6277980,-81.8740854
1840,Maravilla Avenue,33901,26.6151230,-81.8752472
1700,Mathew Dr,33907,26.5891907,-81.8770523
1618,South Drive,33907,26.5886771,-81.8791819
1750,Mathew Dr,33907,26.5892098,-81.8764139
4125,Cleveland Avenue,33901,26.6011009,-81.8694356
3265,Doctor Martin Luther King Junior Boulevard,33916,26.6413538,-81.8471997
1035,Terry Avenue,33916,26.6575940,-81.8444904
2980,Edison Avenue,33916,26.6334031,-81.8526798
1589,Colonial Boulevard,33907,26.5972501,-81.8818422
4308,Yale Court,33901,26.6007336,-81.8795078
4101,Princeton Street,33901,26.6018693,-81.8782161
3150,Winkler Avenue,33916,26.6043679,-81.8482082
3300,Marion Street,33916,26.6554186,-81.8442111
2201,Edison Avenue,33901,26.6335525,-81.8673924
4312,Michigan Ave,33905,26.6486715,-81.8253852
3150,Hanson Street,33916,26.6227677,-81.8484515
2002,West First Street,33901,26.6420548,-81.8744844
2250,Widman Way,33901,26.6392263,-81.8672495
5264,Clayton Court Suite 4,33907,26.5830485,-81.8753866
4724,South Cleveland Avenue,33907,26.5928624,-81.8724915
3566,Fowler Street,33901,26.6121843,-81.8624390
3251,King Street,33916,26.6544264,-81.8470918
3247,King Street,33916,26.6542036,-81.8471296
3239,King Street,33916,26.6541939,-81.8473387
3232,King Street,33916,26.6533643,-81.8477043
3226,King Street,33916,26.6537816,-81.8479280
3230,King Street,33916,26.6537470,-81.8477383
3210,King Street,33916,26.6537606,-81.8483042
4202,Glenwood Avenue,33905,26.6670277,-81.8277275
3850,Colonial Boulevard,33966,26.5991082,-81.8324143
11041,Colonial Boulevard,33905,26.6181989,-81.7694938
1793,Fowler Street,33901,26.6430459,-81.8633947
8081,Dani Drive,33912,26.6095956,-81.8105091
9371,Ben C Pratt Six Mile Cypress Pkwy,33966-6536,26.6060607,-81.8078430
3236,Forum Boulevard,33905,26.6176833,-81.7985016
3254,Forum Boulevard,33905,26.6168920,-81.7988664
10580,Colonial Boulevard,33913,26.6111183,-81.7834340
1514,First Street,33901,26.6437043,-81.8707623
1520,Hendry Street,33901,26.6438978,-81.8696971
1508,Hendry Street,33901,26.6441385,-81.8698048
1801,Boy Scout Drive,33907,26.5826950,-81.8761779
2248,First Street,33901,26.6440918,-81.8694749
2250,First Street,33901,26.6443450,-81.8695316
2252,First Street,33901,26.6443678,-81.8694897
2256,First Street,33901,26.6444125,-81.8694124
2262,First Street,33901,26.6444840,-81.8692660
2266,First Street,33901,26.6445231,-81.8691996
2270,First Street,33901,26.6445531,-81.8691459
2272,First Street,33901,26.6445800,-81.8691022
2278,First Street,33901,26.6446263,-81.8689921
2282,First Street,33901,26.6446995,-81.8688875
1500,Jackson Street,33901,26.6445897,-81.8686792
1516,Jackson Street,33901,26.6444393,-81.8685819
1524,Jackson Street,33901,26.6443352,-81.8685282
1528,Jackson Street,33901,26.6442751,-81.8685009
1532,Jackson Street,33901,26.6441954,-81.8684709
1534,Jackson Street,33901,26.6441450,-81.8684418
2277,Main Street,33901,26.6439198,-81.8684927
2261,Main Street,33901,26.6437807,-81.8687893
2265,Main Street,33901,26.6438076,-81.8687329
2207,First Street,33901,26.6441563,-81.8705536
1415,Dean Street,33901,26.6443044,-81.8707020
2206,Bay Street,33901,26.6445023,-81.8707984
2235,First Street,33901,26.6445191,-81.8700436
2231,First Street,33901,26.6443501,-81.8701071
2229,First Street,33901,26.6443556,-81.8701798
2225,First Street,33901,26.6442670,-81.8703140
2247,First Street,33901,26.6445702,-81.8697359
2263,First Street,33901,26.6447211,-81.8694401
2265,First Street,33901,26.6447655,-81.8693697
2269,First Street,33901,26.6448092,-81.8692785
2273,First Street,33901,26.6448548,-81.8691867
2277,First Street,33901,26.6448830,-81.8691310
2281,First Street,33901,26.6449567,-81.8690130
2285,First Street,33901,26.6450479,-81.8689455
2268,Bay Street,33901,26.6451900,-81.8693895
1545,Jackson Street,33901,26.6441131,-81.8681320
1415,Hendry Street,33901,26.6448458,-81.8697243
2400,First Street,33901,26.6451257,-81.8678442
2400,First Street,33901,26.6450022,-81.8677664
1651,Lee Street,33901,26.6443226,-81.8670724
2401,First Street,33901,26.6455605,-81.8680588
2401,First Street,33901,26.6455950,-81.8679596
2401,First Street,33901,26.6456299,-81.8678960
2423,First Street,33901,26.6457035,-81.8677541
2425,First Street,33901,26.6457264,-81.8677097
2429,First Street,33901,26.6457384,-81.8676520
2439,First Street,33901,26.6458809,-81.8674506
2443,First Street,33901,26.6459012,-81.8674091
2449,First Street,33901,26.6459294,-81.8673507
2451,First Street,33901,26.6459753,-81.8672533
1401,Lee Street,33901,26.6458539,-81.8682453
2402,Bay Street,33901,26.6458815,-81.8681353
2401,First Street,33901,26.6459234,-81.8680468
2242,Main Street,33901,26.6435015,-81.8688773
1601,Hendry Street,33901,26.6434177,-81.8690489
1617,Hendry Street,33901,26.6431645,-81.8689176
1617,Hendry Street,33901,26.6431353,-81.8689003
1617,Hendry Street,33901,26.6431043,-81.8688811
1631,Hendry Street,33901,26.6428640,-81.8687448
1635,Hendry Street,33901,26.6428186,-81.8687209
1637,Hendry Street,33901,26.6427828,-81.8687009
2233,Second Street,33901,26.6427064,-81.8685291
3114,Cleveland Avenue,33901,26.6193463,-81.8730644
2315,Dr Martin Luther King Boulevard,33901,26.6412165,-81.8663632
9390,Dynasty Drive,33905,26.6137862,-81.8013533
1716,Fowler Street,33901,26.6442083,-81.8646599
1716,Fowler Street,33901,26.6441960,-81.8646832
2011,Bayside Parkway,33901,26.6400123,-81.8757333
2360,West First Street,33901,26.6360575,-81.8810102
1901,Altamont Avenue,33901,26.6392839,-81.8788757
2220,West First Street,33901,26.6384702,-81.8791503
2301,West First Street,33901,26.6364092,-81.8800075
4568,Watercolor Way,33966,26.6001724,-81.8244058
4408,Waterscape Lane,33966,26.6005417,-81.8239552
4404,Waterscape Lane,33966,26.6004506,-81.8239498
4568,Watercolor Way,33966,26.6000620,-81.8244004
3910,Cleveland Avenue,33901,26.6051721,-81.8721439
3707,Cleveland Avenue,33901,26.6086449,-81.8715951
2829,Ford Street,33916,26.6244587,-81.8475978
2220,Dr Martin Luther King Jr Blvd,33901,26.6406179,-81.8679520
2270,1st St,33901,26.6444462,-81.8690636
3581,Fowler Street,33901,26.6109970,-81.8610596
1533,Hendry Street,33901,26.6437105,-81.8690882
3525,Fowler Street,33901,26.6129460,-81.8611952
4383,Colonial Boulevard,33966,26.6084483,-81.8250713
3398,Forum Boulevard,33905,26.6148829,-81.7974131
3398,Forum Boulevard,33905,26.6149375,-81.7974295
3398,Forum Boulevard,33905,26.6149883,-81.7974527
3398,Forum Boulevard,33905,26.6150399,-81.7974665
3398,Forum Boulevard,33905,26.6151437,-81.7975044
3398,Forum Boulevard,33905,26.6151953,-81.7975250
3398,Forum Boulevard,33905,26.6153360,-81.7973063
3398,Forum Boulevard,33905,26.6152337,-81.7972553
3398,Forum Boulevard,33905,26.6151738,-81.7972349
3398,Forum Boulevard,33905,26.6150721,-81.7971897
3398,Forum Boulevard,33905,26.6150167,-81.7971715
10580,Colonial Boulevard,33913,26.6111885,-81.7839957
9350,Dynasty Drive,33905-5574,26.6155611,-81.8017894
9380,Dynasty Drive,33905,26.6143612,-81.8015266
3350,Forum Boulevard,33905,26.6155446,-81.7963272
8293,Dani Drive,33966,26.6114910,-81.8107022
8291,Dani Drive,33966,26.6121816,-81.8105695
2776,Cleveland Avenue,33901,26.6282139,-81.8740593
201,Cleveland Avenue,33901,26.6423928,-81.8737045
2200,Dr. Martin Luther King Jr. Boulevard,33901,26.6405320,-81.8686076
3268,Forum Boulevard,33905,26.6160171,-81.7995255
3260,Forum Boulevard,33905,26.6162377,-81.7992439
3065,Cranford Avenue,33901,26.6206788,-81.8576378
5781,Lee Blvd,33971,26.6184470,-81.7651921
1617,Hendry St,33901,26.6431642,-81.8687659
10650,Metro Parkway,33966,26.5884863,-81.8543618
2531,Katherine Street,33901,26.6275500,-81.8613273
2161,McGregor Boulevard,33901,26.6372217,-81.8765775
5781 #201,Lee Boulevard,33971,26.6190555,-81.7653482
2464,Second Street,33901,26.6443640,-81.8650908
1811,Royal Palm Avenue,33901,26.6428130,-81.8645195
2158,Colonial Boulevard,33907,26.5959430,-81.8689434
1400,Colonial Boulevard,33907,26.5954583,-81.8865840
2031,Jackson Street,33901,26.6400440,-81.8661146
4985,Eastwood Greens Street,33905,26.6302641,-81.8125519
33,Patio De Leon,33901,26.6436879,-81.8701379
8947,Colonial Center Drive,33905,26.6142897,-81.8077645
4650,South Cleveland Avenue,33907,26.5940878,-81.8746402
4004,Cleveland Avenue,33901-9002,26.6039305,-81.8724493
