House number,Street name,Postal code,Latitude,Longitude
1812,South Highway 77,32444,30.2314298,-85.6506933
1905,Massachusetts Avenue,32444,30.2295968,-85.6645897
514,Florida Avenue,32444,30.2496323,-85.6500236
1219,Ohio Avenue,32444,30.2394687,-85.6483285
2260,South Highway 77,32444,30.2243355,-85.6511920
1812,FL-77,32444,30.2296459,-85.6509688
903,West 3rd Street,32444,30.2528759,-85.6580870
914,West 26th Street,32444,30.2191180,-85.6594419
3920,Arbor Trace Drive,32444-6715,30.2173643,-85.6646563
3970,Arbor Trace Drive,32444-6711,30.2173698,-85.6630335
3950,Arbor Trace Drive,32444-6732,30.2177059,-85.6635589
3930,Arbor Trace Drive,32444-6729,30.2180599,-85.6648676
3940,Arbor Trace Drive,32444-6730,30.2180645,-85.6641234
3910,Arbor Trace Drive,32444-6728,30.2173836,-85.6656039
3960,Arbor Trace Drive,32444-6710,30.2181672,-85.6628974
3900,Arbor Trace Drive,32444-6700,30.2180035,-85.6655382
1710,FL-77,32444,30.2322285,-85.6495494
1903,Highway 390,32444,30.2274828,-85.6558558
4800,Highway 2321,32404,30.2577551,-85.5924258
3820,West Highway 390,32405,30.2171313,-85.6674061
2301,West Highway 390,32405,30.2220550,-85.6626190
2300,Jenks Avenue,32405,30.2216922,-85.6627863
922,Ohio Ave,32444,30.2445218,-85.6490362
830,Ohio Avenue,32444,30.2455891,-85.6489543
1317,Ohio Ave,32444,30.2385041,-85.6479995
830,Florida Avenue,32444,30.2455125,-85.6499769
99,Aberdeen Loop,32405,30.2283019,-85.6223937
2401,South Highway 77,32444,30.2219768,-85.6486163
2209,So Highway 77,32444,30.2243385,-85.6487128
1411,Ohio Avenue,32444,30.2368381,-85.6483919
1508,Ohio Avenue,32444,30.2353593,-85.6491661
1703,Ohio Avenue,32444,30.2328240,-85.6484836
1705,Ohio Avenue,32444,30.2323582,-85.6485052
2101,South Highway 77,32444,30.2262918,-85.6462365
2005,Highway 77,32444,30.2279151,-85.6486727
2230,South Highway 77,32444,30.2252624,-85.6499668
2424,South Highway 77,32444,30.2207591,-85.6499465
3890,Jenks Avenue,32444,30.2180820,-85.6615586
2205,FL-77,32444,30.2250173,-85.6486814
1901,South Highway 77,32444,30.2294033,-85.6484482
1501,Ohio Avenue,32444,30.2357764,-85.6485509
520,Ohio Avenue,32444-1754,30.2496672,-85.6489019
715,Ohio Avenue,32444,30.2472851,-85.6482344
1904,South Highway 77,32444,30.2297123,-85.6497042
810,Ohio Avenue,33614,30.2462997,-85.6489229
1238,Dundee Lane,32444,30.2276661,-85.6291965
1240,Dundee Lane,32444,30.2276957,-85.6287900
1236,Dundee Lane,32444,30.2276635,-85.6295164
1234,Dundee Lane,32444,30.2276595,-85.6298981
616,East 17th Street,32444,30.2336676,-85.6420179
1232,Dundee Lane,32444,30.2277049,-85.6302463
1230,Dundee Lane,32444,30.2276892,-85.6306046
1228,Dundee Lane,32444,30.2276796,-85.6309675
1226,Dundee Lane,32444,30.2276352,-85.6313758
1243,Dundee Lane,32444,30.2270384,-85.6288160
1241,Dundee Lane,32444,30.2271006,-85.6292217
1239,Dundee Lane,32444,30.2271060,-85.6295754
1237,Dundee Lane,32444,30.2271232,-85.6299198
1235,Dundee Lane,32444,30.2271094,-85.6302760
1233,Dundee Lane,32444,30.2271056,-85.6306162
1231,Dundee Lane,32444,30.2270896,-85.6310042
1229,Dundee Lane,32444,30.2269672,-85.6314672
1227,Dundee Lane,32444,30.2267013,-85.6319803
1225,Dundee Lane,32444,30.2265117,-85.6321900
1223,Dundee Lane,32444,30.2263150,-85.6324828
1221,Dundee Lane,32444,30.2261127,-85.6327006
1398,Thurso Road,32444,30.2271025,-85.6323063
1224,Dundee Lane,32444,30.2275624,-85.6318391
1400,Thurso Road,32444,30.2273307,-85.6325346
1402,Thurso Road,32444,30.2277110,-85.6325953
1404,Thurso Road,32444,30.2279706,-85.6325943
1406,Thurso Road,32444,30.2282091,-85.6325346
1408,Thurso Road,32444,30.2284541,-85.6325238
1538,Thurso Road,32444,30.2280138,-85.6320272
1536,Thurso Road,32444,30.2280900,-85.6318232
1534,Thurso Road,32444,30.2281627,-85.6315562
1532,Thurso Road,32444,30.2282246,-85.6313293
1528,Thurso Road,32444,30.2282186,-85.6307704
1533,Thurso Road,32444,30.2286427,-85.6318921
1531,Thurso Road,32444,30.2287189,-85.6315979
1529,Thurso Road,32444,30.2287714,-85.6312904
1524,Thurso Road,32444,30.2287031,-85.6306896
1522,Thurso Road,32444,30.2289418,-85.6306756
1520,Thurso Road,32444,30.2291695,-85.6306802
1518,Thurso Road,32444,30.2294031,-85.6306286
1514,Thurso Road,32444,30.2299501,-85.6306240
1512,Thurso Road,32444,30.2302183,-85.6306412
1505,Thurso Road,32444,30.2300781,-85.6312382
1503,Thurso Road,32444,30.2303408,-85.6313100
1501,Thurso Road,32444,30.2305108,-85.6315422
1423,Thurso Road,32444,30.2304235,-85.6318242
1421,Thurso Road,32444,30.2301897,-85.6319692
1419,Thurso Road,32444,30.2299372,-85.6319935
1510,Thurso Road,32444,30.2304528,-85.6307123
1508,Thurso Road,32444,30.2307042,-85.6308217
1506,Thurso Road,32444,30.2309261,-85.6310402
1504,Thurso Road,32444,30.2311052,-85.6312952
1502,Thurso Road,32444,30.2311512,-85.6316289
1430,Thurso Road,32444,30.2310110,-85.6319599
1428,Thurso Road,32444,30.2308653,-85.6321919
1426,Thurso Road,32444,30.2306605,-85.6323523
1426,Thurso Road,32444,30.2304514,-85.6325399
1422,Thurso Road,32444,30.2302204,-85.6326185
1420,Thurso Road,32444,30.2299421,-85.6326268
1418,Thurso Road,32444,30.2297215,-85.6325777
1416,Thurso Road,32444,30.2293887,-85.6325116
1414,Thurso Road,32444,30.2291625,-85.6324519
