House number,Street name,Postal code,Latitude,Longitude
390,Tamiami Trail N,34102,26.1515784,-81.7959368
21,9th Street South,34102,26.1470954,-81.7952525
2132,Tamiami Trail N,34102,26.1726921,-81.7986183
550,10th Street North,34102,26.1537591,-81.7947628
2160,Tamiami Trail N,34102,26.1734550,-81.7985739
868,5th Avenue South,34102,26.1416851,-81.7952874
694,9th Street North,34102-8131,26.1563864,-81.7965520
1981,Tamiami Trail North,34102-4804,26.1706114,-81.8008067
2175,9th Street North,34102,26.1737123,-81.8008046
534,10th Street North,34102,26.1534235,-81.7947205
1100,6th Avenue South,34102,26.1403592,-81.7917495
2500,Tamiami Trail North,34103,26.1767558,-81.7992158
898,5th Avenue South,34102,26.1417331,-81.7949214
862,5th Avenue South,34102,26.1416763,-81.7954142
800,5th Avenue South,34102,26.1416217,-81.7959483
821,5th Avenue South,34102,26.1419064,-81.7957953
700,5th Avenue South,34102,26.1413912,-81.7975704
796,5th Avenue South,34102,26.1415111,-81.7965442
796,5th Avenue South,34102,26.1415401,-81.7963103
720,5th Avenue South,34102,26.1414513,-81.7970947
680,5th Avenue South,34102,26.1413641,-81.7980153
141,9th Street North,34102,26.1488214,-81.7967687
141,9th Street North,34102,26.1491921,-81.7968237
1,9th Street North,34102,26.1472066,-81.7952588
720,North Goodlette-Frank Road,34102,26.1583267,-81.7897974
1900,Tamiami Trail North,34102,26.1701142,-81.7964391
2004,Tamiami Trail North,34102,26.1699166,-81.7969723
1900,Tamiami Trail North,34102,26.1695973,-81.7942719
1874,Tamiami Trail North,34102,26.1697243,-81.7940871
382,5th Avenue South,34102,26.1409044,-81.8018324
325,5th Avenue South,34102,26.1411206,-81.8027203
698,4th Avenue South,34102-6369,26.1423933,-81.7978661
4377,Tamiami Trail North,34103,26.2002570,-81.8015594
4155,9th Street North,34103,26.1994258,-81.8022995
3621,Tamiami Trail North,34103,26.1899680,-81.8007657
460,5th Avenue South,34102,26.1410091,-81.8009326
462,5th Avenue South,34102,26.1410148,-81.8008790
466,5th Avenue South,34102,26.1410206,-81.8008206
472,5th Avenue South,34102,26.1410388,-81.8007411
474,5th Avenue South,34102,26.1410483,-81.8006781
478,5th Avenue South,34102,26.1410572,-81.8006124
550,5th Avenue South,34102,26.1411361,-81.7998107
600,5th Avenue South,34102,26.1411992,-81.7993634
600,5th Avenue South,34102,26.1411392,-81.7993065
600,5th Avenue South,34102,26.1412383,-81.7990476
600,5th Avenue South,34102,26.1412550,-81.7989057
600,5th Avenue South,34102,26.1412686,-81.7988323
602,5th Avenue South,34102,26.1412813,-81.7987425
606,5th Avenue South,34102,26.1412811,-81.7986314
612,5th Avenue South,34102,26.1412882,-81.7985756
614,5th Avenue South,34102,26.1412951,-81.7985191
616,5th Avenue South,34102,26.1413019,-81.7984676
634,5th Avenue South,34102,26.1413165,-81.7983733
640,5th Avenue South,34102,26.1413278,-81.7982856
694,5th Avenue South,34102,26.1413885,-81.7978374
698,5th Avenue South,34102,26.1413972,-81.7977631
720,5th Avenue South,34102,26.1412553,-81.7974019
720,5th Avenue South,34102,26.1413074,-81.7974104
720,5th Avenue South,34102,26.1414158,-81.7974186
760,5th Avenue South,34102,26.1414712,-81.7969456
766,5th Avenue South,34102,26.1414880,-81.7968012
805-A,5th Avenue South,34102,26.1416553,-81.7956288
878,5th Avenue South,34102,26.1417214,-81.7950674
2085,Tamiami Trail North,34102,26.1720130,-81.8007598
407,5th Avenue South,34102,26.1412876,-81.8013710
465,5th Avenue South,34102,26.1413300,-81.8008538
483,5th Avenue South,34102,26.1413431,-81.8007457
475,5th Street South,34102,26.1416439,-81.8002675
505,5th Avenue South,34102,26.1414091,-81.8002097
515,5th Avenue South,34102,26.1414189,-81.8001144
525,5th Avenue South,34102,26.1414336,-81.8000192
494,5th Avenue South,34102,26.1410703,-81.8004872
