House number,Street name,Postal code,Latitude,Longitude
1350,Citizens Parkway,34288,27.0664683,-82.1621241
3601,East Price Boulevard,34288,27.0683026,-82.1182539
6246,Surf Avenue,34291,27.0788293,-82.2291916
6000,South Salford Boulevard,34286,27.0334158,-82.2077381
18139,Tamiami Trail,34287,27.0365137,-82.2115078
1251,South Toledo Blade Boulevard,34288,27.0669063,-82.1589130
1291,South Sumter Boulevard,34287-2337,27.0693293,-82.2103756
12200,San Servando Avenue,34287,27.0588959,-82.2611413
17000,Tamiami Trail,34287,27.0346490,-82.2170030
2500/2530,Bobcat Village Center Road,34286,27.0538197,-82.1579294
14156,Tamiami Trail,34287,27.0439288,-82.2399070
4361,Aidan Ln,34287,27.0343689,-82.2129428
1001,Corporate Avenue,34289,27.0829412,-82.1569561
4493,Ulman Avenue,34286,27.1095862,-82.1957299
1073,North Toledo Blade Boulevard,34288,27.0697590,-82.1582581
2356,Frantz Street,34286,27.0799759,-82.1968720
1250,Rutledge,34288,27.0331660,-82.0690112
14807,Tamiami Trail,34287,27.0388700,-82.2201872
14807,Tamiami Trail,34287,27.0388038,-82.2202688
1009,North Sumter Boulevard,34286,27.0713890,-82.2098633
5668,Tuscola Boulevard,34287,27.0406326,-82.2247704
17739,Tamiami Trail,34287,27.0365292,-82.2132186
17899,Tamiami Trail,34287,27.0363667,-82.2126221
17819,Tamiami Trail,34287,27.0372077,-82.2130791
17179,Tamiami Trail,34287-7291,27.0377849,-82.2149052
17019,Tamiami Trail,34287,27.0373338,-82.2161948
4915,White Ibis Drive,34287,27.0681390,-82.2095440
12221,Mercado Drive,34293,27.0481744,-82.3229957
1151,South Sumter Boulevard,34287,27.0699931,-82.2102993
1433,South Sumter Boulevard,34287,27.0688639,-82.2103014
14942,Tamiami Trail,34287,27.0381704,-82.2224585
1455,Sun Market Place,34288,27.0650876,-82.1564547
5664,Tuscola Boulevard,34287,27.0412196,-82.2249098
3006,Taunton Ave,34286,27.0789149,-82.1842968
4675,Career Lane,34289,27.0956726,-82.1575060
18000,Tamiami Trail,34287,27.0341510,-82.2150182
2586,Devonia Cir,34288,27.0424496,-82.0638558
2371,Palomar Street,34287,27.0585979,-82.1977813
2421,Palomar Street,34287,27.0583666,-82.1978004
2471,Palomar Street,34287,27.0581453,-82.1978290
2521,Palomar Street,34287,27.0579249,-82.1978424
2591,Palomar Street,34287,27.0577216,-82.1978524
2621,Palomar Street,34287,27.0574858,-82.1978422
2721,Palomar Street,34287,27.0570558,-82.1979374
2871,Palomar Street,34287,27.0563897,-82.1979964
2021,Palomar Street,34287,27.0601093,-82.1976392
2071,Palomar Street,34287,27.0599038,-82.1976581
2171,Palomar Street,34287,27.0594735,-82.1976901
2211,Palomar Street,34287,27.0592432,-82.1976947
2212,Palomar Street,34287,27.0592053,-82.1972053
2272,Palomar Street,34287,27.0589840,-82.1972381
2022,Palomar Street,34287,27.0600659,-82.1971084
2072,Palomar Street,34287,27.0598625,-82.1971432
2122,Palomar Street,34287,27.0596382,-82.1971701
2172,Palomar Street,34287,27.0594259,-82.1972053
2271,Palomar Street,34287,27.0590149,-82.1977327
2322,Palomar Street,34287,27.0587565,-82.1972631
2372,Palomar Street,34287,27.0585667,-82.1972938
2422,Palomar Street,34287,27.0583268,-82.1972749
2472,Palomar Street,34287,27.0581040,-82.1973019
2622,Palomar Street,34287,27.0574467,-82.1973512
2722,Palomar Street,34287,27.0570109,-82.1974469
2772,Palomar Street,34287,27.0567962,-82.1974489
2822,Palomar Street,34287,27.0565768,-82.1974713
4970,City Hall Boulevard,34286,27.0757520,-82.2064091
1602,Kramer Way,34286,27.0739975,-82.2048225
4980,City Hall Boulevard,34286,27.0756672,-82.2080872
1011,South Sumter Boulevard,34287,27.0704251,-82.2094769
1013,Front Place,34287,27.0707996,-82.2080237
1009,North Sumter Boulevard,34286,27.0713196,-82.2096971
1100,N. Chamberlain Boulevard,34286,27.0696545,-82.1672388
2345,Bobcat Village Center Road,34288,27.0559950,-82.1591600
4200,Doblins Road,34287,27.0489770,-82.2033747
6207,West Price Boulevard,34291,27.0684189,-82.2247112
5648,Tuscola Boulevard,34287,27.0406707,-82.2253290
6501,West Price Boulevard,34291,27.0708007,-82.2286642
4895,North Toledo Blade Boulevard,34286,27.0933636,-82.1563870
14912,Tamiami Trail,34287,27.0390786,-82.2243183
14920,Tamiami Trail,34287,27.0388403,-82.2236501
14928,South Tamiami Trail,34287-2717,27.0385969,-82.2230941
14805,Tamiami Trail,34287,27.0390838,-82.2207896
