House number,Street name,Postal code,Latitude,Longitude
5,Southeast 17th Street,34471,29.1727621,-82.1352456
3001,SW College Rd,34474,29.1646988,-82.1739821
1330,Southwest 33rd Avenue,34474,29.1743076,-82.1787683
5200,Southwest College Avenue,34474,29.1292257,-82.2055561
3130,Southwest 27th Avenue,34471,29.1555480,-82.1705238
1109,Northeast 8th Avenue,34470,29.1975549,-82.1294185
3733,Southwest 80th Avenue,34481,29.1548279,-82.2496670
307,Southeast 3rd Street,34471,29.1843949,-82.0998523
303,Southeast 17th Street,34471-4470,29.1733226,-82.1325325
2696,South West College Road,34471-1652,29.1660828,-82.1682713
2499,Southwest 27th Avenue,34471,29.1638312,-82.1681069
2377,Southwest College Road,34471,29.1704734,-82.1642286
2401,Southwest 19th Avenue Road,34474,29.1636574,-82.1654074
3510,Southwest 36th Avenue,34474,29.1517665,-82.1825961
29,Northeast 1st Avenue,34470,29.1876657,-82.1357946
2501,SW 57th Ave #503,34474,29.1639118,-82.2128711
20740,9th St.,32664,29.2030173,-82.0829265
1847,Southwest 1st Avenue,34471,29.1688267,-82.1369755
1427,Northeast 25th Avenue,34470,29.2009752,-82.1029932
1400,Southeast 17th Street,34471,29.1713753,-82.1201706
1500,SE MAGNOLIA EXTENSION,34471,29.1735879,-82.1307100
1014,Southwest 7th Road,34471,29.1784236,-82.1479219
1009,Northeast 28th Avenue,34470,29.1973237,-82.0986123
907,Southwest 3rd Street,34471,29.1840763,-82.1479740
514,S Magnolia Ave,34471,29.1822258,-82.1374349
3201,"SW 34th Ave, #204",34474,29.1553257,-82.1771945
2510,Southeast 17th Street,34471,29.1711734,-82.1025936
2131,N Magnolia Ave,34475,29.2094716,-82.1398101
2502,Northeast Jacksonville Road,34470,29.2128658,-82.1272682
2403,Southwest 27th Street,34471,29.1658415,-82.1665694
1157,NE 14th St,34470,29.2009169,-82.1240507
3101,Southwest 34th Avenue,34474,29.1559066,-82.1766307
1400,Southeast Magnolia Extension,34471,29.1751741,-82.1339147
5400,Southwest College Road,34474,29.1252266,-82.2080755
2575,Southwest 42nd Street,34471,29.1476941,-82.1674374
1429,Northeast 25th Avenue,34470,29.2013716,-82.1029464
2436,East Silver Springs Boulevard,34470,29.1864996,-82.1040799
2426,East Silver Springs Boulevard,34470,29.1865892,-82.1043577
3100,Southwest College Road,34474,29.1590999,-82.1735259
4747,Southwest College Road,34471,29.1732416,-82.1590778
500,Southwest 10th Street,34471,29.1785433,-82.1420964
304,Southwest Broadway Street,34471,29.1861782,-82.1396608
3391,East Silver Springs Boulevard,34470,29.1960290,-82.0899906
112,East Fort King Street,34471,29.1842866,-82.1351122
2500,Northwest 6th Street,34475,29.1919774,-82.1654870
610,Southeast 17th Street,34471,29.1714255,-82.1313221
2606,Southwest 19th Avenue Road,34471,29.1596717,-82.1663900
3501,Northeast 10th Street,34470,29.1977240,-82.0881489
3055,Southwest College Road,34474,29.1613030,-82.1746783
2050,East Silver Springs Boulevard,34470,29.1866294,-82.1101657
1007,E Silver Springs Blvd,34470,29.1871831,-82.1263070
116,South Magnolia Avenue,34471,29.1851448,-82.1370853
701,Northeast Sanchez Avenue,34470,29.1943637,-82.1306898
2455,Northwest 44th Avenue,34482,29.2124368,-82.1935920
4039,Northwest Blitchton Road,34475,29.2124919,-82.1860013
2275,Southwest 22nd Lane,34471,29.1658755,-82.1623349
