House number,Street name,Postal code,Latitude,Longitude
32,W 6th St,32401,30.1590417,-85.6606957
205,Airport Road,32405,30.1781937,-85.6627404
430,"West 5th Street, Suite 800",32401,30.1561237,-85.6670173
430,West 5th Street,32401,30.1558425,-85.6667286
2424A,Jenks Avenue,32405,30.1919283,-85.6618758
2355,Saint Andrews Boulevard,32405,30.1909500,-85.7005337
1151,Bayview Avenue,32401,30.1698125,-85.7027650
3901,West Highway 98,32405,30.1803861,-85.7110469
1001,E Business Highway 98,32401,30.1589833,-85.6602494
304,Magnolia Avenue,32401,30.1541500,-85.6587732
1041,Jenks Avenue,32401,30.1669864,-85.6627958
3705,Burnham Way,32405,30.1846940,-85.7089522
3707,Burnham Way,32405,30.1846933,-85.7089875
3709,Burnham Way,32405,30.1846972,-85.7091640
3711,Burnham Way,32405,30.1846974,-85.7091982
3713,Burnham Way,32405,30.1847012,-85.7093745
3715,Burnham Way,32405,30.1847003,-85.7094104
3722,Burnham Way,32405,30.1850251,-85.7098408
3720,Burnham Way,32405,30.1850553,-85.7097981
3708,Burnham Way,32405,30.1851063,-85.7091554
3710,Burnham Way,32405,30.1851064,-85.7091896
4133,West 20th Court,32405,30.1851783,-85.7144909
3716,Burnham Way,32405,30.1851279,-85.7096004
3718,Burnham Way,32405,30.1851190,-85.7096335
4131,West 20th Court,32405,30.1852173,-85.7144624
3002,West Highway 98,32405,30.1788246,-85.7017737
3002,West Highway 98,32405,30.1788238,-85.7016461
1706,Deer Avenue,32401,30.1796221,-85.7053768
1708,Deer Avenue,32401,30.1797611,-85.7053433
4120,West 19th Street,32405,30.1829397,-85.7144004
4126,West 19th Street,32405,30.1829529,-85.7146401
4124,West 19th Street,32405,30.1829449,-85.7145840
1911,Laurel Avenue,32405,30.1837577,-85.7140236
1913,Laurel Avenue,32405,30.1839268,-85.7140108
1911,Laurel Avenue,32405,30.1837176,-85.7140247
1913,Laurel Avenue,32405,30.1838867,-85.7140136
1915,Louise Avenue,32405,30.1837921,-85.7097838
1913,Louise Avenue,32405,30.1837129,-85.7097868
4100,West Highway 98,32405,30.1810242,-85.7131092
4122,West 19th Street,32405,30.1829435,-85.7144532
1917,Louise Avenue,32405,30.1838660,-85.7097801
4106,West Highway 98,32405,30.1809612,-85.7132242
1703,Louise Avenue,32401,30.1794297,-85.7099361
1705,Louise Avenue,32401,30.1794714,-85.7099343
3806,West 17th Street,32401,30.1793326,-85.7104275
3806,West 17th Street,32401,30.1792699,-85.7104452
4455,West 19th Street,32405,30.1825922,-85.7186287
4455,West 19th Street,32405,30.1825965,-85.7186749
4455,West 19th Street,32405,30.1821716,-85.7182172
4455,West 19th Street,32405,30.1822060,-85.7182165
4455,West 19th Street,32405,30.1816047,-85.7182407
4455,West 19th Street,32405,30.1816362,-85.7182410
4455,West 19th Street,32405,30.1816859,-85.7182362
4455,West 19th Street,32405,30.1817241,-85.7182344
1725,Stephens Avenue,32401,30.1804967,-85.7225097
4803,West 18th Street,32401,30.1805257,-85.7227180
4504,West 19th Street,32405,30.1830654,-85.7196841
4500,West 19th Street,32405,30.1830510,-85.7192576
1900,Baltimore Avenue,32405,30.1830576,-85.7199899
1901,Baltimore Avenue,32405,30.1830667,-85.7204781
1900,Brown Avenue,32405,30.1830581,-85.7209180
1901,Brown Avenue,32405,30.1830774,-85.7214019
1901,Wainwright Avenue,32405,30.1830790,-85.7222747
1900,Wainwright Avenue,32405,30.1830851,-85.7217666
1900,Palmetto Avenue,32405,30.1830979,-85.7229234
4502,West 19th Street,32405,30.1830617,-85.7195768
4802,West 19th Street,32405,30.1830956,-85.7225419
1903,Moates Avenue,32405,30.1832247,-85.7192606
1902,Baltimore Avenue,32405,30.1832276,-85.7200011
1903,Baltimore Avenue,32405,30.1832686,-85.7204422
1902,Brown Avenue,32405,30.1832448,-85.7209081
1903,Brown Avenue,32405,30.1832493,-85.7213794
1903,Wainwright Avenue,32405,30.1832848,-85.7223617
1902,Wainwright Avenue,32405,30.1832767,-85.7217774
1902,Palmetto Avenue,32405,30.1832808,-85.7229362
1904,Baltimore Avenue,32405,30.1833867,-85.7200098
1905,Moates Avenue,32405,30.1833929,-85.7192331
1905,Baltimore Avenue,32405,30.1834449,-85.7204391
1904,Brown Avenue,32405,30.1834402,-85.7209395
1905,Wainwright Avenue,32405,30.1834648,-85.7222520
1905,Brown Avenue,32405,30.1834789,-85.7213618
1904,Palmetto Avenue,32405,30.1834589,-85.7228895
1904,Wainwright Avenue,32405,30.1834624,-85.7217276
1906,Baltimore Avenue,32405,30.1835760,-85.7200062
1907,Moates Avenue,32405,30.1836254,-85.7192266
1907,Baltimore Avenue,32405,30.1836423,-85.7204485
1907,Wainwright Avenue,32405,30.1836435,-85.7222259
1907,Brown Avenue,32405,30.1836452,-85.7213689
1906,Wainwright Avenue,32405,30.1836620,-85.7217700
1906,Palmetto Avenue,32405,30.1836406,-85.7229254
1908,Baltimore Avenue,32405,30.1837708,-85.7199903
1909,Moates Avenue,32405,30.1838020,-85.7192518
1909,Baltimore Avenue,32405,30.1838524,-85.7204761
1908,Palmetto Avenue,32405,30.1838550,-85.7228305
4603,West 19th Court,32405,30.1838591,-85.7208466
4701,West 19th Court,32405,30.1838772,-85.7214101
4703,West 19th Court,32405,30.1838661,-85.7217381
1909,Wainwright Avenue,32405,30.1838883,-85.7222494
4803,West 19th Court,32405,30.1839783,-85.7224603
1910,Baltimore Avenue,32405,30.1839333,-85.7199713
1910,Palmetto Avenue,32405,30.1840345,-85.7226737
1911,Moates Avenue,32405,30.1840598,-85.7192547
4700,West 19th Court,32405,30.1842748,-85.7211556
4702,West 19th Court,32405,30.1842963,-85.7214104
4704,West 19th Court,32405,30.1842823,-85.7216179
1912,Baltimore Avenue,32405,30.1841995,-85.7200857
4706,West 19th Court,32405,30.1843019,-85.7218153
4800,West 19th Court,32405,30.1843233,-85.7220731
4600,West 19th Court,32405,30.1842851,-85.7203009
4802,West 19th Court,32405,30.1843490,-85.7222225
4602,West 19th Court,32405,30.1842899,-85.7205365
1912,Palmetto Avenue,32405,30.1843698,-85.7224548
4604,West 19th Court,32405,30.1842835,-85.7207252
4606,West 19th Court,32405,30.1842736,-85.7209332
4900,West 19th Court,32405,30.1841928,-85.7232536
1913,Palmetto Avenue,32405,30.1843578,-85.7230574
1834,A Avenue,32401,30.1820145,-85.7272311
