House number,Street name,Postal code,Latitude,Longitude
451,Northwest 70th Terrace,33317,26.1274686,-80.2427397
511,North Fig Tree Lane,33317,26.1288920,-80.2298404
6901,West Broward Boulevard,33317,26.1212090,-80.2384120
1725,N University Dr,33322,26.1479168,-80.2574741
12301,West Sunrise Boulevard,33323,26.1471766,-80.3126866
12640,Sunrise Boulevard,33323,26.1447110,-80.3112060
2128,North University Drive,33322,26.1488062,-80.2558894
6933,West Broward Boulevard,33317,26.1221470,-80.2402220
7823,West Sunrise Boulevard,33322,26.1489602,-80.2544228
7811,West Sunrise Boulevard,33322,26.1489761,-80.2541503
12051,West Sunrise Boulevard,33323,26.1471642,-80.3091440
827,Nob Hill Road,33324,26.1335309,-80.2886561
901,North Nob Hill Road,33324,26.1346149,-80.2887943
10065,Cleary Boulevard,33324,26.1347134,-80.2838710
550,North Pine Island Road,33324,26.1273036,-80.2615520
8000,West Broward Boulevard,33388,26.1173553,-80.2548589
801,South University Drive,33324,26.1110168,-80.2521026
12190,West Sunrise Boulevard,33323,26.1447046,-80.3109775
10001,Cleary Boulevard,33324,26.1333618,-80.2837046
6741,West Sunrise Boulevard,33313,26.1416947,-80.2384418
6971,West Sunrise Boulevard,33313,26.1491554,-80.2446683
6905,West Broward Boulevard,33317,26.1224335,-80.2387097
11430,Northwest 5th Street,33325,26.1261586,-80.3013233
7081,Northwest 16th Street,33316,26.1451539,-80.2430378
801,South University Drive,33324,26.1103177,-80.2531850
801,South University Drive,33324,26.1114425,-80.2531099
461,Northwest 87th Road,33324,26.1255965,-80.2649072
1700,NW 66th Ave,33313,26.1461846,-80.2368097
7900,West Sunrise Boulevard,33322,26.1480803,-80.2555253
7330,Northwest 5th Street,33317,26.1276009,-80.2459150
7500,Northwest 5th Street,33317,26.1279860,-80.2481814
801,South University Drive,33324,26.1127707,-80.2531341
7025,Northwest 4th Street,33317,26.1263358,-80.2419439
1834,Northwest 94th Avenue,33322,26.1475347,-80.2773571
12050,West Sunrise Boulevard,33323,26.1444623,-80.3075439
8260,Cleary Boulevard,33324,26.1332997,-80.2628741
8263,West Sunrise Boulevard,33322,26.1496404,-80.2614436
10097,Cleary Blvd,33324,26.1351487,-80.2848771
989,North Nob Hill Road,33324,26.1351527,-80.2880177
8966,Cleary Boulevard,33324,26.1282334,-80.2687452
8966,Cleary Boulevard,33324,26.1282396,-80.2685276
9000,Cleary Boulevard,33324,26.1284138,-80.2693308
