House number,Street name,Postal code,Latitude,Longitude
1593,Southeast Village Green Drive,34952,27.3061418,-80.3029967
2199,Southwest Savona Boulevard,34953,27.2769470,-80.3855830
554,Southwest Bethany Drive,34986,27.3129000,-80.3851000
10400,Southwest Village Center Drive,34987-2186,27.2682977,-80.4313030
3207,SW Port St. Lucie Blvd.,34953,27.2488915,-80.3745756
106650,Southwest Village Parkway,34987,27.2703507,-80.4286121
10540,Southwest Village Parkway,34953,27.2716509,-80.4283307
411,Southwest Curtis Street,34983,27.3163152,-80.3551193
1949,SE Port St Lucie Boulevard,34952,27.2714763,-80.2920244
1473,Southeast Village Green Drive,34952,27.3064365,-80.3067975
627,Southwest Biltmore Street,34983,27.3138811,-80.3725037
784,Southwest Biltmore Street,34983,27.3112038,-80.3729140
2092,Southeast Mantua Street,34952,27.2777317,-80.2791643
295,Port St Lucie,34984,27.2757797,-80.3541120
220,Southwest Port Saint Lucie Boulevard,34984,27.2736964,-80.3510890
160,NW Central Park Plaza,34987,27.3150034,-80.3942229
2092,Southeast Mantua Street,34952,27.2777426,-80.2791735
9140,South Federal Highway,34952,27.2997099,-80.3023056
400,Southeast Port Saint Lucie Boulevard,34984,27.2728095,-80.3414331
1592,Southeast Village Green Drive,34952,27.3052918,-80.3029977
973,Southwest del Rio Boulevard,34953,27.2803713,-80.3733410
1283,Southwest del Rio Boulevard,34953,27.2889646,-80.3836282
201,Southwest Port Saint Lucie Boulevard,34984,27.2744299,-80.3493249
201,Southwest Port Saint Lucie Boulevard,34984,27.2744150,-80.3491754
529,Northwest Prima Vista Boulevard,34983,27.3182175,-80.3629865
150,SW Chamber Ct,34986,27.3104167,-80.4004122
1817,SE Bowie St,34952,27.2870881,-80.3398972
2337,SW Fern Cir,34953,27.2681418,-80.3578901
1473,Northwest St Lucie West Boulevard,34986,27.3152869,-80.3922175
2100,Northwest Courtyard Circle,34986,27.3119927,-80.4083591
2100,Northwest Courtyard Circle,34986,27.3119548,-80.4084996
190,Southwest Port Saint Lucie Boulevard,34984,27.2733727,-80.3482671
179,Southwest Port Saint Lucie Boulevard,34953,27.2742643,-80.3480525
1820,Southwest Fountainview Boulevard,34986,27.3108224,-80.4084608
4311,Southwest Darwin Boulevard,34953,27.2174048,-80.3556401
9335,Southwest Commerce Centre Drive,34986,27.2953112,-80.4240672
9020,S US Highway 1,34952,27.3019880,-80.3038673
1860,SW Fountainview Blvd # 106,34986,27.3092789,-80.4116818
1734,Southwest Ocean Cove Avenue,34953,27.2702792,-80.4025826
1734,SW Ocean Cove Ave,34953,27.2702514,-80.4025451
692,Southwest Prima Vista Boulevard,34983,27.3170936,-80.3708763
267,Southwest Port Saint Lucie Boulevard,34984,27.2754621,-80.3542505
1707,St. Lucie West Boulevard,34986,27.3138967,-80.4045958
1707,Northwest Saint Lucie West Boulevard,34986,27.3130685,-80.4043664
1707,Northwest Saint Lucie West Boulevard,34986,27.3131055,-80.4050343
1721,Northwest Saint Lucie,34986,27.3151228,-80.4047336
1729,Northwest Saint Lucie West Boulevard,34986,27.3151324,-80.4050859
1745,Northwest Saint Lucie West Boulevard,34986,27.3146165,-80.4063145
1753,Northwest Saint Lucie West Boulevard,34986-2501,27.3137587,-80.4060146
1769,Northwest Saint Lucie West Boulevard,34986,27.3131298,-80.4060466
10548,Southwest Village Parkway,34987,27.2716374,-80.4288955
900,Southwest Bayshore Boulevard,34983,27.3089013,-80.3713790
1445,SE Village Green Dr,34952,27.3062783,-80.3068030
270,NW Peacock Blvd,34986,27.3164455,-80.4074927
10880,SW Village Pkwy,34987,27.2664164,-80.4263762
10864,SW Village Pkwy,34987,27.2668431,-80.4263537
1193,Southeast Port Saint Lucie Boulevard,34952,27.2718558,-80.3151637
1740,Southwest Gatlin Boulevard,34953,27.2641277,-80.4011769
2255,Southeast Veterans Memorial Parkway,34952,27.2743272,-80.3172230
1272,Southwest California Boulevard,34953,27.2774015,-80.3864477
1293,Southwest Biltmore Street,34983,27.3016464,-80.3698888
1762,Southeast Port Saint Lucie Boulevard,34952,27.2702554,-80.2984669
6518,Northwest Selvitz Road,34983,27.3406861,-80.3689465
1156,Southeast Port Saint Lucie Boulevard,34952,27.2710160,-80.3163759
9200,Main Street,34952,27.2967732,-80.2997278
917,Southwest Biltmore Street,34983,27.3092917,-80.3720084
10958,Southwest Pacini Way,34987,27.2950935,-80.4364317
2362,Se Fruit Ave,34952,27.2658075,-80.2806106
1449,NW St Lucie W Blvd,34986,27.3158664,-80.3921912
1759,St Lucie W Blvd,34986,27.3134065,-80.4060308
10272,SW Meeting St,34987,27.2663872,-80.4278511
11560,Southwest Village Parkway,34987,27.2552539,-80.4266977
10900,South Highway,34952,27.2669810,-80.2842980
2041,SW Bayshore Blvd,34984,27.2794626,-80.3583255
2082,Commerce Lakes Dr,34986,27.3400096,-80.4210885
1948,Southeast Port Saint Lucie Boulevard,34952,27.2714087,-80.3031205
460,Northwest Concourse Place,34986,27.3278905,-80.4110090
250,Northwest Floresta Drive,34983,27.3241024,-80.3525860
2200,Southwest Gatlin Boulevard,34953,27.2623270,-80.4166116
2250,SW Gatlin Blvd,34953,27.2616240,-80.4191948
3253,Southwest Port Saint Lucie Boulevard,34953-3489,27.2475346,-80.3759055
2873,Southwest Port Saint Lucie Boulevard,34953,27.2586668,-80.3740642
2901,Southwest Port Saint Lucie Boulevard,34953,27.2576379,-80.3745857
1850,Southwest Gatlin Boulevard,34953,27.2620083,-80.4048525
1900,Northwest Courtyard Circle,34986,27.3150077,-80.4117155
2820,Southwest Port Saint Lucie Boulevard,34953,27.2602809,-80.3754957
1675,Northwest Saint Lucie West Boulevard,34986,27.3152048,-80.4022072
1950,Northwest Courtyard Circle,34986,27.3130034,-80.4110728
1750,Southwest Saint Lucie West Boulevard,34986-2504,27.3108637,-80.4054728
1621,Northwest Saint Lucie West Boulevard,34986,27.3136098,-80.3978192
155,Southwest Peacock Boulevard,34986,27.3096045,-80.4078756
2890,Southwest Port Saint Lucie Boulevard,34953,27.2588774,-80.3751240
1545,Northwest Saint Lucie Boulevard,34986-2113,27.3151569,-80.3931482
1790,Southwest Saint Lucie West Boulevard,34986,27.3106927,-80.4076362
1680,SW St Lucie West Boulevard,34986,27.3113450,-80.4018923
2000,Northwest Courtyard Circle,34986,27.3126737,-80.4101860
1641,Northwest Saint Lucie West Boulevard,34986,27.3132948,-80.3991571
2880,Southwest Port St Lucie Boulevard,34953,27.2592364,-80.3749887
1601,Northwest Courtyard Circle,34986,27.3137323,-80.4089110
1920,Southwest Fountainview Boulevard,34986,27.3068600,-80.4114338
3199,Southwest Port Saint Lucie Boulevard,34953-3228,27.2497800,-80.3763407
5473,Northwest Saint James Drive,34983-3444,27.3549072,-80.3580856
5435,Saint James Drive,34983,27.3543292,-80.3567235
2620,Southeast Mariposa Avenue,34952,27.2700230,-80.2701862
10855,South Us Highway,34952,27.2654381,-80.2874822
10604,Village Parkway,34987,27.2715856,-80.4297035
1750,Southwest Gatlin Boulevard,34953,27.2620473,-80.4013858
125,SE VIA TESORO BLVD,34984,27.2244234,-80.3270866
125,SE VIA TESORO BLVD,34984,27.2262452,-80.3348097
125,SE VIA TESORO BLVD,34984,27.2276273,-80.3214297
1916,Perfect Drive,34986,27.3101908,-80.4282187
784,Southwest Biltmore Street,34983,27.3111299,-80.3729139
10250,Southwest Village Parkway,34987,27.2768941,-80.4287078
9932,Southwest Chadwick Drive,34987,27.2839984,-80.4344293
2250,Southeast Walton Road,34952,27.2974328,-80.2714319
1800,Southeast Tiffany Avenue,34952,27.2888327,-80.2941761
3200,Southbend Blvd,34984,27.2432784,-80.3412182
1537,Northwest Saint Lucie West Boulevard,34986,27.3182799,-80.3884829
128,Southwest Port Saint Lucie Boulevard,34984,27.2729993,-80.3443461
400,Southeast Port Saint Lucie Boulevard,34953,27.2727591,-80.3411025
280,Southwest Port Saint Lucie Boulevard,34984,27.2736450,-80.3547081
1954,Southwest Gatlin Boulevard,34953,27.2640270,-80.4091974
770,Southwest Saint Lucie West Boulevard,34986,27.3170974,-80.3783209
902,Southwest Saint Lucie West Boulevard,34986,27.3162276,-80.3808217
701,Northwest Saint Lucie Boulevard,34986,27.3197005,-80.3773555
700,Saint Lucie West Boulevard,34986,27.3163113,-80.3764139
5160,Northwest Milner Drive,34983,27.3714635,-80.3803414
1080,Southeast Port Saint Lucie Boulevard,34952,27.2714273,-80.3188678
1025,Southeast Port Saint Lucie Boulevard,34982,27.2722791,-80.3186755
10770,Tradition Parkway,34987,27.2638847,-80.4343135
1840,Southwest Gatlin Boulevard,34953,27.2642118,-80.4044893
2002,Southeast Port Saint Lucie Boulevard,34952,27.2704240,-80.2892940
2410,Southeast Morningside Boulevard,34952-5421,27.2694960,-80.2983300
475,Southeast Port Saint Lucie Boulevard,34984,27.2733985,-80.3383850
215,Southwest Port Saint Lucie Boulevard,34953,27.2746460,-80.3506870
230,Southwest Port Saint Lucie Boulevard,34984,27.2738080,-80.3514680
221,Southwest Port Saint Lucie Boulevard,34953,27.2748287,-80.3514477
246,Southwest Port Saint Lucie Boulevard,34984,27.2739160,-80.3525925
270,Southwest Port Saint Lucie Boulevard,34984,27.2738265,-80.3540312
500,Northwest California Boulevard,34986-2601,27.3258135,-80.3988070
10000,Southwest Innovation Way,34987,27.2613215,-80.4261535
2173,Southwest Gatlin Boulevard,34953,27.2651745,-80.4142474
1740,Southwest Gatlin Boulevard,34853,27.2641190,-80.4011795
299,Southwest Port Saint Lucie Boulevard,34984,27.2744565,-80.3553981
149,Northwest Bayshore Boulevard,34983,27.3184664,-80.3710214
692,Southwest Prima Vista Boulevard,34983,27.3172065,-80.3709425
480,Southwest Ravenswood Lane,34983,27.3146835,-80.3521354
450,Southwest Irving Street,34983,27.3159295,-80.3539455
151,Southwest Kestor Drive,34953,27.2170419,-80.3518744
121,Southwest Kestor Drive,34953,27.2163917,-80.3528610
230,Southwest Kestor Drive,34953,27.2161914,-80.3542536
4333,Southwest Darwin Boulevard,34953,27.2168723,-80.3554862
11071,Southwest Village Parkway,34987,27.2630326,-80.4319502
10080,Southwest Innovation Way,34987,27.2610751,-80.4270994
10050,Southwest Innovation Way,34987,27.2605658,-80.4267799
12920,Southwest Gingerline Drive,34987,27.2296371,-80.4185794
12914,Southwest Gingerline Drive,34987,27.2297858,-80.4186695
12908,Southwest Gingerline Drive,34987,27.2299344,-80.4187945
12902,Southwest Gingerline Drive,34987,27.2300995,-80.4188851
12896,Southwest Gingerline Drive,34987,27.2302661,-80.4190129
