House number,Street name,Postal code,Latitude,Longitude
1445,East Venice Avenue,34292-3064,27.0983832,-82.4148317
3479,Precision Drive,34275,27.1384277,-82.4032256
2438,Laurel Road East,34275-3204,27.1361277,-82.4195664
108,Cohosh Road,34275,27.1302266,-82.4184824
112,Cohosh Road,34275,27.1302481,-82.4186434
116,Cohosh Road,34275,27.1302499,-82.4188177
240,Carlino Drive,34275,27.1297616,-82.3767883
252,Carlino Drive,34275,27.1302891,-82.3764530
248,Carlino Drive,34275,27.1301435,-82.3765308
244,Carlino Drive,34275,27.1299502,-82.3766649
247,Carlino Drive,34275,27.1303035,-82.3766891
243,Carlino Drive,34275,27.1302581,-82.3767239
252,Carlino Drive,34275,27.1302915,-82.3764235
112,Cohosh Road,34275,27.1304279,-82.4186421
425,US 41 By-Pass,34285,27.1057363,-82.4374610
1455,E Venice Avenue,34285,27.0983521,-82.4150245
246,W Tampa Ave,34285,27.1012466,-82.4465117
395,US 41 By-Pass,34285,27.1040581,-82.4347623
430,Venice Bypass North,34292,27.1063684,-82.4355946
304,West Venice Avenue,34285,27.1003050,-82.4483952
415,US 41 By-Pass,34285,27.1049114,-82.4354160
729,Apalachicola Road,34285,27.1018953,-82.4592377
997,US 41 By-Pass N,34285,27.1082557,-82.4437739
565,US 41 By-Pass,34285,27.1064869,-82.4406920
537,41 Bypass North,34285,27.1063296,-82.4391495
333,Tamiami Trail S,34285,27.0953886,-82.4435016
871,Venetia Bay Boulevard,34285,27.1121663,-82.4435497
458,North Venice Bypass,34285,27.1079902,-82.4370311
430,East Venice Avenue,34285,27.0996541,-82.4379705
103,Triple Diamond Boulevard,34275,27.1448582,-82.4020734
111,Triple Diamond Boulevard,34275,27.1461492,-82.4043859
116,West Venice Avenue,34285,27.1001161,-82.4448281
125,West Venice Avenue,34285,27.0996504,-82.4449101
335,West Venice Avenue,34285,27.0995454,-82.4491953
249,Nokomis Avenue South,34285,27.0970877,-82.4453529
229,Pensacola Rd.,34285,27.0969572,-82.4463540
1801,South Harbor Drive,34285,27.0687727,-82.4416546
150,Airport Avenue East,34285,27.0714994,-82.4401931
1,Indian Avenue,34285,27.0936327,-82.4394335
150,Airport Avenue East,34285,27.0781902,-82.4430703
350,West Venice Avenue,34285,27.1002830,-82.4493682
7501,Laurel Road East,34285,27.1383095,-82.3612592
1900,Laurel Road East,34275,27.1355397,-82.4263190
2501,Laurel Rd,34275,27.1357904,-82.3732259
112,Cohosh Road,34275,27.1302678,-82.4186408
108,Cohosh Road,34275,27.1302557,-82.4184805
140,West Venice Avenue,34285,27.1010847,-82.4450895
540,The Rialto,34285,27.0904054,-82.4455353
1465,East Venice Avenue,34292-3064,27.0991915,-82.4139961
614,Guild Drive,34285,27.0900440,-82.4431628
612,Guild Drive,34285,27.0902620,-82.4431857
633,Alhambra Road,34285,27.0951999,-82.4585342
350,Tampa Avenue West,34285,27.1012389,-82.4486782
200,West Venice Avenue,34285,27.1003895,-82.4466039
1070,Technology Drive,34275,27.1417874,-82.4084746
201,Triple Diamond Bouevard,34275,27.1459526,-82.4126442
401,West Venice Avenue,34285,27.0994116,-82.4507021
480,North Venice By-Pass,34292,27.1076140,-82.4384747
250,Miami Ave W,34275,27.0991904,-82.4475372
470,US 41 By-Pass,34285,27.1077336,-82.4366893
530,US 41 By-Pass S,34285,27.0931055,-82.4342767
312,Miami Avenue West,34285,27.0992007,-82.4483532
990,La Guna Drive,34285,27.1054460,-82.4611904
201,Warfield Avenue North,34285,27.1006904,-82.4375231
700,Tamiami Trail S,34285,27.0888340,-82.4439440
390,Nokomis Avenue South,34285,27.0946064,-82.4459440
300,West Venice Avenue,34285,27.1002117,-82.4479411
750,US 41 By-Pass,34285,27.1092745,-82.4418466
2480,Laurel Road East,34275,27.1369008,-82.4187405
300,Nokomis Avenue South,34285,27.0957923,-82.4458905
105,Bluegrass Court,34275,27.1456424,-82.4068765
1800,Harbor Drive South,34285,27.0706651,-82.4487898
535,South Tamiami Trail,34285,27.0920034,-82.4424565
597,S Tamiami Trl,34285,27.0909872,-82.4439354
250,Fort Street,34285,27.0827746,-82.4414627
590,US 41 By-Pass,34285,27.0922304,-82.4338269
2001,Pinebrook Road,34292,27.1252646,-82.4183493
203,Base Avenue East,34285,27.0798439,-82.4418619
235,Base Avenue East,34285,27.0798456,-82.4409890
1001,Avenida del Circo,34285,27.0821409,-82.4362436
265,Nokomis Avenue South,34285,27.0967469,-82.4451820
1250,Tarpon Center Drive,34285,27.1080854,-82.4614402
1400,Tarpon Center Drive,34285,27.1100359,-82.4639107
255,The Esplanade North,34285,27.1015396,-82.4604723
555,The Esplanade North,34285,27.1026740,-82.4609794
628,East Venice Avenue,34285,27.0994871,-82.4346551
616,Guild Drive,34285,27.0898718,-82.4430082
840,The Esplanade North,34285,27.1046937,-82.4615749
845,The Esplanade North,34285,27.1047342,-82.4607146
237,Warfield Avenue,34285,27.0974234,-82.4355533
563,Highway 41 Bypass,34285,27.1069925,-82.4397175
100,West Venice Avenue,34285,27.1002063,-82.4447238
2300,Laurel Road East,34275,27.1368938,-82.4226458
316,Sarasota Street,34285,27.1023053,-82.4488509
920,Church Street,34285,27.0837298,-82.4436441
1971,Pinebrook Road,34292,27.1236267,-82.4179682
2420,Edmondson Road,34292,27.1231792,-82.4179903
425,US 41 By-Pass,34285,27.1053861,-82.4369631
881,Venetia Bay Boulevard,34292,27.1124230,-82.4443665
