House number,Street name,Postal code,Latitude,Longitude
372,South Eagle Road,83616,43.6917854,-116.3521240
175,South Rosebud Lane,83616,43.6942899,-116.3999490
4363,West Gray Fox Street,83616,43.6633075,-116.4082945
4363,West Gray Fox Street,83616,43.6633105,-116.4078820
2976,East State Street,83616,43.6841461,-116.3177860
2976,East State Street,83616,43.6842025,-116.3177135
2976,East State Street,83616,43.6842686,-116.3176700
2976,East State Street,83616,43.6843346,-116.3176300
2976,East State Street,83616,43.6843756,-116.3176010
2976,East State Street,83616,43.6844160,-116.3175735
12,North Echohawk Lane,83616,43.6930280,-116.3204870
36,North Echohawk Lane,83616,43.6930282,-116.3200015
36,North Echohawk Lane,83616,43.6930227,-116.3198420
36,North Echohawk Lane,83616,43.6930165,-116.3197495
36,North Echohawk Lane,83616,43.6930724,-116.3196431
4363,West Gray Fox Street,83616,43.6632982,-116.4081610
4363,West Gray Fox Street,83616,43.6632991,-116.4080330
6500,North Linder Road,83646,43.6633774,-116.4132951
6500,North Linder Road,83646,43.6637460,-116.4132971
6500,North Linder Road,83646,43.6636841,-116.4132968
625,East State Street,83616,43.6943188,-116.3459799
858,West Two Rivers Lane,83616,43.6813745,-116.3652572
2105,South Links Place,83616,43.6755471,-116.3760560
2110,South Links Place,83616,43.6756000,-116.3757010
205,South 2nd Street,83616,43.6940780,-116.3515843
120,East Aikens Road,83616,43.6944099,-116.3524067
165,East Aikens Road,83616,43.6941359,-116.3519345
365,North Eagle Road,83616,43.6977254,-116.3545477
767,North Eagle Road,83616,43.7026416,-116.3544167
761,North Eagle Road,83616,43.7027350,-116.3544035
755,North Eagle Road,83616,43.7028746,-116.3544022
83,East Ranch Drive,83616,43.7005631,-116.3531235
27,East Ranch Drive,83616,43.7012997,-116.3535245
41,East Ranch Drive,83616,43.7006653,-116.3536306
37,East Ranch Drive,83616,43.7008505,-116.3536084
23,East Ranch Drive,83616,43.7014418,-116.3536544
39,East Ranch Drive,83616,43.7007438,-116.3536635
1230,West Hereford Drive,83616,43.7011250,-116.3687634
281,South Payette Place,83616,43.6930506,-116.3727124
475,West Rivermoor Lane,83616,43.6782447,-116.3601681
1150,East Winding Creek Drive,83616,43.6950865,-116.3385989
1136,East Winding Creek Drive,83616,43.6946508,-116.3389027
1244,East Winding Creek Drive,83616,43.6947182,-116.3382439
