House number,Street name,Postal code,Latitude,Longitude
5157,North Glenwood Street,83714,43.6517819,-116.2810104
5173,North Glenwood Street,83714,43.6517944,-116.2803864
5163,North Glenwood Street,83714,43.6517899,-116.2807962
5165,North Glenwood Street,83714,43.6517910,-116.2806791
5310,West Chinden Boulevard,83714,43.6460325,-116.2732844
5290,West Chinden Boulevard,83714,43.6456591,-116.2724425
5254,West Chinden Boulevard,83714,43.6452142,-116.2715725
5226;5236,West Chinden Boulevard,83714,43.6449385,-116.2710588
4977,North Glenwood Street,83714,43.6507950,-116.2814057
9115,West Chinden Boulevard,83714,43.6546399,-116.2955985
5242,West Chinden Boulevard,83714,43.6450744,-116.2713189
4376,West Chinden Boulevard,83714,43.6339947,-116.2542890
5863,North Garrett Street,83714,43.6587642,-116.2983250
5865,North Garrett Street,83714,43.6585829,-116.2988627
5867,North Garrett Street,83714,43.6583843,-116.2992872
5861,North Garrett Street,83714,43.6583785,-116.2982526
5869,North Garrett Street,83714,43.6581864,-116.2986855
9293,West Austin Street,83714,43.6562280,-116.2982121
9275,West Austin Street,83714,43.6560467,-116.2978475
9261,West Austin Street,83714,43.6560336,-116.2976225
9225,West Chinden Boulevard,83714,43.6549681,-116.2977412
9225,West Chinden Boulevard,83714,43.6552076,-116.2977500
9225,West Chinden Boulevard,83714,43.6551797,-116.2976081
9225,West Chinden Boulevard,83714,43.6551401,-116.2975290
9673,West Hoff Drive,83714,43.6607829,-116.3017790
9415,West Thurman Drive,83714,43.6583682,-116.3001876
9415,West Thurman Drive,83714,43.6583144,-116.3002086
9415,West Thurman Drive,83714,43.6583854,-116.3002778
9415,West Thurman Drive,83714,43.6583325,-116.3003043
9415,West Thurman Drive,83714,43.6584093,-116.3003776
9415,West Thurman Drive,83714,43.6583496,-116.3004013
9415,West Thurman Drive,83714,43.6579637,-116.3006331
9415,West Thurman Drive,83714,43.6580166,-116.3006107
9415,West Thurman Drive,83714,43.6579456,-116.3005388
9415,West Thurman Drive,83714,43.6579965,-116.3005191
9415,West Thurman Drive,83714,43.6579198,-116.3004310
200,East 46th Place,83714,43.6376949,-116.2568512
4844,North Fenton Street,83714,43.6409146,-116.2627169
306,East 46th Street,83714,43.6389226,-116.2552043
4654,North Fenton Street,83714,43.6382074,-116.2588472
4648,North Fenton Street,83714,43.6381005,-116.2586338
4545,West Chinden Boulevard,83714,43.6355452,-116.2581516
4780,North Goodall Street,83714,43.6382276,-116.2629670
4554,West Chinden Boulevard,83714,43.6360708,-116.2576980
4800,North Goodall Street,83714,43.6383883,-116.2632186
4805,West Chinden Boulevard,83714,43.6387633,-116.2628442
4829,West Chinden Boulevard,83714,43.6389772,-116.2631676
4748,North Goodall Street,83714,43.6378534,-116.2624225
4784,North Goodall Street,83714,43.6382997,-116.2630950
4816,North Goodall Street,83714,43.6385887,-116.2634841
8106,West Penny Lane,83714,43.6578042,-116.2826777
8124,West Penny Lane,83714,43.6578040,-116.2829052
8088,West Penny Lane,83714,43.6578104,-116.2825084
8070,West Penny Lane,83714,43.6578679,-116.2821944
8056,West Penny Lane,83714,43.6577564,-116.2821917
8055,West Penny Lane,83714,43.6576408,-116.2821933
8069,West Penny Lane,83714,43.6575365,-116.2821943
8093,West Penny Lane,83714,43.6575798,-116.2825157
8403,West Marigold Street,83714,43.6589508,-116.2869561
10238,West Charlie Lane,83714,43.6783933,-116.3087432
10238,West Charlie Lane,83714,43.6782478,-116.3086945
10238,West Charlie Lane,83714,43.6783168,-116.3086533
10238,West Charlie Lane,83714,43.6783856,-116.3086539
10041,West Charlie Lane,83714,43.6777039,-116.3063416
10041,West Charlie Lane,83714,43.6777012,-116.3064866
10233,West Charlie Lane,83714,43.6779103,-116.3086780
10233,West Charlie Lane,83714,43.6779772,-116.3086396
10233,West Charlie Lane,83714,43.6780642,-116.3086516
10201,West Charlie Lane,83714,43.6776850,-116.3086078
508,East 40th Street,83714,43.6333898,-116.2420365
3945,North Reed Street,83714,43.6323756,-116.2412842
3947,North Reed Street,83714,43.6325019,-116.2413594
412,East 41st Street,83714,43.6342184,-116.2445996
403,East 41st Street,83714,43.6331763,-116.2447625
510,East 41st Street,83714,43.6349330,-116.2432804
3900,North Reed Street,83714,43.6320025,-116.2401644
403,East 40th Street,83714,43.6320682,-116.2431574
514,East 42nd Street,83714,43.6366111,-116.2455081
4295,North Rooftop Lane,83714,43.6372568,-116.2464859
