House number,Street name,Postal code,Latitude,Longitude
90,South Star Road,83669,43.6915906,-116.4927922
28,South Star Road,83669,43.6917929,-116.4927917
10706,West State Street,83669,43.6923132,-116.4869472
9712,West State Street,83669,43.6922971,-116.4746685
8323,West Moon Valley Road,83616,43.6897631,-116.4577469
7105,North Stonebriar Lane,83646,43.6701085,-116.4739108
7290,North Stonebriar Lane,83646,43.6710605,-116.4724740
7685,North Stonebriar Lane,83646,43.6745199,-116.4743883
7549,North Stonebriar Lane,83646,43.6722788,-116.4751068
7843,North Stonebriar Lane,83646,43.6767842,-116.4775542
8000,North Stonebriar Lane,83646,43.6776745,-116.4758426
817,South Short Lane,83616,43.6837830,-116.4505445
7934,West Astronaut Lane,83616,43.6872206,-116.4528082
530,South Short Lane,83616,43.6869566,-116.4513854
11037,West State Street,83669,43.6917592,-116.4908893
11069,West State Street,83669,43.6916971,-116.4916781
64,South Star Road,83669,43.6917249,-116.4927920
86,South Main Street,83669,43.6910561,-116.4897935
205,South Main Street,83669,43.6912373,-116.4907526
2305,North Pollard Lane,83669,43.7131116,-116.4723102
3013,North Pollard Lane,83669,43.7192365,-116.4684845
3539,North Eleanor Way,83669,43.7247640,-116.4840529
1600,North Rook Way,83669,43.7061691,-116.4829239
2327,North Worsley Lane,83669,43.7132996,-116.4640615
2397,North Pollard Lane,83669,43.7140792,-116.4686468
9058,West Beacon Light Road,83669,43.7214820,-116.4665675
1436,North Redspire Way,83669,43.7048651,-116.4761404
680,South Calhoun Place,83669,43.6875861,-116.4629201
342,South Calhoun Place,83669,43.6889637,-116.4627414
8706,West State Street,83669,43.6922245,-116.4628718
869,North Barkvine Avenue,83669,43.6994215,-116.4727688
856,North Garnet Creek Avenue,83669,43.6996861,-116.4701130
246,North Seneca Springs Way,83669,43.6944033,-116.4778013
246,North Seneca Springs Way,83669,43.6943273,-116.4778043
246,North Seneca Springs Way,83669,43.6940972,-116.4778062
246,North Seneca Springs Way,83669,43.6940126,-116.4778032
246,North Seneca Springs Way,83669,43.6942273,-116.4780603
246,North Seneca Springs Way,83669,43.6942484,-116.4778034
246,North Seneca Springs Way,83669,43.6939351,-116.4777983
243,North Aspen Lakes Way,83669,43.6941733,-116.4830206
10087,West Capella Drive,83669,43.6967137,-116.4791971
200,North Seneca Springs Way,83669,43.6935756,-116.4773152
200,North Seneca Springs Way,83669,43.6936649,-116.4773122
176,North Seneca Springs Way,83669,43.6935880,-116.4776999
176,North Seneca Springs Way,83669,43.6935902,-116.4778229
124,North Seneca Springs Way,83669,43.6931954,-116.4772470
124,North Seneca Springs Way,83669,43.6933085,-116.4772484
152,North Seneca Springs Way,83669,43.6932664,-116.4777051
152,North Seneca Springs Way,83669,43.6932655,-116.4778405
88,North Seneca Springs Way,83669,43.6928045,-116.4777886
88,North Seneca Springs Way,83669,43.6928967,-116.4777938
36,North Seneca Springs Way,83669,43.6921795,-116.4772430
36,North Seneca Springs Way,83669,43.6923908,-116.4772420
50,North Seneca Springs Way,83669,43.6927548,-116.4772457
