House number,Street name,Postal code,Latitude,Longitude
2924,Holt Street,41101,38.4597092,-82.6406728
520,17th Street,41101,38.4757200,-82.6400372
1000,Carter Avenue,41101,38.4805639,-82.6467028
913,Winchester Avenue,41101,38.4826027,-82.6468262
1224,Carter Avenue,41101,38.4793566,-82.6441199
1117,13th Street,41101,38.4730698,-82.6492939
2206,13th Street,41101-3522,38.4657344,-82.6581934
711,Martin Luther King Jr Boulevard,41101,38.4765471,-82.6489425
3300,13th Street,41102-5466,38.4580224,-82.6659236
2830,Winchester Avenue,41101,38.4702327,-82.6242662
2850,Winchester Avenue,41101,38.4699261,-82.6239389
461,Riverhill Drive,41101,38.4834824,-82.6591805
2800,Winchester Avenue,41101,38.4706023,-82.6247007
711,Martin Luther King Jr Boulevard,41101,38.4781409,-82.6483444
711,Martin Luther King Junior Boulevard,41101,38.4776684,-82.6497230
1221,Lexington Avenue,41101,38.4763382,-82.6467136
1243,Carter Avenue,41101,38.4655286,-82.6593521
1222,Lexington Avenue,41101,38.4754373,-82.6473667
1201,Winchester Avenue,41101,38.4804673,-82.6438919
901,13th Street,41101,38.4744830,-82.6482371
3406,13th Street,41102,38.4570121,-82.6672110
441,River Hill Drive,41101,38.4840346,-82.6601890
410,River Hill Drive,41101,38.4860287,-82.6613045
500,Winchester Avenue,41101,38.4829608,-82.6526937
500,Winchester Avenue,41101,38.4845823,-82.6542882
115,6th Street,41101,38.4861186,-82.6497250
2004,6th Street,41101,38.4769301,-82.6598903
2002,Greenup Avenue,41101,38.4767784,-82.6342423
1222,Lexington Avenue,41101,38.4756926,-82.6472804
607,Winchester Avenue,41101,38.4844879,-82.6503282
607,Winchester Avenue,41101,38.4847011,-82.6501847
2101,Carter Ave,41101,38.4752045,-82.6347221
1240,Winchester Avenue,41101,38.4802358,-82.6434305
1212,Bath Ave.,41101,38.4775015,-82.6456773
1620,Winchester Avenue,41101,38.4780969,-82.6392201
2550,Winchester Avenue,41101-7838,38.4720289,-82.6271986
2524,Winchester Avenue,41101-7838,38.4723976,-82.6278205
2201,Lexington Avenue,41101,38.4707155,-82.6328843
351,River Hill Drive,41101,38.4854763,-82.6580937
469,River Hill Drive,41101,38.4842394,-82.6573879
495,River Hill Drive,41101,38.4832919,-82.6568469
1441,Winchester Avenue,41101,38.4796549,-82.6408433
1900,Front Street,41101,38.4777797,-82.6296381
2420,Roberts Drive,41102,38.4744148,-82.6672597
1300,Winchester Avenue,41101,38.4800123,-82.6429383
500,Winchester Avenue,41101,38.4842408,-82.6535410
205,Town Center Drive,41101,38.4857112,-82.6515246
1221,Lexington Avenue,41101,38.4764088,-82.6468909
444,Blackburn Avenue,41101,38.4717033,-82.6623540
190,Providence Hill Drive,41101,38.4912607,-82.6638316
900,Winchester Avenue,41101,38.4819788,-82.6470514
3020,Winchester Avenue,41101,38.4686927,-82.6223640
4708,Winchester Avenue,41101,38.4459988,-82.6118699
2317,Winchester Avenue,41101,38.4741983,-82.6298843
305,Martin Luther King Junior Boulevard,41101,38.4810292,-82.6449110
1740,Central Avenue,41101-7653,38.4755584,-82.6393111
