House number,Street name,Postal code,Latitude,Longitude
3111,Goose Creek Road,40241,38.2944421,-85.5875324
3413,Rems Road,40241,38.2978178,-85.5843132
3107,Goose Creek Road,40241,38.2939593,-85.5873178
3109,Goose Creek Road,40241,38.2941935,-85.5874802
3200,Broeck Pointe Circle,40241,38.2970246,-85.5859055
3201,Broeck Pointe Circle,40241,38.2963187,-85.5863803
3202,Broeck Pointe Circle,40241,38.2970670,-85.5855466
3203,Broeck Pointe Circle,40241,38.2964695,-85.5860551
3203,Goose Creek Road,40241,38.2952187,-85.5882302
3204,Broeck Pointe Circle,40241,38.2971027,-85.5851982
3205,Broeck Pointe Circle,40241,38.2965667,-85.5857798
3205,Goose Creek Road,40241,38.2954299,-85.5884071
3206,Broeck Pointe Circle,40241,38.2970858,-85.5848852
3207,Broeck Pointe Circle,40241,38.2966105,-85.5854402
3207,Goose Creek Road,40241,38.2956366,-85.5885498
3208,Broeck Pointe Circle,40241,38.2970408,-85.5845551
3209,Broeck Pointe Circle,40241,38.2966469,-85.5851978
3209,Goose Creek Road,40241,38.2958371,-85.5887357
3210,Broeck Pointe Circle,40241,38.2969703,-85.5842576
3211,Broeck Pointe Circle,40241,38.2966343,-85.5848979
3212,Broeck Pointe Circle,40241,38.2968848,-85.5839179
3213,Broeck Pointe Circle,40241,38.2965827,-85.5846400
3214,Broeck Pointe Circle,40241,38.2966438,-85.5837029
3215,Broeck Pointe Circle,40241,38.2964933,-85.5843898
3216,Broeck Pointe Circle,40241,38.2964037,-85.5835746
3217,Broeck Pointe Circle,40241,38.2963538,-85.5841906
3218,Broeck Pointe Circle,40241,38.2961572,-85.5834743
3219,Broeck Pointe Circle,40241,38.2961203,-85.5840823
3220,Broeck Pointe Circle,40241,38.2959415,-85.5835140
3221,Broeck Pointe Circle,40241,38.2958967,-85.5840598
3222,Broeck Pointe Circle,40241,38.2956578,-85.5835502
3223,Broeck Pointe Circle,40241,38.2956691,-85.5841313
3224,Broeck Pointe Circle,40241,38.2953921,-85.5836934
3225,Broeck Pointe Circle,40241,38.2954670,-85.5842678
3226,Broeck Pointe Circle,40241,38.2951627,-85.5838592
3227,Broeck Pointe Circle,40241,38.2953065,-85.5844470
3228,Broeck Pointe Circle,40241,38.2949740,-85.5841249
3229,Broeck Pointe Circle,40241,38.2951970,-85.5847391
3230,Broeck Pointe Circle,40241,38.2948523,-85.5843465
3231,Broeck Pointe Circle,40241,38.2950728,-85.5849755
3238,Broeck Pointe Circle,40241,38.2946541,-85.5847611
3300,Broeck Pointe Circle,40241,38.2942556,-85.5855448
3300,Broeck Pointe Court,40241,38.2937636,-85.5868037
3300,Cross Pointe Road,40241,38.2935396,-85.5853451
3301,Broeck Pointe Court,40241,38.2935982,-85.5864783
3301,Cross Pointe Road,40241,38.2935328,-85.5850892
3302,Broeck Pointe Circle,40241,38.2941079,-85.5858513
3302,Broeck Pointe Court,40241,38.2940163,-85.5869278
3302,Cross Pointe Road,40241,38.2936328,-85.5856455
3303,Broeck Pointe Circle,40241,38.2945568,-85.5862110
3303,Broeck Pointe Court,40241,38.2937397,-85.5862035
3303,Cross Pointe Road,40241,38.2936725,-85.5847816
3304,Cross Pointe Road,40241,38.2939116,-85.5855708
3305,Broeck Pointe Court,40241,38.2940361,-85.5861880
3305,Cross Pointe Road,40241,38.2939567,-85.5848714
3306,Broeck Pointe Circle,40241,38.2942264,-85.5867405
