House number,Street name,Postal code,Latitude,Longitude
10,Swope Autocenter Drive,40299,38.2178429,-85.5821262
1933,South Hurstbourne Parkway,40220,38.2157734,-85.5843481
1935,South Hurstbourne Parkway,40220,38.2157206,-85.5845487
1939,South Hurstbourne Parkway,40220,38.2158272,-85.5846547
1941,South Hurstbourne Parkway,40220,38.2159410,-85.5847525
1945,South Hurstbourne Parkway,40220,38.2160348,-85.5850035
1955,South Hurstbourne Parkway,40220,38.2166612,-85.5852454
1969,South Hurstbourne Parkway,40220,38.2170347,-85.5855892
1971,South Hurstbourne Parkway,40220,38.2168434,-85.5854201
1975,South Hurstbourne Parkway,40220,38.2171532,-85.5856874
1977,South Hurstbourne Parkway,40220,38.2172900,-85.5858834
1979,South Hurstbourne Parkway,40220,38.2172131,-85.5860473
1983,South Hurstbourne Parkway,40220,38.2171676,-85.5861391
1987,South Hurstbourne Parkway,40220,38.2171134,-85.5862404
2001,South Hurstbourne Parkway,40220,38.2169224,-85.5866674
2007,South Hurstbourne Parkway,40220,38.2168575,-85.5867709
2009,South Hurstbourne Parkway,40220,38.2168282,-85.5868378
2011,South Hurstbourne Parkway,40220,38.2167894,-85.5869442
2015,South Hurstbourne Parkway,40220,38.2167825,-85.5869375
2017,South Hurstbourne Parkway,40220,38.2167157,-85.5871391
2025,South Hurstbourne Parkway,40220,38.2166601,-85.5872119
2033,South Hurstbourne Parkway,40220,38.2165992,-85.5873958
2035,South Hurstbourne Parkway,40220,38.2165718,-85.5874588
2039,South Hurstbourne Parkway,40220,38.2165370,-85.5875347
2043,South Hurstbourne Parkway,40220,38.2165058,-85.5876177
2045,South Hurstbourne Parkway,40220,38.2164783,-85.5876803
2105,South Hurstbourne Parkway,40220,38.2157689,-85.5893287
2115,Canterbrook Drive,40299,38.2153699,-85.5878137
2115,South Hurstbourne Parkway,40220,38.2157166,-85.5894003
2125,South Hurstbourne Parkway,40220,38.2156642,-85.5894754
2209,Janlyn Road,40299,38.2137656,-85.5815058
2300,Hurstbourne Village Drive,40299,38.2160740,-85.5795285
2300,Hurstbourne Village Drive,40299,38.2161097,-85.5794676
2300,Hurstbourne Village Drive,40299,38.2161180,-85.5795683
2300,Hurstbourne Village Drive,40299,38.2161465,-85.5793870
2300,Hurstbourne Village Drive,40299,38.2161492,-85.5794915
2300,Hurstbourne Village Drive,40299,38.2161829,-85.5793001
2300,Hurstbourne Village Drive,40299,38.2161846,-85.5794249
2300,Hurstbourne Village Drive,40299,38.2162182,-85.5792282
2300,Hurstbourne Village Drive,40299,38.2162297,-85.5793332
2300,Hurstbourne Village Drive,40299,38.2162468,-85.5791586
2300,Hurstbourne Village Drive,40299,38.2162635,-85.5792681
2300,Hurstbourne Village Drive,40299,38.2163000,-85.5791892
2301,Hurstbourne Village Drive,40299,38.2162927,-85.5783494
2301,Hurstbourne Village Drive,40299,38.2163097,-85.5784202
2301,Hurstbourne Village Drive,40299,38.2163363,-85.5785152
2301,Hurstbourne Village Drive,40299,38.2163442,-85.5783349
2301,Hurstbourne Village Drive,40299,38.2163551,-85.5786044
2301,Hurstbourne Village Drive,40299,38.2163608,-85.5783978
2301,Hurstbourne Village Drive,40299,38.2163885,-85.5785014
2301,Hurstbourne Village Drive,40299,38.2164171,-85.5785836
2302,Hurstbourne Village Drive,40299,38.2154443,-85.5798033
2302,Hurstbourne Village Drive,40299,38.2154448,-85.5797346
2302,Hurstbourne Village Drive,40299,38.2155089,-85.5797457
2302,Hurstbourne Village Drive,40299,38.2155101,-85.5798179
2302,Hurstbourne Village Drive,40299,38.2155742,-85.5798376
2302,Hurstbourne Village Drive,40299,38.2155780,-85.5797589
2302,Hurstbourne Village Drive,40299,38.2156514,-85.5798460
2302,Hurstbourne Village Drive,40299,38.2156538,-85.5797745
2302,Hurstbourne Village Drive,40299,38.2157071,-85.5798534
2302,Hurstbourne Village Drive,40299,38.2157116,-85.5797830
2302,Hurstbourne Village Drive,40299,38.2157747,-85.5797910
2302,Hurstbourne Village Drive,40299,38.2157749,-85.5798663
2303,Hurstbourne Village Drive,40299,38.2158209,-85.5780313
2303,Hurstbourne Village Drive,40299,38.2158220,-85.5780988
2303,Hurstbourne Village Drive,40299,38.2158873,-85.5780958
2303,Hurstbourne Village Drive,40299,38.2158892,-85.5780292
2303,Hurstbourne Village Drive,40299,38.2159470,-85.5780960
2303,Hurstbourne Village Drive,40299,38.2159473,-85.5780237
2303,Hurstbourne Village Drive,40299,38.2160134,-85.5780938
2303,Hurstbourne Village Drive,40299,38.2160138,-85.5780202
