House number,Street name,Postal code,Latitude,Longitude
303,South Broadway Street,42141,36.9936776,-85.9121069
2371,Happy Valley Road,42141,37.0227582,-85.9356797
240,South L Rogers Wells Boulevard,42141,36.9963711,-85.9313004
1006,West Main Street,42141,37.0021506,-85.9276106
603,West Main Street,42141,36.9989489,-85.9194200
101,Porter Street.,42141,37.0056772,-85.9338495
800,West Main Street,42141,36.9996520,-85.9228550
800,West Main Street,42141,36.9997291,-85.9228336
700,Happy Valley Road,42141,37.0088600,-85.9189018
700,Happy Valley Road,42141,37.0088417,-85.9188394
700,Happy Valley Road,42141,37.0088255,-85.9187782
746,East Main Street,42141,36.9861722,-85.8989754
106,North Race Street,42141,36.9966017,-85.9125080
2000,Edmonton Road,42141,37.0101401,-85.8822680
110,Park Avenue,42141,36.9993913,-85.8998185
210,Cavalry Drive,42141,36.9854356,-85.9346027
100,Max Wagner Drive,42141,37.0232164,-85.9335953
1301,North Race Street,42141,37.0112495,-85.9051224
2345,Happy Valley Road,42141,37.0210402,-85.9378714
618,Columbia Avenue,42141,37.0007758,-85.8999280
620,Columbia Avenue,42141,37.0012740,-85.8995719
115,Park Avenue,42141,37.0004057,-85.8987733
131,Park Avenue,42141,37.0000501,-85.8984939
131,Park Avenue,42141,36.9998659,-85.8983395
302,Park Avenue,42141,36.9985378,-85.8983924
304,Park Avenue,42141,36.9984874,-85.8983408
306,Park Avenue,42141,36.9983552,-85.8982737
308,Park Avenue,42141,36.9983085,-85.8982409
310,Park Avenue,42141,36.9981864,-85.8981470
312,Park Avenue,42141,36.9981399,-85.8981047
314,Park Avenue,42141,36.9980183,-85.8980230
316,Park Avenue,42141,36.9979653,-85.8979820
318,Park Avenue,42141,36.9978490,-85.8978929
320,Park Avenue,42141,36.9977934,-85.8978607
322,Park Avenue,42141,36.9976585,-85.8977648
324,Park Avenue,42141,36.9975786,-85.8977199
326,Park Avenue,42141,36.9974538,-85.8976125
328,Park Avenue,42141,36.9973933,-85.8975623
330,Park Avenue,42141,36.9972493,-85.8974885
332,Park Avenue,42141,36.9971862,-85.8974456
334,Park Avenue,42141,36.9971015,-85.8973597
336,Park Avenue,42141,36.9970405,-85.8973316
338,Park Avenue,42141,36.9969065,-85.8972337
340,Park Avenue,42141,36.9968659,-85.8971908
342,Park Avenue,42141,36.9967427,-85.8971157
344,Park Avenue,42141,36.9966988,-85.8970620
800,West Cherry Street,42141,37.0085466,-85.9213177
104,Wall Street,42141,37.0082308,-85.9208177
810,West Cherry Street,42141,37.0088892,-85.9216727
380,N.l. Roger Wells Boulevard,42141,37.0072218,-85.9244494
124,Rogers Road,42141,37.0037489,-85.9246923
804,Happy Valley Road,42141,37.0104597,-85.9226776
208,Sl Rogers Wells Boulevard,42141,36.9999035,-85.9305447
204,South L Rogers Wells Boulevard,42141,36.9991546,-85.9286977
120,South L. Roger Wells Boulevard,42141,36.9972639,-85.9301299
214,South L Rogers Wells Boulevard,42141,36.9983432,-85.9315840
601,Grandview Avenue,42141,36.9955215,-85.9316056
601,Grandview Avenue,42141,36.9957527,-85.9315416
103,West Brown Street,42141-2101,36.9927643,-85.9141922
1003,Happy Valley Road,42141,37.0144710,-85.9278059
105,Columbia Avenue,42141,36.9973945,-85.9089994
211,North Broadway,42141,36.9969853,-85.9100579
205,North Broadway,42141,36.9966631,-85.9102012
400,North L Rogers Wells Boulevard,42141,37.0080132,-85.9237111
924,West Main Street,42141,37.0014192,-85.9260672
597,South L Rogers Wells Boulevard,42141,36.9852605,-85.9311727
100,Cavalry Drive,42141,36.9853729,-85.9323934
200,Cavalry Drive,42141,36.9854170,-85.9333482
2385,Scottsville Road,42141,36.9713987,-85.9418284
594,Reynolds Road,42141,37.0100209,-85.9363232
1100,Happy Valley Road,42141,37.0163889,-85.9279581
105,Days Inn Boulevard,42141,36.9859133,-85.9335672
115,East Main Street,42141,36.9960576,-85.9109938
3300,Veterans Outer Loop,42141,37.0209325,-85.9427050
200,North Loop Roger Wells Boulevard,42141,37.0043163,-85.9258126
1530,South Green Street,42141-2030,36.9824978,-85.9285144
