House number,Street name,Postal code,Latitude,Longitude
8208,Standard Club Drive,40241,38.2908603,-85.5955692
2901,Brownsboro Vista Drive,40242,38.2918497,-85.5907056
2903,Brownsboro Vista Drive,40242,38.2920336,-85.5908493
2905,Brownsboro Vista Drive,40242,38.2922224,-85.5910009
2907,Brownsboro Vista Drive,40242,38.2924238,-85.5911410
2909,Brownsboro Vista Drive,40242,38.2926238,-85.5912938
2911,Brownsboro Vista Drive,40242,38.2928175,-85.5914576
3003,Brownsboro Vista Drive,40242,38.2936354,-85.5921055
3005,Brownsboro Vista Drive,40242,38.2938243,-85.5922529
3007,Brownsboro Vista Drive,40242,38.2940201,-85.5924033
3100,Galway Lane,40242,38.2930461,-85.5883448
3100,Longford Lane,40242,38.2921875,-85.5900387
3101,Galway Lane,40242,38.2932576,-85.5881854
3101,Longford Lane,40242,38.2924288,-85.5898823
3102,Galway Lane,40242,38.2930181,-85.5886545
3102,Longford Lane,40242,38.2921758,-85.5903790
3103,Galway Lane,40242,38.2934802,-85.5883078
3103,Limerick Lane,40242,38.2926076,-85.5892004
3103,Longford Lane,40242,38.2926295,-85.5900467
3104,Galway Lane,40242,38.2932261,-85.5888378
3104,Limerick Lane,40242,38.2925833,-85.5895570
3104,Longford Lane,40242,38.2923965,-85.5905846
3105,Galway Lane,40242,38.2936585,-85.5885454
3105,Limerick Lane,40242,38.2928275,-85.5890422
3105,Longford Lane,40242,38.2928461,-85.5902254
3106,Galway Lane,40242,38.2934712,-85.5889902
3106,Limerick Lane,40242,38.2928027,-85.5897180
3106,Longford Lane,40242,38.2926305,-85.5907264
3107,Galway Lane,40242,38.2938643,-85.5886950
3107,Limerick Lane,40242,38.2930710,-85.5892083
3107,Longford Lane,40242,38.2930460,-85.5904739
3108,Galway Lane,40242,38.2936859,-85.5891400
3108,Limerick Lane,40242,38.2930509,-85.5898704
3108,Longford Lane,40242,38.2928287,-85.5908815
3108,Murray Hill Pike,40241,38.2930276,-85.5877379
3109,Galway Lane,40242,38.2940542,-85.5888317
3109,Limerick Lane,40242,38.2932638,-85.5894200
3109,Longford Lane,40242,38.2932426,-85.5906255
3110,Galway Lane,40242,38.2938775,-85.5893091
3110,Limerick Lane,40242,38.2932529,-85.5900279
3110,Longford Lane,40242,38.2930384,-85.5910610
3111,Limerick Lane,40242,38.2934822,-85.5896115
3112,Galway Lane,40242,38.2940803,-85.5894879
3112,Goose Creek Road,40241,38.2933731,-85.5876090
3112,Limerick Lane,40242,38.2934595,-85.5902073
3113,Galway Lane,40242,38.2942488,-85.5889899
3113,Limerick Lane,40242,38.2936730,-85.5897638
3114,Goose Creek Road,40241,38.2935710,-85.5877603
3114,Limerick Lane,40242,38.2936395,-85.5903316
3116,Goose Creek Road,40241,38.2937894,-85.5879270
3118,Goose Creek Road,40241,38.2940055,-85.5880978
3120,Goose Creek Road,40241,38.2942024,-85.5882515
3200,Goose Creek Road,40241,38.2943950,-85.5884134
3200,Limerick Lane,40242,38.2940707,-85.5906559
3200,Longford Lane,40242,38.2936452,-85.5915121
3202,Goose Creek Road,40241,38.2946355,-85.5885794
3202,Limerick Lane,40242,38.2942333,-85.5908176
3202,Longford Lane,40242,38.2938180,-85.5917108
3203,Limerick Lane,40242,38.2944612,-85.5903594
3203,Longford Lane,40242,38.2940339,-85.5912046
3204,Goose Creek Road,40241,38.2948455,-85.5887377
3204,Limerick Lane,40242,38.2944190,-85.5910386
3204,Longford Lane,40242,38.2940075,-85.5919191
3205,Limerick Lane,40242,38.2947163,-85.5904829
3205,Longford Lane,40242,38.2942961,-85.5913373
3205,Murray Hill Pike,40241,38.2925892,-85.5883902
3206,Limerick Lane,40242,38.2946624,-85.5910390
3206,Longford Lane,40242,38.2942384,-85.5919011
3207,Limerick Lane,40242,38.2947926,-85.5907670
3207,Longford Lane,40242,38.2943911,-85.5916208
3207,Murray Hill Pike,40241,38.2924619,-85.5886588
3208,Goose Creek Road,40241,38.2955519,-85.5893238
3209,Murray Hill Pike,40241,38.2923241,-85.5889133
3219,Murray Hill Pike,40241,38.2917129,-85.5901383
3221,Murray Hill Pike,40241,38.2916172,-85.5904334
8608,Banbridge Road,40242,38.2930670,-85.5915905
8609,Banbridge Road,40242,38.2934221,-85.5918784
8610,Banbridge Road,40242,38.2932231,-85.5912500
8612,Banbridge Road,40242,38.2934741,-85.5907264
8613,Banbridge Road,40242,38.2938434,-85.5910220
8700,Banbridge Road,40242,38.2939044,-85.5898758
8701,Banbridge Road,40242,38.2942744,-85.5901597
8703,Banbridge Road,40242,38.2944603,-85.5898529
8704,Banbridge Road,40242,38.2944450,-85.5891849
8705,Banbridge Road,40242,38.2947426,-85.5897920
8706,Banbridge Road,40242,38.2946731,-85.5892271
8707,Banbridge Road,40242,38.2950299,-85.5898304
8708,Banbridge Road,40242,38.2949339,-85.5892381
8709,Banbridge Road,40242,38.2953033,-85.5896811
8710,Banbridge Road,40242,38.2951393,-85.5890100
2900,Brownsboro Vista Drive,40242,38.2916190,-85.5911299
2902,Brownsboro Vista Drive,40242,38.2917932,-85.5912678
2904,Brownsboro Vista Drive,40242,38.2919975,-85.5914517
2906,Brownsboro Vista Drive,40242,38.2921854,-85.5915971
2908,Brownsboro Vista Drive,40242,38.2923803,-85.5917334
2910,Brownsboro Vista Drive,40242,38.2925716,-85.5919224
3002,Brownsboro Vista Drive,40242,38.2934127,-85.5925563
3004,Brownsboro Vista Drive,40242,38.2935916,-85.5927181
3006,Brownsboro Vista Drive,40242,38.2938027,-85.5928657
3100,Kinvara Lane,40242,38.2913645,-85.5917709
3101,Denbeigh Court,40242,38.2909044,-85.5918113
3101,Kinvara Lane,40242,38.2915691,-85.5916420
3102,Kinvara Lane,40242,38.2912935,-85.5920883
3103,Denbeigh Court,40242,38.2910708,-85.5915667
3103,Kinvara Lane,40242,38.2917806,-85.5918071
3104,Kinvara Lane,40242,38.2914833,-85.5923215
3105,Kinvara Lane,40242,38.2919684,-85.5920258
3106,Kinvara Lane,40242,38.2917366,-85.5924391
3107,Kinvara Lane,40242,38.2921793,-85.5921786
3108,Kinvara Lane,40242,38.2919652,-85.5925970
3109,Kinvara Lane,40242,38.2923825,-85.5923636
3110,Kinvara Lane,40242,38.2921848,-85.5927688
3112,Kinvara Lane,40242,38.2923923,-85.5929448
3200,Kinvara Lane,40242,38.2926245,-85.5931116
3202,Kinvara Lane,40242,38.2928532,-85.5933390
