House number,Street name,Postal code,Latitude,Longitude
1701,Hunnington Place,40220,38.2234148,-85.5889149
2010,South Hurstbourne Parkway,40220,38.2181194,-85.5885272
2012,South Hurstbourne Parkway,40220,38.2180919,-85.5885732
2014,South Hurstbourne Parkway,40220,38.2180573,-85.5886318
2030,South Hurstbourne Parkway,40220,38.2179901,-85.5887481
2040,South Hurstbourne Parkway,40220,38.2178506,-85.5889652
2048,South Hurstbourne Parkway,40220,38.2177980,-85.5890860
2052,South Hurstbourne Parkway,40220,38.2177418,-85.5891778
2056,South Hurstbourne Parkway,40220,38.2176498,-85.5893479
2058,South Hurstbourne Parkway,40220,38.2176039,-85.5894258
2060,South Hurstbourne Parkway,40220,38.2175629,-85.5894777
2101,Deercross Drive,40220,38.2200569,-85.5949413
2101,Deercross Drive,40220,38.2200703,-85.5949889
2101,Deercross Drive,40220,38.2200828,-85.5950353
2101,Deercross Drive,40220,38.2200962,-85.5950908
2101,Deercross Drive,40220,38.2201076,-85.5949178
2101,Deercross Drive,40220,38.2201113,-85.5951481
2101,Deercross Drive,40220,38.2201188,-85.5949663
2101,Deercross Drive,40220,38.2201257,-85.5952093
2101,Deercross Drive,40220,38.2201310,-85.5950140
2101,Deercross Drive,40220,38.2201400,-85.5952705
2101,Deercross Drive,40220,38.2201423,-85.5950703
2101,Deercross Drive,40220,38.2201535,-85.5953290
2101,Deercross Drive,40220,38.2201566,-85.5951263
2101,Deercross Drive,40220,38.2201739,-85.5951862
2101,Deercross Drive,40220,38.2201888,-85.5952474
2101,Deercross Drive,40220,38.2202049,-85.5953099
2103,Deercross Drive,40220,38.2197552,-85.5944348
2103,Deercross Drive,40220,38.2197911,-85.5944786
2103,Deercross Drive,40220,38.2197961,-85.5943825
2103,Deercross Drive,40220,38.2198271,-85.5945210
2103,Deercross Drive,40220,38.2198274,-85.5944253
2103,Deercross Drive,40220,38.2198596,-85.5944716
2103,Deercross Drive,40220,38.2198596,-85.5945677
2103,Deercross Drive,40220,38.2198909,-85.5945170
2103,Deercross Drive,40220,38.2198992,-85.5946216
2103,Deercross Drive,40220,38.2199286,-85.5945629
2103,Deercross Drive,40220,38.2199310,-85.5946691
2103,Deercross Drive,40220,38.2199608,-85.5947123
2103,Deercross Drive,40220,38.2199679,-85.5946072
2103,Deercross Drive,40220,38.2199947,-85.5947586
2103,Deercross Drive,40220,38.2200012,-85.5946509
2103,Deercross Drive,40220,38.2200361,-85.5946976
2104,Deercross Drive,40220,38.2193909,-85.5949315
2104,Deercross Drive,40220,38.2194131,-85.5948706
2104,Deercross Drive,40220,38.2194296,-85.5949640
2104,Deercross Drive,40220,38.2194541,-85.5949036
2104,Deercross Drive,40220,38.2194701,-85.5949965
2104,Deercross Drive,40220,38.2194957,-85.5949404
2104,Deercross Drive,40220,38.2195147,-85.5950322
2104,Deercross Drive,40220,38.2195424,-85.5949761
2104,Deercross Drive,40220,38.2195601,-85.5950635
2104,Deercross Drive,40220,38.2195823,-85.5950108
2104,Deercross Drive,40220,38.2195988,-85.5950946
2104,Deercross Drive,40220,38.2196214,-85.5950407
2104,Deercross Drive,40220,38.2196425,-85.5951311
2104,Deercross Drive,40220,38.2196643,-85.5950741
2104,Deercross Drive,40220,38.2196815,-85.5951584
2104,Deercross Drive,40220,38.2197048,-85.5951044
2106,South Hurstbourne Parkway,40220,38.2173783,-85.5897772
2108,South Hurstbourne Parkway,40220,38.2173527,-85.5898167
2110,South Hurstbourne Parkway,40220,38.2173202,-85.5898888
2111,Deer Path Circle,40220,38.2203041,-85.5950185
2111,Deer Path Circle,40220,38.2203422,-85.5950727
2111,Deer Path Circle,40220,38.2203484,-85.5949767
2111,Deer Path Circle,40220,38.2203798,-85.5950238
2111,Deer Path Circle,40220,38.2203849,-85.5949373
2111,Deer Path Circle,40220,38.2204146,-85.5949775
2111,Deer Path Circle,40220,38.2204223,-85.5948906
2111,Deer Path Circle,40220,38.2204527,-85.5949281
2111,Deer Path Circle,40220,38.2204572,-85.5948490
2111,Deer Path Circle,40220,38.2204886,-85.5948853
2111,Deer Path Circle,40220,38.2204890,-85.5948074
2111,Deer Path Circle,40220,38.2205219,-85.5948428
2111,Deer Path Circle,40220,38.2205223,-85.5947706
2111,Deer Path Circle,40220,38.2205524,-85.5947289
2111,Deer Path Circle,40220,38.2205619,-85.5948109
2111,Deer Path Circle,40220,38.2205956,-85.5947719
2112,Deer Path Circle,40220,38.2199854,-85.5942398
2112,Deer Path Circle,40220,38.2200190,-85.5941891
2112,Deer Path Circle,40220,38.2200275,-85.5942854
2112,Deer Path Circle,40220,38.2200505,-85.5941361
2112,Deer Path Circle,40220,38.2200568,-85.5942333
2112,Deer Path Circle,40220,38.2200800,-85.5940818
2112,Deer Path Circle,40220,38.2200898,-85.5941743
2112,Deer Path Circle,40220,38.2201054,-85.5940305
2112,Deer Path Circle,40220,38.2201190,-85.5941269
2112,Deer Path Circle,40220,38.2201278,-85.5939805
2112,Deer Path Circle,40220,38.2201462,-85.5940744
2112,Deer Path Circle,40220,38.2201507,-85.5939317
2112,Deer Path Circle,40220,38.2201745,-85.5940279
2112,Deer Path Circle,40220,38.2201751,-85.5938852
2112,Deer Path Circle,40220,38.2201993,-85.5939805
2112,Deer Path Circle,40220,38.2202263,-85.5939305
2112,South Hurstbourne Parkway,40220,38.2172972,-85.5899228
2113,Deer Path Circle,40220,38.2206090,-85.5941203
2113,Deer Path Circle,40220,38.2206222,-85.5941915
2113,Deer Path Circle,40220,38.2206320,-85.5942548
2113,Deer Path Circle,40220,38.2206406,-85.5943133
2113,Deer Path Circle,40220,38.2206501,-85.5943748
2113,Deer Path Circle,40220,38.2206590,-85.5944354
2113,Deer Path Circle,40220,38.2206622,-85.5940978
2113,Deer Path Circle,40220,38.2206690,-85.5945013
2113,Deer Path Circle,40220,38.2206703,-85.5941633
2113,Deer Path Circle,40220,38.2206765,-85.5945707
2113,Deer Path Circle,40220,38.2206790,-85.5942239
2113,Deer Path Circle,40220,38.2206890,-85.5942911
2113,Deer Path Circle,40220,38.2206992,-85.5943548
2113,Deer Path Circle,40220,38.2207084,-85.5944168
2113,Deer Path Circle,40220,38.2207198,-85.5944770
2113,Deer Path Circle,40220,38.2207295,-85.5945551
2114,South Hurstbourne Parkway,40220,38.2172703,-85.5899814
2120,South Hurstbourne Parkway,40220,38.2172244,-85.5900576
2124,South Hurstbourne Parkway,40220,38.2171784,-85.5901386
2128,South Hurstbourne Parkway,40220,38.2171211,-85.5902585
2132,South Hurstbourne Parkway,40220,38.2170472,-85.5903694
