House number,Street name,Postal code,Latitude,Longitude
3209,Goose Creek Road,40241,38.2958371,-85.5887357
3315,Goose Creek Road,40241,38.2960597,-85.5889307
3402,Ascot Circle,40241,38.2973434,-85.5880940
3402,Hastings Circle,40241,38.2969253,-85.5890118
3403,Ascot Circle,40241,38.2975728,-85.5876206
3403,Goose Creek Road,40241,38.2965108,-85.5892553
3403,Hastings Circle,40241,38.2971613,-85.5885513
3404,Ascot Circle,40241,38.2975427,-85.5882517
3404,Hastings Circle,40241,38.2971302,-85.5891520
3405,Ascot Circle,40241,38.2977683,-85.5877704
3405,Goose Creek Road,40241,38.2967134,-85.5894504
3405,Hastings Circle,40241,38.2973509,-85.5887040
3406,Ascot Circle,40241,38.2977431,-85.5884023
3406,Hastings Circle,40241,38.2973071,-85.5893130
3407,Ascot Circle,40241,38.2979696,-85.5879491
3407,Goose Creek Road,40241,38.2969182,-85.5895857
3407,Hastings Circle,40241,38.2975467,-85.5888597
3408,Ascot Circle,40241,38.2979484,-85.5885786
3408,Hastings Circle,40241,38.2975165,-85.5894763
3409,Ascot Circle,40241,38.2981671,-85.5880990
3409,Goose Creek Road,40241,38.2971122,-85.5897614
3409,Hastings Circle,40241,38.2977398,-85.5890113
3410,Ascot Circle,40241,38.2981250,-85.5887608
3410,Hastings Circle,40241,38.2976790,-85.5896259
3411,Ascot Circle,40241,38.2983823,-85.5882424
3411,Goose Creek Road,40241,38.2973152,-85.5899008
3411,Hastings Circle,40241,38.2979390,-85.5891451
3412,Ascot Circle,40241,38.2983386,-85.5889446
3412,Hastings Circle,40241,38.2979415,-85.5898626
3413,Ascot Circle,40241,38.2986441,-85.5884303
3413,Goose Creek Road,40241,38.2975140,-85.5900680
3413,Hastings Circle,40241,38.2981903,-85.5893262
3414,Ascot Circle,40241,38.2986031,-85.5888350
3414,Hastings Circle,40241,38.2981886,-85.5896728
3415,Goose Creek Road,40241,38.2977217,-85.5902160
3415,Rems Road,40241,38.2975076,-85.5860703
3417,Goose Creek Road,40241,38.2978995,-85.5903536
3500,Rems Court,40241,38.2979700,-85.5866654
3501,Rems Court,40241,38.2983811,-85.5866974
3501,Rems Road,40241,38.2977851,-85.5860785
3502,Rems Court,40241,38.2979697,-85.5869480
3503,Rems Road,40241,38.2979714,-85.5860793
3504,Rems Court,40241,38.2980422,-85.5872615
3505,Rems Court,40241,38.2984486,-85.5870668
3505,Rems Road,40241,38.2982387,-85.5860895
3506,Rems Court,40241,38.2982062,-85.5875626
3507,Rems Court,40241,38.2986249,-85.5872481
3507,Rems Road,40241,38.2984715,-85.5860581
3508,Rems Court,40241,38.2984138,-85.5877189
3508,Rems Road,40241,38.2986537,-85.5867044
3509,Rems Court,40241,38.2988501,-85.5873711
3509,Rems Road,40241,38.2987129,-85.5861546
3510,Rems Court,40241,38.2985889,-85.5879298
3511,Rems Court,40241,38.2990808,-85.5875038
3511,Rems Road,40241,38.2989131,-85.5862356
3512,Rems Court,40241,38.2988075,-85.5881233
3512,Rems Road,40241,38.2988557,-85.5868334
3513,Rems Court,40241,38.2990630,-85.5879258
3514,Rems Road,40241,38.2990307,-85.5869847
3600,Rems Road,40241,38.2992361,-85.5871315
3602,Rems Road,40241,38.2993943,-85.5872682
8600,Glenfield Way,40241,38.2982464,-85.5905423
8602,Glenfield Way,40241,38.2983525,-85.5903061
8604,Glenfield Way,40241,38.2984747,-85.5901028
8606,Glenfield Way,40241,38.2985274,-85.5898393
8608,Glenfield Way,40241,38.2986258,-85.5896048
8610,Glenfield Way,40241,38.2987143,-85.5893373
8612,Glenfield Way,40241,38.2988577,-85.5891385
8614,Glenfield Way,40241,38.2989501,-85.5888987
8616,Glenfield Way,40241,38.2990689,-85.5886057
8702,Eton Road,40241,38.2962572,-85.5886921
8703,Eton Road,40241,38.2966458,-85.5888902
8704,Eton Road,40241,38.2963769,-85.5884278
8706,Eton Road,40241,38.2965023,-85.5881757
8707,Eton Road,40241,38.2969590,-85.5882887
8708,Eton Road,40241,38.2966246,-85.5879222
8710,Eton Road,40241,38.2967534,-85.5876640
8711,Eton Road,40241,38.2970898,-85.5880097
8712,Eton Road,40241,38.2968851,-85.5874184
8713,Eton Road,40241,38.2973737,-85.5874319
8714,Eton Road,40241,38.2970172,-85.5871480
8715,Eton Road,40241,38.2974958,-85.5871815
8716,Eton Road,40241,38.2971425,-85.5868885
8717,Eton Road,40241,38.2976254,-85.5869205
8718,Eton Road,40241,38.2972226,-85.5866575
8719,Eton Road,40241,38.2976725,-85.5866647
8800,Cranborne Court,40241,38.2991667,-85.5864222
8801,Cranborne Court,40241,38.2995713,-85.5867365
8802,Cranborne Court,40241,38.2993450,-85.5861960
8803,Cranborne Court,40241,38.2997038,-85.5864680
8804,Cranborne Court,40241,38.2994603,-85.5859451
8805,Cranborne Court,40241,38.2998261,-85.5862217
8806,Cranborne Court,40241,38.2995089,-85.5856475
8807,Cranborne Court,40241,38.2999321,-85.5859913
8808,Cranborne Court,40241,38.2995665,-85.5854585
8809,Cranborne Court,40241,38.3000332,-85.5856806
8810,Cranborne Court,40241,38.2998608,-85.5854218
3602,Meridian Gardens Drive,40241,38.2993964,-85.5881137
3600,Meridian Gardens Drive,40241,38.2994249,-85.5878843
3601,Meridian Gardens Drive,40241,38.2996492,-85.5875826
