House number,Street name,Postal code,Latitude,Longitude
4100,Ormond Road,40207,38.2647975,-85.6536055
4101,Crestview Road,40207,38.2662833,-85.6548896
4101,Ormond Road,40207,38.2648518,-85.6542585
4102,Crestview Road,40207,38.2660415,-85.6543172
4102,Ormond Road,40207,38.2649374,-85.6533319
4103,Crestview Road,40207,38.2664866,-85.6545790
4103,Ormond Road,40207,38.2652838,-85.6537306
4104,Ormond Road,40207,38.2650463,-85.6529996
4105,Crestview Road,40207,38.2665801,-85.6543144
4106,Crestview Road,40207,38.2662338,-85.6539291
4106,Ormond Road,40207,38.2651204,-85.6527386
4107,Crestview Road,40207,38.2667163,-85.6541211
4108,Ormond Road,40207,38.2652040,-85.6524744
4109,Crestview Road,40207,38.2668450,-85.6538797
4109,Ormond Road,40207,38.2656693,-85.6526030
4110,Crestview Road,40207,38.2665825,-85.6533831
4110,Ormond Road,40207,38.2652920,-85.6522231
4111,Crestview Road,40207,38.2669494,-85.6536742
4111,Ormond Road,40207,38.2658156,-85.6521898
4113,Crestview Road,40207,38.2671427,-85.6534506
4114,Ormond Road,40207,38.2655168,-85.6516951
4115,Crestview Road,40207,38.2672731,-85.6532082
4116,Ormond Road,40207,38.2656861,-85.6514947
4200,Maryknoll Lane,40207,38.2679014,-85.6530324
4201,Maryknoll Lane,40207,38.2682224,-85.6535090
4205,Maryknoll Lane,40207,38.2683929,-85.6531378
4207,Maryknoll Lane,40207,38.2685391,-85.6527797
4209,Maryknoll Lane,40207,38.2685780,-85.6524612
4211,Maryknoll Lane,40207,38.2686777,-85.6521224
4213,Maryknoll Lane,40207,38.2684653,-85.6519127
5300,Indian Woods Drive,40207,38.2667949,-85.6550828
5400,Hubbard Court,40207,38.2677536,-85.6522149
5400,Wending Court,40207,38.2667405,-85.6514679
5402,Hubbard Court,40207,38.2673802,-85.6519559
5402,Wending Court,40207,38.2665161,-85.6512858
5403,Hubbard Court,40207,38.2679771,-85.6517367
5404,Wending Court,40207,38.2663522,-85.6510748
5408,Indian Woods Drive,40207,38.2682491,-85.6541159
5408,Wending Court,40207,38.2659821,-85.6506787
560,North Hubbards Lane,40207,38.2688792,-85.6516333
600,Yancy Lane,40207,38.2654627,-85.6532918
601,Maryhill Lane,40207,38.2659388,-85.6515067
603,Maryhill Lane,40207,38.2661406,-85.6516304
603,Yancy Lane,40207,38.2658524,-85.6528119
604,Fatima Lane,40207,38.2652248,-85.6544069
604,Maryhill Lane,40207,38.2660774,-85.6523015
604,Yancy Lane,40207,38.2656691,-85.6533680
605,Fatima Lane,40207,38.2654555,-85.6539150
605,Maryhill Lane,40207,38.2663291,-85.6518533
605,Yancy Lane,40207,38.2660173,-85.6529610
606,Fatima Lane,40207,38.2654460,-85.6545795
606,Maryhill Lane,40207,38.2662696,-85.6524845
606,Yancy Lane,40207,38.2658915,-85.6535656
607,Fatima Lane,40207,38.2656246,-85.6540721
607,Maryhill Lane,40207,38.2665334,-85.6519708
607,Yancy Lane,40207,38.2662007,-85.6531269
608,Fatima Lane,40207,38.2656059,-85.6547254
608,Maryhill Lane,40207,38.2664622,-85.6526124
608,Yancy Lane,40207,38.2660715,-85.6536933
609,Fatima Lane,40207,38.2658168,-85.6542203
609,Maryhill Lane,40207,38.2667068,-85.6521403
609,Yancy Lane,40207,38.2663661,-85.6532725
610,Fatima Lane,40207,38.2657936,-85.6548776
610,Maryhill Lane,40207,38.2666288,-85.6527531
611,Maryhill Lane,40207,38.2669149,-85.6521970
612,Maryhill Lane,40207,38.2668331,-85.6528716
613,Maryhill Lane,40207,38.2670760,-85.6523871
614,Fatima Lane,40207,38.2660489,-85.6549539
615,Maryhill Lane,40207,38.2672670,-85.6525259
617,Maryhill Lane,40207,38.2674550,-85.6526927
619,Maryhill Lane,40207,38.2676336,-85.6528023
622,Maryhill Lane,40207,38.2675907,-85.6535512
5406,Wending Court,40207,38.2661221,-85.6509260
