House number,Street name,Postal code,Latitude,Longitude
2440,Lone Oak Road,42003,37.0434640,-88.6551614
121,Market House Square,42001,37.0872399,-88.5953467
127,Market House Square,42003,37.0868243,-88.5953424
119,Market House Square,42001,37.0870428,-88.5954785
202,Broadway Street,42001,37.0875189,-88.5958433
136,Broadway Street,42001,37.0876912,-88.5953698
112,Market House Square,42001,37.0873970,-88.5952196
114,Market House Square,42001,37.0873488,-88.5951915
211,Broadway Street,42001,37.0876738,-88.5961920
100,Kentucky Avenue,42003,37.0861490,-88.5937593
3000,Broadway Street,42001,37.0708967,-88.6360022
2703,H C Mathis Drive,42001,37.0820537,-88.6345849
425,Broadway Street,42001,37.0864587,-88.5992127
816,Joe Clifton Drive,42001,37.0819606,-88.6359016
3955,Hinkleville Road,42001,37.0802031,-88.6773932
125,South 2nd Street,42003,37.0868906,-88.5953907
451,Jordan Dr.,42001,37.0830756,-88.6908032
2314,Lone Oak Road,42003,37.0449228,-88.6555263
3121,Broadway,42001,37.0714713,-88.6377158
414,Lone Oak Road,42002,37.0650418,-88.6376601
233,North 8th Street,42001,37.0865383,-88.6043666
314,Broadway Street,42003,37.0868955,-88.5974415
600,North 32nd Street,42001,37.0765826,-88.6427625
548,North 32nd Street,42001,37.0762974,-88.6420599
500,County Park Road,42001,37.0898012,-88.6716870
821,Broadway Street,42001,37.0845319,-88.6059763
2720,New Holt Road,42001,37.0717733,-88.6899560
5194,Hinkleville Road,42001,37.0727065,-88.6978506
2819,Lone Oak Road,42003,37.0407357,-88.6610017
2817,Lone Oak Road,42003,37.0408064,-88.6608676
900,Mc Guire Avenue,42003,37.0822881,-88.6393797
534,South 6th Street,42003,37.0805171,-88.5971292
817,Broadway Street,42001,37.0845653,-88.6039032
2690,Olivet Church Road,42001,37.0696660,-88.7005861
2921,Irvin Cobb Drive,42003,37.0558160,-88.5738764
2921,Irvin Cobb Drive,42003,37.0558048,-88.5737620
3480,Clarks River Road,42001,37.0490123,-88.5638218
2627,Jackson Street,42001,37.0691458,-88.6261788
1650,South 6th Street,42001,37.0679926,-88.5889363
2900,Broadway Street,42001,37.0711916,-88.6348852
1312,Langstaff Avenue,42001,37.0910068,-88.6294160
2400,Washington Street,42003,37.0722516,-88.6235774
150,Ballard Circle,42001,37.0446838,-88.7194164
300,South 5th Street,42003,37.0839146,-88.5971622
555,Washington Street,42003;42003-1735,37.0841305,-88.5988557
300,South 7th Street,42003,37.0827331,-88.5995528
301,Washington Street,42003,37.0852512,-88.5959749
1704,Kentucky Avenue,42003,37.0771447,-88.6168488
116,South 6th Street,42001,37.0855113,-88.6002009
5104,Old Hinkleville Road,42001,37.0761036,-88.6867350
2950,James Sanders Boulevard,42001,37.0764631,-88.6835977
3275,Irvin Cobb Drive,42003,37.0512240,-88.5702193
1335,North 13th Street,42001,37.0891733,-88.6246970
100,Kentucky Avenue,42003,37.0860118,-88.5935658
215,Jefferson Street,42001,37.0893198,-88.5972028
1530,Lone Oak Road,42003,37.0501239,-88.6471754
5159,Hinkleville Road,42001,37.0810556,-88.6909966
2501,Kentucky Avenue,42003,37.0734991,-88.6276384
3835,Technology Drive,42001,37.0779564,-88.6751824
2224,Lone Oak Road,42001,37.0458440,-88.6553310
3199,Jackson Street,42003,37.0647422,-88.6378798
510,Clark Street,42003,37.0828723,-88.5975893
3141,Park Avenue,42001,37.0857569,-88.6464823
1525,Lone Oak Road,42003,37.0532790,-88.6494413
1515,Lone Oak Road,42003-7904,37.0534524,-88.6489807
1908,Lone Oak Road,42003,37.0495933,-88.6524409
1916,Lone Oak Road,42003,37.0491862,-88.6528347
2070,Lone Oak Road,42003,37.0479408,-88.6538349
2090,Lone Oak Road,42003,37.0477434,-88.6540725
2405,Lone Oak Road,42003,37.0448627,-88.6568814
3220,Irvin Cobb Drive,42003,37.0539433,-88.5663129
3150,Irvin Cobb Drive,42003,37.0547946,-88.5699776
3226,Irvin Cobb Drive,42003-0337,37.0542272,-88.5694041
3400,Clarks River Road,42003-0509,37.0493758,-88.5647097
3450,Clark River Road,42003,37.0492424,-88.5644343
3901,Coleman Crossing Circle,42001,37.0843761,-88.6802546
3950,Coleman Crossing Circle,42001,37.0853080,-88.6827980
905,Harrison Street,42001,37.0883319,-88.6075491
901,Madison Street,42001,37.0873444,-88.6068155
2880,James Sanders Boulevard,42001,37.0742757,-88.6829670
145,McBride Lane,42001,37.0741713,-88.6823265
2801,James Sanders Road,42001,37.0719221,-88.6848128
5139,Hinkleville Road,42001,37.0764291,-88.6895801
3120,James Sanders Boulevard,42001,37.0791084,-88.6839304
3550,James-Sanders Boulevard,42001,37.0841294,-88.6889443
2935,James Sanders Boulevard,42001,37.0760530,-88.6844082
5015,Hinkleville Road,42001,37.0781965,-88.6839956
3950,Hinkleville Road,42001-9017,37.0788998,-88.6767702
5193,Hinkleville Road,42001,37.0738417,-88.6981945
225,Tully Street,42003,37.0601271,-88.5752861
225,Tully Street,42003,37.0601193,-88.5753565
600,North 4th Street,42001,37.0924533,-88.6011617
5015,Hinkleville Road,42001,37.0782689,-88.6836289
3900,Coleman Crossing Circle,42001,37.0835775,-88.6806510
5300,Cairo Road,42001,37.0962968,-88.6904717
5106,Cairo Road,42001,37.0970486,-88.6836051
5125,Cairo Road,42001,37.0990343,-88.6841121
5135,Cairo Road,42001,37.0987765,-88.6848052
724,Oscar Cross Avenue,42003,37.0792794,-88.5992179
5101,Hinkleville Road,42001,37.0791437,-88.6866065
5101,Hinkleville Road,42001,37.0789143,-88.6872051
