House number,Street name,Postal code,Latitude,Longitude
3607,Brownsboro Road,40207,38.2648302,-85.6713459
3613,Brownsboro Road,40207,38.2650339,-85.6704468
3621,Brownsboro Road,40207,38.2653588,-85.6694038
3621,Brownsboro Road,40207,38.2653744,-85.6691411
3621,Brownsboro Road,40207,38.2653790,-85.6692797
3621,Brownsboro Road,40207,38.2653876,-85.6694035
3621,Brownsboro Road,40207,38.2654026,-85.6691408
3621,Brownsboro Road,40207,38.2654165,-85.6692773
3621,Brownsboro Road,40207,38.2654700,-85.6687306
3621,Brownsboro Road,40207,38.2654965,-85.6687298
3621,Brownsboro Road,40207,38.2655175,-85.6687303
3621,Brownsboro Road,40207,38.2655625,-85.6685609
3621,Brownsboro Road,40207,38.2655796,-85.6685612
3621,Brownsboro Road,40207,38.2655945,-85.6685628
3621,Brownsboro Road,40207,38.2656085,-85.6685631
3715,Fairway Lane,40207,38.2717407,-85.6711907
400,Country Lane,40207,38.2650865,-85.6703246
401,Country Lane,40207,38.2652039,-85.6698336
414,Club Lane,40207,38.2655646,-85.6728887
3600,Basswood Lane,40207,38.2667894,-85.6736243
3601,Basswood Lane,40207,38.2672361,-85.6740145
3603,Basswood Lane,40207,38.2673473,-85.6737894
3604,Basswood Lane,40207,38.2669430,-85.6733854
3605,Basswood Lane,40207,38.2674634,-85.6735408
3606,Basswood Lane,40207,38.2671151,-85.6730913
3607,Basswood Lane,40207,38.2676320,-85.6733497
3701,Fairway Lane,40207,38.2712058,-85.6738162
3702,Fairway Lane,40207,38.2709602,-85.6728535
3703,Fairway Lane,40207,38.2716418,-85.6733346
3703,Old Brownsboro Road,40207,38.2671272,-85.6661940
3703,Pennington Lane,40207,38.2688759,-85.6716305
3704,Fairway Lane,40207,38.2710734,-85.6724502
3705,Fairway Lane,40207,38.2716908,-85.6728740
3705,Pennington Lane,40207,38.2686885,-85.6711081
3706,Fairway Lane,40207,38.2711339,-85.6719950
3706,Pennington Lane,40207,38.2680545,-85.6711675
3707,Fairway Lane,40207,38.2717202,-85.6724870
3709,Fairway Lane,40207,38.2717226,-85.6721059
3710,Fairway Lane,40207,38.2711387,-85.6711818
3711,Fairway Lane,40207,38.2716935,-85.6717565
3712,Fairway Lane,40207,38.2711207,-85.6707450
3714,Fairway Lane,40207,38.2711204,-85.6704110
3715,Edmond Lane,40207,38.2673245,-85.6677820
