House number,Street name,Postal code,Latitude,Longitude
770,I 71 North,40241,38.3011468,-85.6089628
2923,Cliffwynde Trace,40241,38.2955249,-85.6141216
3013,Springcrest Drive,40241,38.2941673,-85.6089217
3106,Brownhurst Cove Road,40241,38.2930254,-85.6095664
2901,Cliffwynde Trace,40241,38.2923121,-85.6132563
2903,Cliffwynde Trace,40241,38.2925025,-85.6134972
2905,Cliffwynde Trace,40241,38.2927885,-85.6136937
2907,Cliffwynde Trace,40241,38.2931427,-85.6139535
2909,Cliffwynde Trace,40241,38.2934482,-85.6141724
2911,Cliffwynde Trace,40241,38.2937388,-85.6141582
2912,Cliffwynde Trace,40241,38.2938904,-85.6147733
2913,Cliffwynde Trace,40241,38.2939978,-85.6141908
2914,Cliffwynde Trace,40241,38.2941828,-85.6148135
2915,Cliffwynde Trace,40241,38.2942903,-85.6141582
2916,Cliffwynde Trace,40241,38.2944391,-85.6149547
2917,Cliffwynde Trace,40241,38.2945844,-85.6138620
2918,Cliffwynde Trace,40241,38.2946821,-85.6151842
2919,Cliffwynde Trace,40241,38.2948152,-85.6135868
2920,Cliffwynde Trace,40241,38.2950639,-85.6150389
2921,Cliffwynde Trace,40241,38.2951853,-85.6137401
2922,Cliffwynde Trace,40241,38.2950512,-85.6144822
3000,Springcrest Drive,40241,38.2929307,-85.6106690
3001,Derington Court,40241,38.2944104,-85.6101540
3001,Springcrest Drive,40241,38.2930902,-85.6101468
3005,Derington Court,40241,38.2946446,-85.6104016
3005,Springcrest Drive,40241,38.2937668,-85.6100103
3009,Derington Court,40241,38.2949352,-85.6104955
3009,Springcrest Drive,40241,38.2939999,-85.6097430
3011,Derington Court,40241,38.2949462,-85.6109077
3011,Springcrest Drive,40241,38.2941030,-85.6094298
3012,Springcrest Drive,40241,38.2945007,-85.6096827
3014,Springcrest Drive,40241,38.2946161,-85.6094293
3015,Springcrest Drive,40241,38.2944204,-85.6087773
3016,Springcrest Drive,40241,38.2948315,-85.6092781
3017,Springcrest Drive,40241,38.2946913,-85.6087209
3018,Springcrest Drive,40241,38.2950796,-85.6091788
3100,Brownhurst Cove Road,40241,38.2927847,-85.6090447
3100,Dorilton Court,40241,38.2952246,-85.6097250
3100,Haddon Road,40241,38.2952468,-85.6116474
3100,Springcrest Drive,40241,38.2953038,-85.6091344
3100,Townsend Terrace,40241,38.2949709,-85.6085983
3101,Brownhurst Cove Road,40241,38.2927053,-85.6083151
3101,Dorilton Court,40241,38.2952373,-85.6100948
3101,Haddon Road,40241,38.2954123,-85.6119022
3101,Townsend Terrace,40241,38.2954272,-85.6083511
3102,Springcrest Drive,40241,38.2956262,-85.6090839
3103,Springcrest Drive,40241,38.2957460,-85.6084146
3104,Brownhurst Cove Road,40241,38.2929232,-85.6092908
3104,Dorilton Court,40241,38.2954655,-85.6095089
3104,Haddon Road,40241,38.2953064,-85.6113349
3104,Springcrest Drive,40241,38.2958488,-85.6090146
3104,Townsend Terrace,40241,38.2947213,-85.6082315
3105,Brownhurst Cove Road,40241,38.2929939,-85.6085597
3105,Dorilton Court,40241,38.2954405,-85.6102886
3105,Haddon Road,40241,38.2956958,-85.6118245
3105,Springcrest Drive,40241,38.2959437,-85.6084631
3105,Townsend Terrace,40241,38.2953158,-85.6080465
3106,Dorilton Court,40241,38.2957380,-85.6095757
3106,Haddon Road,40241,38.2955670,-85.6111508
3106,Townsend Terrace,40241,38.2946848,-85.6078747
3107,Brownhurst Cove Road,40241,38.2932580,-85.6087725
