House number,Street name,Postal code,Latitude,Longitude
6705,Brownsboro Road,40222,38.2856603,-85.6257032
6000,Brownsboro Road,40222,38.2838028,-85.6244107
2300,Branning Road,40222,38.2875248,-85.6239915
2300,Thornhill Road,40222,38.2861449,-85.6249373
2301,Thornhill Road,40222,38.2862906,-85.6243094
2303,Thornhill Road,40222,38.2865569,-85.6245137
2304,Thornhill Road,40222,38.2863787,-85.6251098
2305,Thornhill Road,40222,38.2867267,-85.6246754
2306,Donleigh Court,40222,38.2862715,-85.6254848
2307,Thornhill Road,40222,38.2868991,-85.6248487
2308,Donleigh Court,40222,38.2862001,-85.6257692
2309,Thornhill Road,40222,38.2870571,-85.6249848
2310,Donleigh Court,40222,38.2864237,-85.6259784
2311,Thornhill Road,40222,38.2872042,-85.6251869
2312,Donleigh Court,40222,38.2866844,-85.6259185
2313,Thornhill Road,40222,38.2874764,-85.6253324
2314,Branning Road,40222,38.2878653,-85.6243127
2314,Thornhill Road,40222,38.2868328,-85.6255888
2315,Branning Road,40222,38.2882244,-85.6238188
2315,Stoneleigh Court,40222,38.2875285,-85.6249154
2316,Branning Road,40222,38.2881407,-85.6244653
2316,Thornhill Road,40222,38.2870914,-85.6258449
2317,Branning Road,40222,38.2884521,-85.6239943
2317,Stoneleigh Court,40222,38.2878471,-85.6248043
2318,Branning Road,40222,38.2883516,-85.6246269
2318,Thornhill Road,40222,38.2872995,-85.6259211
2319,Branning Road,40222,38.2886571,-85.6241463
2319,Stoneleigh Court,40222,38.2880820,-85.6249859
2320,Branning Road,40222,38.2885905,-85.6248069
2320,Thornhill Road,40222,38.2875409,-85.6259821
2321,Branning Road,40222,38.2888521,-85.6242786
2321,Thornhill Road,40222,38.2880677,-85.6255112
2322,Branning Road,40222,38.2887987,-85.6249885
2322,Thornhill Road,40222,38.2877333,-85.6260083
2323,Branning Road,40222,38.2890766,-85.6245253
2324,Thornhill Road,40222,38.2879378,-85.6261831
2325,Branning Road,40222,38.2892535,-85.6246444
2325,Thornhill Road,40222,38.2883713,-85.6256192
2326,Thornhill Road,40222,38.2881771,-85.6262680
2330,Thornhill Road,40222,38.2888354,-85.6259850
2331,Thornhill Road,40222,38.2886607,-85.6253470
2332,Thornhill Road,40222,38.2890828,-85.6256892
2400,Branning Road,40222,38.2892903,-85.6253722
2400,Chadford Way,40222,38.2883631,-85.6264008
2401,Branning Road,40222,38.2894605,-85.6247784
2402,Chadford Way,40222,38.2885761,-85.6266314
2403,Branning Road,40222,38.2896110,-85.6249722
2403,Chadford Way,40222,38.2890890,-85.6262401
2404,Branning Road,40222,38.2894912,-85.6255781
2404,Chadford Way,40222,38.2887769,-85.6268195
2405,Branning Road,40222,38.2898189,-85.6251391
2405,Chadford Way,40222,38.2892920,-85.6262936
2406,Branning Road,40222,38.2896931,-85.6257279
2406,Chadford Way,40222,38.2889706,-85.6269659
2407,Branning Road,40222,38.2900419,-85.6253085
2407,Chadford Way,40222,38.2894963,-85.6263953
2408,Branning Road,40222,38.2898960,-85.6258911
2408,Chadford Way,40222,38.2891660,-85.6270891
2409,Branning Road,40222,38.2902361,-85.6254763
2409,Chadford Way,40222,38.2896349,-85.6267417
2410,Branning Road,40222,38.2900629,-85.6260313
2410,Chadford Way,40222,38.2893869,-85.6272300
2411,Branning Road,40222,38.2904023,-85.6256139
2411,Chadford Way,40222,38.2898253,-85.6268983
2412,Branning Road,40222,38.2902423,-85.6261550
2412,Chadford Way,40222,38.2895860,-85.6273896
2413,Branning Road,40222,38.2906672,-85.6256910
2414,Branning Road,40222,38.2904495,-85.6263078
2415,Branning Road,40222,38.2908649,-85.6258051
2416,Branning Road,40222,38.2906148,-85.6264048
2417,Branning Road,40222,38.2909396,-85.6261113
2418,Branning Road,40222,38.2908166,-85.6263395
2509,Walbrook Drive,40222,38.2884035,-85.6273012
2511,Walbrook Drive,40222,38.2886235,-85.6274191
2513,Walbrook Drive,40222,38.2888188,-85.6275902
2515,Walbrook Drive,40222,38.2890239,-85.6277429
2517,Walbrook Drive,40222,38.2892701,-85.6279399
6703,Brownsboro Road,40222,38.2854704,-85.6259041
6707,Brownsboro Road,40222,38.2857321,-85.6254134
6709,Brownsboro Road,40222,38.2858767,-85.6252085
6805,Brownsboro Road,40222,38.2868643,-85.6234892
