House number,Street name,Postal code,Latitude,Longitude
4324,Westport Terrace,40207,38.2634731,-85.6300405
4424,Westport Road,40207,38.2637580,-85.6306646
4428,Westport Road,40207,38.2634150,-85.6296950
4530,Westport Road,40207,38.2641568,-85.6260251
4532,Westport Road,40207,38.2642684,-85.6258574
4534,Westport Road,40207,38.2643779,-85.6255899
4536,Westport Road,40207,38.2646224,-85.6253978
4538,Westport Road,40207,38.2647027,-85.6251885
4542,Westport Road,40207,38.2648701,-85.6246296
6900,Ambridge Circle,40207,38.2638966,-85.6265836
6902,Ambridge Circle,40207,38.2637334,-85.6264390
6904,Ambridge Circle,40207,38.2635148,-85.6262702
6906,Ambridge Circle,40207,38.2633517,-85.6261361
6908,Ambridge Circle,40207,38.2631901,-85.6259758
6909,Ambridge Circle,40207,38.2634747,-85.6254487
6910,Ambridge Circle,40207,38.2630095,-85.6258165
6923,Ambridge Circle,40207,38.2636495,-85.6249727
4145,Darbrook Road,40207,38.2588954,-85.6355896
4146,Westport Terrace,40207,38.2601997,-85.6367020
4200,Schuwey Court,40207,38.2615682,-85.6365226
4201,Schuwey Court,40207,38.2619090,-85.6368922
4202,Schuwey Court,40207,38.2616264,-85.6363420
4202,Stivers Court,40207,38.2588940,-85.6327842
4203,Schuwey Court,40207,38.2620218,-85.6366555
4203,Stivers Court,40207,38.2589544,-85.6334944
4204,Stivers Court,40207,38.2591148,-85.6329046
4205,Stivers Court,40207,38.2591261,-85.6333506
4206,Stivers Court,40207,38.2592263,-85.6331233
4240,Middlebrook Road,40207,38.2596987,-85.6351915
4240,Westport Terrace,40207,38.2606147,-85.6359869
4241,Darbrook Road,40207,38.2593350,-85.6348627
4241,Middlebrook Road,40207,38.2600965,-85.6355254
4241,Westport Terrace,40207,38.2611149,-85.6361635
4242,Darbrook Road,40207,38.2590409,-85.6344182
4242,Middlebrook Road,40207,38.2598084,-85.6350030
4242,Westport Road,40207,38.2621704,-85.6370718
4242,Westport Terrace,40207,38.2607196,-85.6358128
4243,Darbrook Road,40207,38.2594424,-85.6346721
4243,Middlebrook Road,40207,38.2602136,-85.6353572
4243,Westport Terrace,40207,38.2612187,-85.6359444
4244,Darbrook Road,40207,38.2591412,-85.6342499
4244,Middlebrook Road,40207,38.2599330,-85.6348113
