House number,Street name,Postal code,Latitude,Longitude
11752,Tazwell Drive,40245,38.3074625,-85.5312871
11754,Tazwell Drive,40245,38.3074844,-85.5312230
11756,Tazwell Drive,40245,38.3075099,-85.5311573
11805,Nansemond Drive,40245,38.3059157,-85.5306412
11807,Nansemond Drive,40245,38.3059720,-85.5305677
11809,Nansemond Drive,40245,38.3059901,-85.5305243
11821,Nansemond Circle,40245,38.3060774,-85.5306651
11823,Nansemond Circle,40245,38.3061156,-85.5306972
11825,Nansemond Circle,40245,38.3061770,-85.5307078
11825,Nansemond Circle,40245,38.3062784,-85.5307822
11839,Nansemond Place,40245,38.3065020,-85.5308971
11841,Nansemond Place,40245,38.3066410,-85.5309464
11841,Nansemond Place,40245,38.3066697,-85.5308949
11841,Nansemond Place,40245,38.3067385,-85.5309464
11847,Nansemond Place,40245,38.3067930,-85.5309939
11849,Nansemond Place,40245,38.3068915,-85.5310655
11851,Nansemond Place,40245,38.3069458,-85.5310991
11901,Nansemond Circle,40245,38.3063179,-85.5306496
11901,Nansemond Circle,40245,38.3063534,-85.5305750
11901,Nansemond Circle,40245,38.3063601,-85.5306814
11901,Nansemond Circle,40245,38.3063977,-85.5306046
11901,Tazwell Drive,40245,38.3079717,-85.5314098
11903,Nansemond Circle,40245,38.3063643,-85.5305099
11903,Nansemond Circle,40245,38.3064094,-85.5305363
11903,Nansemond Circle,40245,38.3064117,-85.5304042
11903,Nansemond Circle,40245,38.3064543,-85.5304367
11905,Nansemond Circle,40245,38.3064558,-85.5303542
11905,Nansemond Circle,40245,38.3064858,-85.5302774
11905,Nansemond Circle,40245,38.3064957,-85.5303789
11905,Nansemond Circle,40245,38.3065269,-85.5303109
11905,Tazwell Drive,40245,38.3079953,-85.5311177
11905,Tazwell Drive,40245,38.3080465,-85.5310458
11905,Tazwell Drive,40245,38.3080473,-85.5311572
11905,Tazwell Drive,40245,38.3080837,-85.5310711
11905,Tazwell Drive,40245,38.3081082,-85.5312016
11905,Tazwell Drive,40245,38.3081351,-85.5311162
11905,Tazwell Drive,40245,38.3081427,-85.5312327
11905,Tazwell Drive,40245,38.3081733,-85.5311489
11907,Tazwell Drive,40245,38.3082178,-85.5306736
11907,Tazwell Drive,40245,38.3082440,-85.5305873
11907,Tazwell Drive,40245,38.3082515,-85.5307127
11907,Tazwell Drive,40245,38.3082974,-85.5306268
11907,Tazwell Drive,40245,38.3083117,-85.5307620
11907,Tazwell Drive,40245,38.3083458,-85.5307777
11907,Tazwell Drive,40245,38.3083488,-85.5306687
11907,Tazwell Drive,40245,38.3084023,-85.5306977
11909,Tazwell Drive,40245,38.3081163,-85.5302936
11909,Tazwell Drive,40245,38.3081678,-85.5303274
11909,Tazwell Drive,40245,38.3081683,-85.5302052
11909,Tazwell Drive,40245,38.3082036,-85.5302357
11909,Tazwell Drive,40245,38.3082242,-85.5303790
11909,Tazwell Drive,40245,38.3082575,-85.5302776
11909,Tazwell Drive,40245,38.3082694,-85.5304103
11909,Tazwell Drive,40245,38.3083020,-85.5303218
11911,Tazwell Drive,40245,38.3083233,-85.5304554
11911,Tazwell Drive,40245,38.3083603,-85.5303591
11911,Tazwell Drive,40245,38.3083629,-85.5304810
11911,Tazwell Drive,40245,38.3083975,-85.5303853
11911,Tazwell Drive,40245,38.3084156,-85.5305237
11911,Tazwell Drive,40245,38.3084476,-85.5304303
11911,Tazwell Drive,40245,38.3084538,-85.5305557
11911,Tazwell Drive,40245,38.3084952,-85.5304705
11913,Tazwell Drive,40245,38.3085214,-85.5300158
11913,Tazwell Drive,40245,38.3085591,-85.5299225
11913,Tazwell Drive,40245,38.3085616,-85.5300416
11913,Tazwell Drive,40245,38.3085998,-85.5299591
11913,Tazwell Drive,40245,38.3086191,-85.5300824
11913,Tazwell Drive,40245,38.3086583,-85.5299882
11913,Tazwell Drive,40245,38.3086732,-85.5301213
11913,Tazwell Drive,40245,38.3087158,-85.5300308
