House number,Street name,Postal code,Latitude,Longitude
1245,Elliott Street,71301,31.3082381,-92.4537484
3311,Prescott Road,71301,31.2799926,-92.4642199
959,Macarthur Drive,71303,31.2925509,-92.4767188
1307,Peterman Drive,71301,31.2762464,-92.4803804
1217,Thornton Ave,71301,31.2992023,-92.4547983
1705,Macarthur Drive,71301,31.2803921,-92.4716903
1804,Macarthur Drive,71301,31.2784203,-92.4743655
3848,Independence Drive,71303,31.3004977,-92.4869028
4020,Parliament Drive,71303,31.2821376,-92.4798668
604,Macarthur Drive,71303,31.2969292,-92.4808700
2839,Lee St,71301,31.2866484,-92.4507560
507,Macarthur Drive,71301,31.2962498,-92.4781718
626,Mac Arthur,71303,31.2958408,-92.4794733
727,Macarthur Drive,71303,31.2947039,-92.4771282
207,Ansley Boulevard,71303,31.2937803,-92.4973913
1767,Jackson Street,71301,31.3032367,-92.4558777
4724,Jackson Street,71303,31.2760141,-92.4823302
3435,Masonic Drive,71301,31.2765514,-92.4596850
3437,Masonic Drive,71301,31.2766839,-92.4601551
1804,MacArthur Drive,71301,31.2788345,-92.4741407
1804,MacArthur Boulevard,71301,31.2777549,-92.4740913
1804,Macarthur Drive,71301,31.2776317,-92.4737397
2265,South MacArthur Drive,71301,31.2741714,-92.4633963
2303,South MacArthur Drive,71301,31.2728661,-92.4639884
5448,Provine Place,71303,31.2912055,-92.5024253
13,Heyman Lane,71303,31.3013320,-92.4873020
2621,North Bolton Avenue,71303,31.3236744,-92.4798209
3927,South Macarthur Drive,71302,31.2611927,-92.4469408
3701,South MacArthur Drive,71302,31.2633546,-92.4501596
3601,South MacArthur Drive,71301,31.2638052,-92.4503391
2715,South Macarthur Drive,71301,31.2692983,-92.4585880
3910,North Boulevard,71301,31.2693750,-92.4577469
6205,Coliseum Boulevard,71303,31.2946734,-92.5137453
3805,North Boulevard,71301,31.2711531,-92.4558835
4717,Jackson Street,71303-2506,31.2759649,-92.4813406
6021,Old Boyce Highway,71303,31.3447184,-92.5194835
3915,South Macarthur Drive,71302,31.2620915,-92.4477790
1464,Macarthur Drive,71301,31.2829680,-92.4743582
501,Medical Center Drive,71301,31.3136023,-92.4499248
2050,North Mall Drive,71301,31.2785362,-92.4517747
3201,Industrial Street,71301,31.2746529,-92.4550390
2206,Memorial Drive,71301-3611,31.2804698,-92.4582796
707,2nd Street,71301,31.3133997,-92.4459107
933,2nd Street,71301,31.3121955,-92.4442040
714,Winn Street,71301,31.3063733,-92.4446093
1327,3rd Street,71301,31.3095774,-92.4422783
605,Washington Street,71301,31.3083880,-92.4454291
925,Johnston Street,71301,31.3072445,-92.4478744
825,Murray Street,71301,31.3080967,-92.4478954
626,4th Street,71301,31.3123598,-92.4477843
5212,Jackson Street,71303,31.2717721,-92.4849851
4015,Jackson Street,71303,31.2811566,-92.4780060
3016,Masonic Drive,71301,31.2877050,-92.4572800
2416,3rd Street,71302,31.3022731,-92.4351668
211,4th Street,71301,31.3146245,-92.4496422
3330,Masonic Drive,71301,31.2829342,-92.4625078
44,Versailles Boulevard,71303,31.2923430,-92.5047291
651,North Bolton Avenue,71301,31.3142591,-92.4678496
1898,Macarthur Drive,71303,31.2769006,-92.4720820
5445,Provine Place,71301,31.2895293,-92.5019847
1004,Bayou Place,71303,31.3075432,-92.4822102
5000,Masonic Drive,71301,31.2698281,-92.4718884
2550,North Bolton Avenue,71303,31.3252070,-92.4787686
3810,Alexandria Mall Drive,71301,31.2736567,-92.4602923
6124,West Calhoun Drive,71303-5067,31.3466735,-92.5224144
6015,Old Boyce Road,71303,31.3438685,-92.5173557
2301,North Macarthur Drive,71303,31.3120639,-92.4730204
3800,Alexandria Mall Drive,71301,31.2722370,-92.4595438
3830,Alexandria Mall Drive,71301,31.2728840,-92.4618658
2830,South Macarthur Drive,22306,31.2666045,-92.4599544
3437,Masonic Drive,71301-3688,31.2756712,-92.4595236
2120,Elliott Street,71301,31.3016306,-92.4618971
2211,East Texas Avenue,71301,31.2820110,-92.4558950
4401,Bayou Rapides Road,71303,31.2983312,-92.4924288
900,Daspit Street,71302,31.2866291,-92.4199359
4400,Coliseum Boulevard,71303,31.2974849,-92.4917679
5410,Jackson Street,71303-2321,31.2706647,-92.4855727
4611,Jackson Street,71303,31.2768765,-92.4808012
5704,Jackson Street,71303,31.2677478,-92.4874477
398,Windermere Boulevard,71303,31.2881803,-92.4913801
4216,Ellis Street,71302,31.2486363,-92.4484748
2657,South Macarthur Drive,71301,31.2710399,-92.4590506
722,North 3rd Street,71301,31.3226384,-92.4581156
6225,Coliseum Boulevard,71303,31.2920168,-92.5137218
812,Belleau Wood,71303,31.2708677,-92.4872528
