House number,Street name,Postal code,Latitude,Longitude
200,Polydras Street,70130,29.9490288,-90.0659316
200,Polydras Street,70130,29.9497429,-90.0659476
2600,Royal Street,70117,29.9646516,-90.0512594
4938,Prytania Street,70115,29.9244900,-90.1087764
5535,Magazine Street,70115,29.9212893,-90.1169407
3236,Magazine Street,70115,29.9234775,-90.0873491
741,State Street,70118,29.9220329,-90.1214102
3121,Magazine Street,70115,29.9243529,-90.0860432
3637,Magazine Street,70115,29.9218990,-90.0927089
4308,Magazine Street,70115,29.9207488,-90.1006745
5908,Magazine Street,70115,29.9216971,-90.1201416
2803,Saint Claude Avenue,70117,29.9687794,-90.0480415
1500,South Carrollton Avenue,70118,29.9496344,-90.1275583
5212,South Claiborne Avenue,70115,29.9409231,-90.1094331
1241,Decatur Street,70116,29.9614657,-90.0587522
3201,Magazine Street,70115,29.9240397,-90.0866108
5339,Prytania Street,70115,29.9251837,-90.1131641
1201,Royal Street,70116,29.9621278,-90.0611761
8115,South Claiborne Avenue,70118,29.9571214,-90.1205407
1426,South Carrollton Avenue,70118,29.9493842,-90.1279315
2032,South Carrollton Avenue,70118,29.9538152,-90.1236845
6227,Saint Charles Avenue,70118,29.9331463,-90.1201636
5617,Saint Claude Avenue,70117,29.9613124,-90.0151165
5834,Elysian Fields Avenue,70122,30.0188131,-90.0611827
720,Henry Clay Avenue,70118,29.9229105,-90.1249538
600,Eleonore Street,70115,29.9202050,-90.1206290
5624,Freret Street,70115,29.9352057,-90.1142443
1901,Bartholomew Street,70117,29.9741623,-90.0325907
9701,Hammond Street,70127,30.0233989,-89.9723864
2644,Saint Claude Avenue,70117,29.9672200,-90.0439900
130,Baronne Street,70112,29.9535515,-90.0715753
400,North Rampart Street,70112,29.9581522,-90.0702224
3722,Saint Charles Avenue,70115,29.9266900,-90.0952445
2401,General Meyer Avenue,70114,29.9439190,-90.0323302
1421,General Taylor Street,70115,29.9260131,-90.0959335
14500,Hayne Boulevard,70128,30.0713670,-89.9478253
1430,Tulane Avenue,70112,29.9552192,-90.0767349
2000,Louisiana Avenue,70115-9998,29.9321715,-90.0939027
2401,General Meyer Avenue,70114,29.9440510,-90.0322841
2510,Calhoun Street,70118,29.9401810,-90.1172101
7887,Walmsley Avenue,70125,29.9573606,-90.1151349
2500,General de Gaulle Drive,70114,29.9300822,-90.0318841
533,Royal Street,70130,29.9570240,-90.0657455
622,Frenchmen Street,70116,29.9640517,-90.0579014
3530,Toulouse Street,70119,29.9744395,-90.0923483
626,Frenchmen Street,70119,29.9641347,-90.0579159
4838,Prytania Street,70115,29.9244036,-90.1073966
3117,Calhoun Street,70125,29.9467139,-90.1131181
4437,Magazine Street,70115,29.9207974,-90.1026025
718,Saint Peter Street,70116,29.9580935,-90.0654893
6307,South Miro Street,70125,29.9469529,-90.1138185
3322,Magazine Street,70115,29.9230822,-90.0882302
3244,Magazine St,70115,29.9233626,-90.0875937
3454,Magazine Street,70115,29.9223421,-90.0902790
3700,Magazine Street,70115,29.9215244,-90.0933377
2401,Saint Ann Street,70119,29.9691656,-90.0789295
2301,Orleans Ave,70119,29.9680597,-90.0784985
3800,Canal St,70119,29.9724035,-90.0979125
3903,Canal Street,70119,29.9734496,-90.0984785
4408,Banks Street,70119,29.9743189,-90.1068522
310,N Carrollton Ave,70119,29.9761115,-90.0982532
4401,Banks Street,70119,29.9744821,-90.1064478
3701,Banks St,70119,29.9695738,-90.0991644
3901,Banks St,70119,29.9701170,-90.0999885
141,N Carrollton Avenue,70119,29.9754493,-90.0999498
135,N Carrollton Ave,70119,29.9753728,-90.1000375
900,Canal Street,70112,29.9542901,-90.0712436
2727,Canal Street,70119,29.9663346,-90.0878548
1009,Harrison Avenue,70124,30.0038576,-90.0969693
2841,S Claiborne Ave,70125,29.9426659,-90.0956906
2856,South Claiborne Avenue,70125,29.9415782,-90.0952910
2600,North Robertson Street,70117,29.9726342,-90.0488162
2256,Saint Claude Avenue,70117,29.9685425,-90.0549612
1135,Press,70117,29.9689038,-90.0465042
1120,Franklin Avenue,70117,29.9697576,-90.0503049
2801,Marais,70117,29.9695508,-90.0476709
402,N Carrollton Avenue,70119,29.9768471,-90.0977317
630,Frenchmen Street,70116,29.9642599,-90.0579251
1239,Royal Street,70116,29.9627372,-90.0606005
1555,Poydras Street,70112,29.9524718,-90.0794855
3535,Magazine Street,70115,29.9223205,-90.0915140
5300,Tchoupitoulas Street,70115,29.9160227,-90.1142848
