House number,Street name,Postal code,Latitude,Longitude
3107,Maplewood Drive,70663,30.2271395,-93.3409407
1612,Ruth Street,70663,30.2247231,-93.3751149
204,North Cities Service Highway,70663,30.2300476,-93.3250475
1705,Maplewood Drive,70663,30.2271951,-93.3576615
305,South Cities Service Highway,70663,30.2193601,-93.3231995
300,South Hazel Street,70663,30.2183750,-93.3373721
701,Cypress Street,70663,30.2290378,-93.3688989
1211,Ruth Street,70663,30.2300197,-93.3764349
525,North Cities Service Highway,70663,30.2331202,-93.3280305
600,Willow Avenue,70663,30.2333115,-93.3698130
701,Cypress Street,70663,30.2299930,-93.3686015
1109,Cypress Street,70663,30.2298100,-93.3661345
217,East Thomas Street,70663,30.2355746,-93.3753914
923,Ruth Street,70663,30.2307540,-93.3767196
102,Mallard Street,70665,30.2151188,-93.3278586
101,Mallard Street,70665,30.2143340,-93.3277407
1200,Pintail Street,70665,30.2142002,-93.3271809
112,Dennis Avenue,70665,30.2157398,-93.3223658
108,Dennis Avenue,70665,30.2153613,-93.3226711
2505,Highway 108,70665,30.2124231,-93.3247464
2615,Ruth Street,70665,30.2144886,-93.3747871
118,West Elizabeth Street,70663,30.2354628,-93.3782568
4020,Maplewood Drive,70663,30.2279028,-93.3278115
2700,Maplewood Drive,70663,30.2283243,-93.3459786
602,North Claiborne Street,70663,30.2443892,-93.3838345
602,North Claiborne Street,70663,30.2447660,-93.3845491
330,Arena Road,70663,30.2145061,-93.3796082
2619,Ruth Street,70665,30.2139152,-93.3754855
210,Henning Drive,70663,30.2168235,-93.3744315
4008,Maplewood Drive,70663,30.2280001,-93.3284072
2304,Maplewood Drive,70663,30.2277435,-93.3498805
2251,Maplewood Drive,70663,30.2271461,-93.3511799
2488,South Cities Service Highway,70665,30.2118294,-93.3261957
1508,South Beglis Parkway,70663,30.2264245,-93.3586684
1421,South Beglis Parkway,70663,30.2265356,-93.3610370
1024,South Beglis Parkway,70663,30.2282515,-93.3587440
1996,East Napoleon Street,70663,30.2370420,-93.3565613
304,South Cities Service Highway,70663,30.2198980,-93.3261196
1609,South Ruth Street,70663-4905,30.2245282,-93.3767821
312,Brook Street,70663,30.2391056,-93.3661666
1201,East Burton Street,70663,30.2412403,-93.3669211
720,East Napoleon Street,70663,30.2371417,-93.3681012
1300,Ruth Street,70663,30.2283690,-93.3756656
2740,Ruth Street,70665,30.2113674,-93.3768849
2017,Ruth Street,70663,30.2189184,-93.3768290
2009,Ruth Street,70663,30.2195768,-93.3768543
2026,Ruth Street,70663,30.2195686,-93.3757914
250,Evelyn Street,70663,30.2391605,-93.3867932
1613,Ruth Street,70663,30.2239156,-93.3768632
600,Willow Avenue,70663,30.2335287,-93.3692396
1612,Ruth Street,70663,30.2247560,-93.3749537
200,Kyle Street,70663,30.2500649,-93.3774273
