House number,Street name,Postal code,Latitude,Longitude
12,School Street,04530,43.9116664,-69.8166459
215,Water Street,04530,43.9131432,-69.8153459
193,Water Street,04530,43.9122472,-69.8152514
510,Washington Street,04530,43.9032602,-69.8162010
864,High Street,04530,43.9155259,-69.8195821
10,State Road,04530,43.9061025,-69.8309595
194,Front Street,04530,43.9152874,-69.8145283
178,Front Street,04530,43.9150311,-69.8144936
96,Front Street,04530,43.9133800,-69.8143466
92,Front Street,04530,43.9431059,-69.8183617
23,Elm Street,04530,43.9145393,-69.8149630
15,Commercial Street,04530,43.9114017,-69.8148891
9,Lambard Street,04530,43.9128379,-69.8133366
1326,Washington Street,04530,43.9304309,-69.8146104
1328,Washington Street,04530,43.9305433,-69.8146243
1356,Washington Street,04530,43.9307710,-69.8155307
11,Park Street,04530,43.9303850,-69.8159988
9,Park Street,04530,43.9303511,-69.8157056
7,Park Street,04530,43.9302057,-69.8152613
144,Bedford Street,04530,43.9166179,-69.8273443
41,Blackwater Cove Road,04530,43.9617998,-69.8479522
6,Bluff Road,04530,43.9093703,-69.8316464
9,Bluff Road,04530,43.9090154,-69.8315418
10,Bluff Road,04530,43.9093317,-69.8313781
11,Bluff Road,04530,43.9090041,-69.8312365
13,Bluff Road,04530,43.9090181,-69.8311682
19,Bluff Road,04530,43.9090509,-69.8310005
21,Bluff Road,04530,43.9090739,-69.8309324
33,Bluff Road,04530,43.9094205,-69.8303145
38,Bluff Road,04530,43.9097293,-69.8305679
40,Bluff Road,04530,43.9097836,-69.8305250
41,Bluff Road,04530,43.9096471,-69.8301122
43,Bluff Road,04530,43.9096833,-69.8300877
45,Bluff Road,04530,43.9097648,-69.8300142
47,Bluff Road,04530,43.9098373,-69.8299529
48,Bluff Road,04530,43.9100100,-69.8303476
51,Bluff Road,04530,43.9099367,-69.8298982
52,Bluff Road,04530,43.9101275,-69.8302870
58,Bluff Road,04530,43.9102542,-69.8301953
59,Bluff Road,04530,43.9101806,-69.8297895
61,Bluff Road,04530,43.9102350,-69.8297405
65,Bluff Road,04530,43.9103480,-69.8296798
70,Bluff Road,04530,43.9105206,-69.8300932
72,Bluff Road,04530,43.9105927,-69.8300817
74,Bluff Road,04530,43.9106377,-69.8300761
75,Bluff Road,04530,43.9106502,-69.8296030
76,Bluff Road,04530,43.9107098,-69.8300709
77,Bluff Road,04530,43.9106954,-69.8295725
79,Bluff Road,04530,43.9107540,-69.8295609
81,Bluff Road,04530,43.9107946,-69.8295490
83,Bluff Road,04530,43.9108710,-69.8295625
84,Bluff Road,04530,43.9109493,-69.8299497
85,Bluff Road,04530,43.9110152,-69.8295521
86,Bluff Road,04530,43.9111023,-69.8299518
87,Bluff Road,04530,43.9111503,-69.8295477
88,Bluff Road,04530,43.9112555,-69.8299352
91,Bluff Road,04530,43.9114295,-69.8295329
26,Bowery Street,04530,43.9245546,-69.8129232
60,Bowery Street,04530,43.9256459,-69.8120224
65,Bowery Street,04530,43.9254821,-69.8116403
101,Bowery Street,04530,43.9264502,-69.8116098
155,Butler Head Road,04530,43.9727630,-69.8495793
1,Carlton Bridge,04530,43.9115322,-69.8101928
4,Castine Avenue,04530,43.9042450,-69.8188669
13,Central Avenue,04530,43.9098457,-69.8312794
21,Central Avenue,04530,43.9101853,-69.8310039
22,Central Avenue,04530,43.9102943,-69.8314911
25,Central Avenue,04530,43.9103209,-69.8309310
56,Central Avenue,04530,43.9114000,-69.8311080
150,Centre Street,04530,43.9114726,-69.8191840
154,Centre Street,04530,43.9114310,-69.8193453
211,Centre Street,04530,43.9121807,-69.8221454
414,Centre Street,04530,43.9122866,-69.8311514
35,West Chops Point Road,04530,43.9730640,-69.8331643
36,West Chops Point Road,04530,43.9730856,-69.8351407
46,West Chops Point Road,04530,43.9767506,-69.8338331
3,Clifton Street,04530,43.9010660,-69.8189728
8,Clifton Street,04530,43.9008663,-69.8185653
11,Corliss Street,04530,43.9000858,-69.8169110
49,Corliss Street,04530,43.8999377,-69.8187394
51,Corliss Street,04530,43.8998906,-69.8190314
53,Corliss Street,04530,43.8998613,-69.8193423
36,Court Street,04530,43.9110138,-69.8216498
83,Court Street,04530,43.9108132,-69.8238639
13,Crawford Drive,04530,43.9242387,-69.8255876
47,Crescent Street,04530,43.9231227,-69.8186400
45,Crescent Street,04530,43.9229726,-69.8182269
25,Crescent Street Court,04530,43.9221765,-69.8168644
27,Crescent Street Court,04530,43.9224635,-69.8170303
15,Cummings Street,04530,43.9259119,-69.8126053
23,Cummings Street,04530,43.9258919,-69.8122438
14,Denny Road,04530,43.9283163,-69.8201003
89,Denny Road,04530,43.9256752,-69.8236579
91,Denny Road,04530,43.9255046,-69.8235933
4,Dike Road,04530,43.9134642,-69.8251896
11,Dike Road,04530,43.9141364,-69.8249996
5,Dikes Landing Road,04530,43.9275108,-69.8169188
3,Drayton Road,04530,43.9096900,-69.8322548
4,Drayton Road,04530,43.9095164,-69.8326073
6,Drayton Road,04530,43.9095702,-69.8326330
8,Drayton Road,04530,43.9097093,-69.8326972
13,Drayton Road,04530,43.9098742,-69.8323072
19,Drayton Road,04530,43.9100588,-69.8323036
21,Drayton Road,04530,43.9100951,-69.8322605
22,Drayton Road,04530,43.9102043,-69.8327166
1,Goose Cove Road,04530,43.9708823,-69.8317002
1,Juniper Street,04530,43.9289563,-69.8168513
1,Nichols Street,04530,43.9023377,-69.8211756
1,Wright Drive,04530,43.9223898,-69.8197697
2,Orchard Lane,04530,43.8854118,-69.8166482
2,Shaw Street,04530,43.9020563,-69.8164585
4,Bluff Road,04530,43.9093788,-69.8317212
4,Mitchell Road,04530,43.8943527,-69.8222549
4,Orchard Lane,04530,43.8853991,-69.8165360
1,Dikes Landing Road,04530,43.9280144,-69.8169942
