House number,Street name,Postal code,Latitude,Longitude
407,Pool Street,04005,43.4778585,-70.4154561
15,May Street,04005,43.4916853,-70.4668505
2,Dartmouth Street,04005,43.4862213,-70.4703248
476,Alfred Street,04005,43.4796100,-70.4889845
201,Mariner Way,04005,43.4734068,-70.5113169
208,Mariner Way,04005,43.4730934,-70.5116817
130,Shops Way,04005,43.4744221,-70.5106255
106,Shops Way,04005-9436,43.4745572,-70.5089941
584,Alfred Street,04005,43.4759672,-70.5128982
476,Alfred Street,04005,43.4761866,-70.5122489
574,Alfred Street,04005,43.4762227,-70.5119924
547,Alfred Street,04005,43.4758583,-70.5052155
564,Alfred Street,04005,43.4768158,-70.5089813
565,Alfred Street,04005,43.4766104,-70.5094733
510,Mariner Way,04005,43.4752751,-70.5115757
403,Mariner Way,04005,43.4749479,-70.5133797
75,Gateway Commons Drive,04005,43.4785706,-70.5050430
360,Alfred Street,04005,43.4831319,-70.4724121
460,Alfred Street,04005,43.4802171,-70.4868413
32,Main Street,04005,43.4929564,-70.4524786
7,Portside Drive,04046,43.4385338,-70.4474013
12,Linda Avenue,04046,43.4767465,-70.5280950
714,Alfred Road,04046,43.4782997,-70.5314603
38,Letellier Lane,04046,43.4732862,-70.5208739
11,Linda Avenue,04046,43.4768776,-70.5283951
613,Alfred Street,04046,43.4740015,-70.5222643
618,Alfred Road,04046,43.4743693,-70.5230463
600,Alfred Street,04005,43.4750079,-70.5193716
602,Alfred Street,04005,43.4750023,-70.5204719
606,Alfred Street,04005,43.4746696,-70.5224665
598,Alfred Street,04005,43.4752001,-70.5188015
599,Alfred Street,04005,43.4745482,-70.5187357
540,Alfred Street,04005,43.4783385,-70.5078878
604,Alfred Street,04005,43.4747046,-70.5215339
605,Alfred Street,04005,43.4740466,-70.5215792
565,South Street,04005,43.4993782,-70.5281154
671,South Street,04005,43.4969303,-70.5441081
610,South Street,04005,43.4985926,-70.5339955
677,South Street,04005,43.4966082,-70.5466168
512,South Street,04005,43.4989223,-70.5122901
664,South Street,04005,43.4975842,-70.5436918
521,South Street,04005,43.4974721,-70.5177704
542,South Street,04005,43.4998338,-70.5202786
575,South Street,04005,43.4987706,-70.5304563
623,South Street,04005,43.4980595,-70.5381565
493,South Street,04005,43.4977947,-70.5100665
589,South Street,04005,43.4963480,-70.5312629
497,South Street,04005,43.4981129,-70.5115340
499,South Street,04005,43.4986261,-70.5132413
570,South Street,04005,43.5000520,-70.5280968
629,South Street,04005,43.4976055,-70.5411073
540,South Street,04005,43.4997365,-70.5198123
625,South Street,04005,43.4980740,-70.5394185
560,South Street,04005,43.4999785,-70.5269926
495,South Street,04005,43.4980680,-70.5108464
591,South Street,04005,43.4958328,-70.5346391
736,South Street,04005,43.5013155,-70.5574196
726,South Street,04005,43.4997576,-70.5557267
724,South Street,04005,43.4995118,-70.5549288
738,South Street,04005,43.5004708,-70.5579035
716,South Street,04005,43.4997017,-70.5512291
717,South Street,04005,43.4977448,-70.5557661
728,South Street,04005,43.4999812,-70.5564994
722,South Street,04005,43.4992200,-70.5542101
627,South Street,04005,43.4977452,-70.5404306
608,South Street,04005,43.4988046,-70.5333448
568,Alfred Street,04005,43.4766052,-70.5095881
29,Andrews Road,04005,43.4799553,-70.5224509
25,Andrews Road,04005,43.4786199,-70.5216445
20,Andrews Road,04005,43.4770807,-70.5195719
9,Andrews Road,04005,43.4763837,-70.5218790
1,Apple Ridge Drive,04005,43.5018392,-70.5436518
5,Apple Ridge Drive,04005,43.5025103,-70.5429638
24,Apple Ridge Drive,04005,43.5047946,-70.5391564
25,Apple Ridge Drive,04005,43.5037771,-70.5391614
8,Apple Ridge Drive,04005,43.5032311,-70.5432605
7,Apple Ridge Drive,04005,43.5028645,-70.5427317
14,Apple Ridge Drive,04005,43.5039640,-70.5419927
50,Biddeford Gateway Center,04005,43.4785266,-70.5076205
4,Swan Brook Road,04005,43.4998108,-70.5537985
1,Town Line Drive,04005,43.5237167,-70.5361480
17,Town Line Drive,04005,43.5220488,-70.5376462
10,Wadlin Road,04005,43.5004483,-70.5433010
20,Wadlin Road,04005,43.5025343,-70.5458466
18,Wadlin Road,04005,43.5023024,-70.5446903
21,Wadlin Road,04005,43.5033642,-70.5487314
30,Wadlin Road,04005,43.5047637,-70.5481116
27,Wadlin Road,04005,43.5047305,-70.5492364
8,Whitewater Drive,04005,43.5115574,-70.5202636
106,Shops Way,04005,43.4745900,-70.5087775
418,Mariner Way,04005,43.4743242,-70.5142420
305,Mariner Way,04005,43.4742856,-70.5123926
301,Mariner Way,04005,43.4743411,-70.5122827
307,Mariner Way,04005,43.4741859,-70.5124396
201,Mariner Way,04005,43.4733693,-70.5112137
136,Dennett Road,04005,43.4933968,-70.5609620
208,Mariner Way,04005,43.4731896,-70.5115245
301,Shops Way,04005,43.4743511,-70.5122827
307,Shops Way,04005,43.4741959,-70.5124396
310,Shops Way,04005,43.4740395,-70.5126152
311,Shops Way,04005,43.4739433,-70.5127426
401,Mariner Way,04005,43.4750353,-70.5132335
405,Mariner Way,04005,43.4749129,-70.5136385
411,Mariner Way,04005,43.4746293,-70.5139776
101,Shops Way,04005,43.4746571,-70.5084701
118,Shops Way,04005,43.4745569,-70.5092403
123,Shops Way,04005,43.4745172,-70.5095175
124,Shops Way,04005,43.4744818,-70.5098134
