House number,Street name,Postal code,Latitude,Longitude
448,North Street,04619,45.1709116,-67.2894499
9,Germain Street,04619,45.1868680,-67.2735431
691,Main Street,04619,45.1841717,-67.2671495
476,Main Street,04619,45.1887543,-67.2752299
175,North Street,04619,45.1845224,-67.2825696
14,Main Street,04619,45.1906086,-67.2827187
37,Main Street,04619,45.1906527,-67.2831808
2,Barker Street,04619,45.1867324,-67.2673806
2,Fowler Street,04619,45.1688862,-67.2858456
2,Harrison Street,04619,45.1730883,-67.2888161
4,Park Street,04619,45.1879107,-67.2768412
4,Stillson Street,04619,45.1687435,-67.2943504
6,Garfield Street,04619,45.1829462,-67.2885039
6,Midland Avenue,04619,45.1797337,-67.2897775
6,Spring Street,04619,45.1859959,-67.2755178
8,Calais Avenue,04619,45.1875828,-67.2750944
8,Cherry Lane,04619,45.1880186,-67.2860987
8,Customs Street,04619,45.1905530,-67.2837312
8,Franklin Street,04619,45.1836390,-67.2664053
8,Odey Lane,04619,45.1789308,-67.2809686
8,River Road,04619,45.1785338,-67.2533300
8,Steadman Street,04619,45.1880827,-67.2733290
10,Academy Street,04619,45.1854394,-67.2803971
10,Barker Street,04619,45.1860030,-67.2676637
10,Barker Street,04619,45.1859096,-67.2677366
10,Barker Street,04619,45.1859699,-67.2675565
10,Barker Street,04619,45.1859013,-67.2674822
10,Church Street,04619,45.1884148,-67.2765395
10,Palmer Street,04619,45.1808094,-67.2694632
10,River Road,04619,45.1784636,-67.2531540
10,Summer Street,04619,45.1659199,-67.2915335
10,Whitney Street,04619,45.1900000,-67.2834741
12,Barnard Lane,04619,45.1814937,-67.2834943
12,Beech Street,04619,45.1789359,-67.2891014
12,Church Street,04619,45.1882905,-67.2766578
12,Cleveland Street,04619,45.1717207,-67.2884775
12,Fowler Street,04619,45.1683990,-67.2866683
12,Franklin Street,04619,45.1834037,-67.2666161
12,Steadman Street,04619,45.1882154,-67.2728794
12,Whitney Street,04619,45.1899440,-67.2836413
14,Academy Street,04619,45.1852488,-67.2799955
14,Brook Street,04619,45.1798095,-67.2885279
14,Church Street,04619,45.1881617,-67.2767699
14,Clark Street,04619,45.1695693,-67.2881730
14,Garfield Street,04619,45.1826648,-67.2877486
14,Lowell Street,04619,45.1881412,-67.2804876
14,River Road,04619,45.1783141,-67.2527958
14,South Street,04619,45.1860938,-67.2671200
16,Beech Street,04619,45.1790197,-67.2892834
16,Carver Street,04619,45.1867369,-67.2849724
18,Chandler Street,04619,45.1839425,-67.2850118
18,Fowler Street,04619,45.1681815,-67.2871711
18,South Street,04619,45.1860103,-67.2669570
20,Chapel Street,04619,45.1687712,-67.2892785
20,Franklin Street,04619,45.1829376,-67.2670439
20,Higgins Farm Road,04619,45.1580127,-67.2861781
20,Monroe Street,04619,45.1877219,-67.2810349
20,Winter Street,04619,45.1860086,-67.2745691
22,Church Street,04619,45.1876823,-67.2772108
22,Garfield Street,04619,45.1823656,-67.2870066
24,Chapel Street,04619,45.1685330,-67.2890057
24,Monroe Street,04619,45.1874513,-67.2812976
26,Church Street,04619,45.1874603,-67.2774149
26,Clark Street,04619,45.1690071,-67.2873054
26,Fowler Street,04619,45.1678855,-67.2878417
26,Garfield Street,04619,45.1822116,-67.2866421
26,King Street,04619,45.1681393,-67.2897619
26,Lafayette Street,04619,45.1854338,-67.2734663
26,South Street,04619,45.1857980,-67.2666071
28,Franklin Street,04619,45.1824668,-67.2674591
28,Spring Street,04619,45.1846773,-67.2767223
30,High Street,04619,45.1876928,-67.2829897
30,Manning Street,04619,45.1778030,-67.2700697
30,Spruce Street,04619,45.1766732,-67.2656113
32,Baring Street,04619,45.1666905,-67.2924966
32,Bayview Lane,04619,45.1591549,-67.1793963
32,Blue Devil Hill,04619,45.1645682,-67.2413379
32,Boardman Street,04619,45.1670553,-67.2910096
32,Cleveland Street,04619,45.1709978,-67.2867939
32,Lafayette Street,04619,45.1850567,-67.2738278
32,Palmer Street,04619,45.1800304,-67.2676603
34,Downes Street,04619,45.1844688,-67.2727509
34,Franklin Street,04619,45.1821115,-67.2677754
34,High Street,04619,45.1879499,-67.2833257
34,Lafayette Street,04619,45.1849281,-67.2739526
34,Mahar Street,04619,45.1785629,-67.2831433
34,Manning Street,04619,45.1776537,-67.2697243
36,Calais Avenue,04619,45.1860525,-67.2765854
36,High Street,04619,45.1880828,-67.2834872
36,Price Street,04619,45.1860532,-67.2861959
36,Stillson Street,04619,45.1671759,-67.2942636
38,Downes Street,04619,45.1842337,-67.2729807
38,North Street,04619,45.1884048,-67.2785639
38,Pleasant Street,04619,45.1824094,-67.2854270
38,Spring Street,04619,45.1840696,-67.2773071
40,King Street,04619,45.1672679,-67.2889800
40,Main Street,04619,45.1906813,-67.2829890
40,Monroe Street,04619,45.1865595,-67.2821519
40,Spring Street,04619,45.1839498,-67.2774253
42,Garfield Street,04619,45.1815696,-67.2852486
42,Harrison Street,04619,45.1717378,-67.2860146
42,Lincoln Street,04619,45.1833089,-67.2785011
44,Hardscrabble Road,04619,45.1585912,-67.2320241
44,North Street,04619,45.1882185,-67.2787477
44,Spring Street,04619,45.1837057,-67.2776554
46,Spring Street,04619,45.1835815,-67.2777737
46,Washington Street,04619,45.1854998,-67.2760483
48,Germain Street,04619,45.1846002,-67.2754900
48,King Street,04619,45.1668938,-67.2886412
48,River Road,04619,45.1770653,-67.2497222
48,Washington Street,04619,45.1853840,-67.2758291
50,Cedar Street,04619,45.1760023,-67.2673752
50,Garfield Street,04619,45.1813051,-67.2847155
50,Harrison Street,04619,45.1714167,-67.2853115
50,Hayim Lane,04619,45.1493233,-67.1739341
50,Price Street,04619,45.1853683,-67.2852490
50,Stillson Street,04619,45.1663683,-67.2935242
50,Swan Street,04619,45.1830051,-67.2726870
50,Union Street,04619,45.1894411,-67.2807285
52,Calais Avenue,04619,45.1851803,-67.2775409
54,Germain Street,04619,45.1842363,-67.2758319
54,Lincoln Street,04619,45.1827426,-67.2773599
54,Mahar Street,04619,45.1791875,-67.2821763
