House number,Street name,Postal code,Latitude,Longitude
127,Main Street,04106,43.6351108,-70.2878743
364,Maine Mall Road,04106,43.6341705,-70.3365511
343,Gorham Road,04106,43.6367978,-70.3295198
200,Running Hill Road,04106,43.6355976,-70.3443050
200,Running Hill Road,04106,43.6353887,-70.3446363
200,Running Hill Road,04106,43.6351768,-70.3450653
200,Running Hill Road,04106,43.6349856,-70.3454332
200,Running Hill Road,04106,43.6348694,-70.3456913
200,Running Hill Road,04106,43.6347296,-70.3459779
333,Clarks Pond Parkway,04106,43.6312763,-70.3249138
79,Ocean Street,04106,43.6392850,-70.2538225
343,Gorham Road,04106,43.6367231,-70.3303109
415,Philbrook Avenue,04106,43.6345937,-70.3284345
415,Philbrook Ave,04106,43.6340544,-70.3290237
78,E Street,04106,43.6379631,-70.2562168
98,Thomas Street,04106,43.6368013,-70.2522376
200,Running Hill Road,04106,43.6337852,-70.3477646
37,Ocean Street,04106,43.6404235,-70.2546830
364,Maine Mall Road,04106,43.6331844,-70.3342269
623,Main Street,04106,43.6215747,-70.3040598
2112,Broadway,04106,43.6251607,-70.3214902
9,Q Street,04106,43.6376575,-70.2540304
130,Thadeus Street,04106,43.6253452,-70.2871788
33,Hunnewell Road,04106,43.6252043,-70.2870651
116,Dartmouth Street,04106,43.6201070,-70.2921733
75,Dartmouth Street,04106,43.6219991,-70.2908691
69,Davis Street,04106,43.6346412,-70.2354157
10,Davis Street,04106,43.6361020,-70.2335550
97,Davis Street,04106,43.6338860,-70.2361440
90,Davis Street,04106,43.6339962,-70.2355326
86,Davis Street,04106,43.6341189,-70.2354236
96,Davis Street,04106,43.6336868,-70.2358362
51,Davis Street,04106,43.6351912,-70.2349373
106,Davis Street,04106,43.6328330,-70.2361038
89,Davis Street,04106,43.6341001,-70.2359129
78,Davis Street,04106,43.6342469,-70.2352464
60,Davis Street,04106,43.6348016,-70.2347433
68,Davis Street,04106,43.6345653,-70.2349492
57,Davis Street,04106,43.6349640,-70.2351248
53,Davis Street,04106,43.6350866,-70.2350343
85,Davis Street,04106,43.6342274,-70.2357977
73,Davis Street,04106,43.6345185,-70.2355247
72,Davis Street,04106,43.6344333,-70.2350767
4,Daytona Street,04106,43.6300004,-70.2899557
35,Daytona Street,04106,43.6293252,-70.2911436
26,Daytona Street,04106,43.6294139,-70.2904700
14,Daytona Street,04106,43.6297275,-70.2902040
38,Daytona Street,04106,43.6290278,-70.2907716
15,Daytona Street,04106,43.6298081,-70.2906395
31,Daytona Street,04106,43.6294526,-70.2910286
8,Daytona Street,04106,43.6298777,-70.2900646
4,Deake Street,04106,43.6408773,-70.2244595
114,Deake Street,04106,43.6373939,-70.2268806
21,Deake Street,04106,43.6402685,-70.2258171
97,Deake Street,04106,43.6380144,-70.2269491
2,Deake Street,04106,43.6410993,-70.2247554
118,Deake Street,04106,43.6372496,-70.2268963
24,Deake Street,04106,43.6401013,-70.2254542
6,Deake Street,04106,43.6407667,-70.2251268
66,Deake Street,04106,43.6387837,-70.2257373
59,Deake Street,04106,43.6390358,-70.2261578
74,Deake Street,04106,43.6385707,-70.2258694
55,Deake Street,04106,43.6392439,-70.2260690
5,Deake Street,04106,43.6409720,-70.2257074
9,Deake Street,04106,43.6407470,-70.2257029
91,Deake Street,04106,43.6381734,-70.2268159
1,Deake Street,04106,43.6410949,-70.2255860
35,Deake Street,04106,43.6399330,-70.2260397
81,Deake Street,04106,43.6384019,-70.2264982
8,Derby Road,04106,43.6321102,-70.2520493
40,Derby Road,04106,43.6313964,-70.2530944
30,Derby Road,04106,43.6316619,-70.2526970
5,Derby Road,04106,43.6324559,-70.2521371
34,Derby Road,04106,43.6315791,-70.2528627
34,Jessica Lane,04106,43.6099013,-70.2829521
58,Jessica Lane,04106,43.6104104,-70.2841216
39,Jessica Lane,04106,43.6103852,-70.2827579
57,Jessica Lane,04106,43.6109160,-70.2835995
27,Jessica Lane,04106,43.6101432,-70.2822571
16,Jessica Lane,04106,43.6095180,-70.2822067
22,Jessica Lane,04106,43.6096413,-70.2824509
33,Jessica Lane,04106,43.6102754,-70.2825140
46,Jessica Lane,04106,43.6101476,-70.2834716
28,Jessica Lane,04106,43.6097601,-70.2826951
23,Jessica Lane,04106,43.6100071,-70.2819506
64,Jessica Lane,04106,43.6105931,-70.2842866
52,Jessica Lane,04106,43.6102786,-70.2838338
40,Jessica Lane,04106,43.6100287,-70.2832337
45,Jessica Lane,04106,43.6105442,-70.2830278
51,Jessica Lane,04106,43.6107263,-70.2832547
53,Bellaire Road,04106,43.6274806,-70.2501373
44,Bellaire Road,04106,43.6273529,-70.2494591
29,Bellaire Road,04106,43.6279529,-70.2493476
47,Bellaire Road,04106,43.6275552,-70.2498971
65,Bellaire Road,04106,43.6274191,-70.2504087
18,Bellaire Road,04106,43.6280609,-70.2485255
22,Bellaire Road,04106,43.6279329,-70.2487088
10,Bellaire Road,04106,43.6281981,-70.2483300
48,Bellaire Road,04106,43.6272291,-70.2496673
40,Bellaire Road,04106,43.6274721,-70.2492632
28,Bellaire Road,04106,43.6277956,-70.2489105
19,Bellaire Road,04106,43.6282809,-70.2489949
15,Bellaire Road,04106,43.6284687,-70.2487013
23,Bellaire Road,04106,43.6281034,-70.2491710
42,Bellevue Avenue,04106,43.6385878,-70.2359863
41,Bellevue Avenue,04106,43.6383902,-70.2355235
48,Bellevue Avenue,04106,43.6388409,-70.2358985
50,Bellevue Avenue,04106,43.6389311,-70.2358817
38,Bellevue Avenue,04106,43.6384390,-70.2360142
31,Bellevue Avenue,04106,43.6380430,-70.2355784
37,Bellevue Avenue,04106,43.6382322,-70.2355636
30,Bellevue Avenue,04106,43.6381592,-70.2360767
14,Bellevue Avenue,04106,43.6376835,-70.2363458
26,Bellevue Avenue,04106,43.6379923,-70.2361042
158,Benjamin W Pickett Street,04106,43.6474453,-70.2320388
175,Benjamin W Pickett Street,04106,43.6468841,-70.2314818
150,Benjamin W Pickett Street,04106,43.6475726,-70.2323452
156,Benjamin W Pickett Street,04106,43.6475065,-70.2322075
185,Benjamin W Pickett Street,04106,43.6467486,-70.2311009
165,Benjamin W Pickett Street,04106,43.6470427,-70.2318012
20,Bennett Street,04106,43.6310256,-70.2614355
29,Bennett Street,04106,43.6305955,-70.2616496
2,Bennett Street,04106,43.6316906,-70.2619577
28,Bennett Street,04106,43.6307445,-70.2612065
9,Bennett Street,04106,43.6311720,-70.2620336
16,Bennett Street,04106,43.6311731,-70.2615254
21,Beverly Street,04106,43.6382652,-70.2400027
18,Beverly Street,04106,43.6378911,-70.2396293
24,Beverly Street,04106,43.6378788,-70.2399327
15,Beverly Street,04106,43.6381935,-70.2395611
19,Beverly Street,04106,43.6381688,-70.2397589
25,Birch Road,04106,43.6375661,-70.2263511
29,Birch Road,04106,43.6376353,-70.2266190
19,Birch Road,04106,43.6375186,-70.2261641
30,Bishop Avenue,04106,43.6320940,-70.2883456
37,Bishop Avenue,04106,43.6316326,-70.2885464
24,Bishop Avenue,04106,43.6321472,-70.2888178
34,Blueberry Drive,04106,43.5991286,-70.2804869
12,Blueberry Drive,04106,43.5991541,-70.2818255
18,Blueberry Drive,04106,43.5992478,-70.2815053
24,Blueberry Drive,04106,43.5992377,-70.2812016
29,Blueberry Drive,04106,43.5987731,-70.2808758
30,Blueberry Drive,04106,43.5991790,-70.2808100
117,Boothby Avenue,04106,43.6300960,-70.2476875
36,Boothby Avenue,04106,43.6328886,-70.2483899
105,Boothby Avenue,04106,43.6304993,-70.2478632
17,Boothby Avenue,04106,43.6334077,-70.2490825
40,Boothby Avenue,04106,43.6327273,-70.2483184
170,Boothby Avenue,04106,43.6284742,-70.2465446
156,Boothby Avenue,04106,43.6289642,-70.2466105
125,Boothby Avenue,04106,43.6299299,-70.2476469
28,Boothby Avenue,04106,43.6331618,-70.2485134
149,Boothby Avenue,04106,43.6290433,-70.2472071
54,Boothby Avenue,04106,43.6323105,-70.2481424
21,Boothby Avenue,04106,43.6332330,-70.2490045
49,Boothby Avenue,04106,43.6323457,-70.2486328
126,Boothby Avenue,04106,43.6299085,-70.2471258
32,Boothby Avenue,04106,43.6330005,-70.2484480
45,Boothby Avenue,04106,43.6324714,-70.2486664
83,Boothby Avenue,04106,43.6311943,-70.2481193
66,Boothby Avenue,04106,43.6319296,-70.2479796
59,Boothby Avenue,04106,43.6319866,-70.2485324
173,Boothby Avenue,04106,43.6284745,-70.2469350
113,Boothby Avenue,04106,43.6302125,-70.2477395
137,Boothby Avenue,04106,43.6294552,-70.2474140
106,Boothby Avenue,04106,43.6305719,-70.2473937
109,Boothby Avenue,04106,43.6303783,-70.2478111
16,Boothby Avenue,04106,43.6335519,-70.2486640
98,Boothby Avenue,04106,43.6308632,-70.2475175
76,Boothby Avenue,04106,43.6316115,-70.2478428
157,Boothby Avenue,04106,43.6287415,-70.2472195
86,Boothby Avenue,04106,43.6312482,-70.2477176
37,Boothby Avenue,04106,43.6327538,-70.2487714
41,Boothby Avenue,04106,43.6325836,-70.2486935
114,Boothby Avenue,04106,43.6303251,-70.2473204
175,Boothby Avenue,04106,43.6279781,-70.2470425
133,Boothby Avenue,04106,43.6296078,-70.2474543
70,Boothby Avenue,04106,43.6317997,-70.2479211
48,Bowdoin Avenue,04106,43.6265219,-70.2814154
