House number,Street name,Postal code,Latitude,Longitude
125,6th Street,02142,42.3672754,-71.0861518
29,Garden Street,02138,42.3787447,-71.1237790
175,Cambridge Street,02141,42.3711772,-71.0787804
80,Sparks Street,02138,42.3806833,-71.1309842
1,Follen Street,02138,42.3787529,-71.1233952
552,Massachusetts Avenue,02139,42.3644143,-71.1025321
238,Main Street,02142,42.3621356,-71.0845627
21,Notre Dame Avenue,02140,42.3921276,-71.1316899
298,Harvard Street,02139,42.3695170,-71.1057346
820,Massachusetts Avenue,02139,42.3669109,-71.1065281
15,Mount Vernon Street,02140,42.3873692,-71.1201034
630,Massachusetts Avenue,02139,42.3651922,-71.1038304
2020,Massachusetts Avenue,02140,42.3905930,-71.1219377
1311,Cambridge Street,02139-9991,42.3736787,-71.0995556
259,Massachusetts Avenue,02139,42.3618274,-71.0973361
344,Broadway,02139,42.3700776,-71.1034016
20,Ames Street,02139,42.3610207,-71.0877409
314,Main Street,02139,42.3619754,-71.0864154
26,Oxford Street,02138,42.3782074,-71.1154484
351,Broadway,02139,42.3704326,-71.1035368
286,Franklin Street,02139,42.3647710,-71.1057705
350,Massachusetts Avenue,02139,42.3627042,-71.0995636
1629,Cambridge Street,02138,42.3749452,-71.1094225
49,White Street,02140,42.3897500,-71.1182860
699,Mount Auburn Street,02138,42.3753822,-71.1490818
1815,Massachusetts Avenue,02140,42.3876020,-71.1189769
1312,Massachusetts Avenue,02138,42.3728601,-71.1174909
1357,Cambridge Street,02139,42.3737379,-71.1001428
1414,Cambridge Street,02139,42.3737001,-71.1014690
403,Massachusetts Avenue,02139,42.3635902,-71.1000483
401,Massachusetts Avenue,02139,42.3635803,-71.0999357
20,Sidney Street,02139,42.3620538,-71.0999395
200,Alewife Brook Parkway,02138,42.3891156,-71.1417515
149,Alewife Brook Parkway,02140,42.3936797,-71.1408939
1,White Street,02140,42.3892180,-71.1195667
25,White Street,02140,42.3896268,-71.1188489
1256,Massachusetts Avenue,02138,42.3725414,-71.1163631
211,Alewife Brook Parkway,02138,42.3899301,-71.1433772
424,Massachusetts Avenue,02139,42.3633623,-71.1006465
24,Pearl Street,02139,42.3641739,-71.1030009
20,Pearl Street,02139,42.3642246,-71.1029409
263,Brookline Street,02139,42.3576804,-71.1078846
272,Brookline Street,02139,42.3573950,-71.1077988
271,Brookline Street,02139,42.3575368,-71.1080821
