House number,Street name,Postal code,Latitude,Longitude
321,High Street,01301,42.6020264,-72.5833669
160,Elm Street,01301,42.5964024,-72.6124595
385,Chapman Street,01301,42.6047716,-72.6030656
71,Montague City Road,01301,42.5745977,-72.5827891
101,Munson Street,01301,42.5731209,-72.6235182
204,Main Street,01301,42.5880286,-72.6028026
137,Federal Street,01301,42.5921691,-72.5972384
144,Main Street,01301,42.5878999,-72.6038739
45,Federal Street,01301,42.5891255,-72.5993540
55,Main Street,01301,42.5871740,-72.6071998
486,Main Street,01301,42.5876191,-72.5962085
244,Country Club Road,01301,42.6189566,-72.5957009
12,Olive Street,01301,42.5853984,-72.6008030
5,Pierce Street,01301,42.5981362,-72.5968301
245,Federal Street,01301,42.5981415,-72.5957967
245,Federal Street,01301,42.5980487,-72.5958610
259,Mohawk Trail,01301,42.5874995,-72.6271068
242,Mohawk Trail,01301,42.5857646,-72.6259618
242,Mohawk Trail,01301,42.5857399,-72.6261981
242,Mohawk Trail,01301,42.5857477,-72.6262582
122,Main Street,01301,42.5878023,-72.6047209
574,Bernardston Road,01301,42.6156697,-72.5856898
70,Shelburne Road,01301,42.5856042,-72.6146121
62,Meridian Street,01301,42.5781610,-72.6029070
21,Barr Avenue,01301,42.6051662,-72.5951501
1,Place Terrace,01301,42.6055915,-72.6105982
264,Mohawk Trail,01301,42.5847995,-72.6278428
208,Mohawk Trail,01301,42.5854667,-72.6247767
25,Church Street,01301,42.5903831,-72.5971771
138,Federal Street,01301,42.5924820,-72.5985742
153,School Street,01301,42.5929462,-72.6002543
8,Church Street,01301,42.5900711,-72.5985825
16,Court Square,01301,42.5871505,-72.6012754
399,Main Street,01301,42.5873524,-72.5989701
133,Main Street,01301,42.5872694,-72.6040725
7,Legion Avenue,01301,42.5891544,-72.6041975
1,Arch Street,01301,42.5920525,-72.6041849
122,Main Street,01301,42.5879122,-72.6047729
12,Olive Street,01301,42.5858938,-72.6007137
42,Colrain Road,01301,42.5888366,-72.6227341
38,Park Avenue,01301,42.5775826,-72.5816144
378,Federal Street,01301,42.6042315,-72.5911111
51,Hastings Street,01301,42.5988289,-72.5915602
343,Federal Street,01301,42.6023296,-72.5919897
108,High Street,01301,42.5929541,-72.5934866
285,Federal Street,01301,42.5998264,-72.5944763
22A,Brookside Avenue,01301,42.6413490,-72.5946060
221,Federal Street,01301,42.5968803,-72.5962779
41,Barr Avenue,01301,42.6043580,-72.5965909
68,Barton Road,01301,42.6429809,-72.6040106
62,Barton Road,01301,42.6419633,-72.6049946
160,Elm Street,01301,42.5967930,-72.6130889
141,Mohawk Trail,01301,42.5851455,-72.6186493
92,Colrain Road,01301,42.5898668,-72.6228875
200,Mohawk Trail,01301,42.5853378,-72.6235619
17,Colrain Road,01301,42.5863268,-72.6234963
143,Munson Street,01301,42.5759793,-72.6234961
21,Ferrante Avenue,01301,42.6094019,-72.5886532
125,Federal Street,01301,42.5914341,-72.5975253
195,Federal Street,01301,42.5957222,-72.5956705
164,High Street,01301,42.5951606,-72.5928136
12,Olive Street,01301,42.5866082,-72.5999688
71,Chapman Street,01301,42.5900752,-72.6025417
160,Elm Street,01301,42.5960218,-72.6136109
15,Meridian Street,01301,42.5796081,-72.5998394
