House number,Street name,Postal code,Latitude,Longitude
642,Homestead Avenue,01040,42.1860549,-72.6501962
33,Whiting Farms Road,01040,42.1884306,-72.6337954
600,High Street,01040,42.2009620,-72.6132799
1579,Northampton Street,01040,42.2104168,-72.6304006
70,North Summer Street,01040,42.2046736,-72.5954087
21,Westfield Road,01040,42.1954630,-72.6320708
15,Papineau Street,01040,42.1887775,-72.6237302
271,Appleton Street,01040,42.2047581,-72.6091102
2265,Northampton Street,01040,42.1836642,-72.6332066
150,Whiting Farms Road,01040,42.1822069,-72.6370587
225,Whiting Farms Road,01040,42.1748978,-72.6409036
74,Main Street,01040,42.2041971,-72.6022900
164,Race Street,01060,42.2027720,-72.6053075
164,Race Street,01060,42.2026330,-72.6051922
290,High Street,01040,42.2061625,-72.6082240
285,Maple Street,01040,42.2057146,-72.6106938
50,Holyoke Street,01040,42.1678609,-72.6412018
1373,Dwight Street,01040,42.2109619,-72.6248407
1375,Dwight Street,01040,42.2109539,-72.6249480
81,Sargeant Street,01040,42.1991280,-72.6108881
206,Maple Street,01040,42.2080057,-72.6077836
50,Holyoke Street,01040-2709,42.1678592,-72.6421569
50,Holyoke Street,01040,42.1693807,-72.6418807
50,Holyoke Street,01040-2709,42.1678653,-72.6423624
50,Holyoke Street,01040-2709,42.1650000,-72.6418969
50,Holyoke Street,01040-2709,42.1699294,-72.6410822
293-299,Clemente Street,01040,42.1961829,-72.6099280
1099,Northampton Street,01040,42.2422261,-72.6229327
1,Jefferson Street,01040,42.2251518,-72.6257173
2019,Northampton Street,01040,42.1936446,-72.6304844
233,Easthampton Road,01040,42.2291128,-72.6391500
186,Northampton Street,01040,42.1994727,-72.6305318
1600,Northampton Street,01040,42.2096822,-72.6297244
28,Lincoln Street,01040,42.2142775,-72.6181875
92,Race Street,01040,42.2042486,-72.6036934
164,Race Street,01060,42.2027265,-72.6051840
25,Maple Street,01040,42.2095367,-72.6075343
138,Appleton Street,01040,42.2038100,-72.6085621
650,Dwight Street,01040,42.2081408,-72.6099965
555,Northampton Street,01040,42.2606434,-72.6109480
238,Cabot Street,01040,42.2049979,-72.6171283
575,Maple Street,01040,42.1976897,-72.6200078
474,Pleasant Street,01040,42.2131610,-72.6199793
539,Pleasant Street,01040,42.2113014,-72.6207873
1274,Dwight Street,01040,42.2107320,-72.6220816
930,Hampden Street,01040,42.2130948,-72.6225086
1380,Dwight Street,01040,42.2107418,-72.6248275
22,Lexington Avenue,01040,42.2192494,-72.6251443
1519,Dwight Street,01040,42.2111337,-72.6275878
2194,Northampton Street,01040,42.1866181,-72.6298472
2177,Northampton Street,01040-3439,42.1872166,-72.6308256
2199,Northampton Street,01040,42.1859357,-72.6309598
2217;2239,Northampton Street,01040,42.1842129,-72.6320225
2241,North Hampton Street,01040,42.1829534,-72.6322206
1916,Northampton St,01040,42.1979557,-72.6274653
500,Beech Street,01040,42.1996954,-72.6225059
596,South Bridge Street,01040,42.1958929,-72.6079642
1233,Main Street,01040,42.1657265,-72.6338175
110,Cherry Street,01040,42.1993871,-72.6404716
575,Beech Street,01040,42.2009317,-72.6281111
156,Cabot Street,01040,42.2028230,-72.6137683
1,Whiting Farms Road,01040,42.1858978,-72.6384272
235,Whiting Farms Road,01040,42.1750529,-72.6420167
229,Whiting Farms Road,01040,42.1760001,-72.6416959
473,Pleasant Street,01040,42.2131076,-72.6206203
33,Berkshire Street,01040,42.1947610,-72.6187402
12,Holyoke Street,01040,42.1728200,-72.6398224
300,Appleton Street,01040,42.2048398,-72.6104099
114,Race Street,01040,42.2039182,-72.6039477
