House number,Street name,Postal code,Latitude,Longitude
101,South State Street,48723,43.4886915,-83.3963000
517,North State Street,48723,43.4921611,-83.3928453
1425,West Caro Road,48723,43.4774708,-83.4110884
1001,West Caro Road,48723,43.4805995,-83.4069316
517,North State Street,48723,43.4922759,-83.3924505
1425,West Caro Road,48723,43.4773221,-83.4108290
1001,West Caro Road,48723,43.4804722,-83.4070927
1023,East Caro Road,48723,43.4965406,-83.3868620
1360,Prospect Avenue,48723,43.4704825,-83.4157393
401,North Hooper Street,48723,43.4931697,-83.4086995
301,North Hooper Street,48723,43.4910393,-83.4113373
440,North State Street,48723,43.4909245,-83.3928368
1121,East Caro Road,48723,43.5008567,-83.3847622
744,South State Street,48723,43.4835200,-83.4045775
801,South State,48723,43.4831035,-83.4035345
815,South State Street,48723,43.4827995,-83.4040680
847,South State Street,48723,43.4821490,-83.4048935
884,South State Street,48723,43.4817780,-83.4064105
1035,West Caro Road,48723,43.4801965,-83.4074280
1250,Carter Drive,48723,43.4745245,-83.4179300
1141,East Caro Road,48723,43.5000598,-83.3821991
1057,East Caro Road,48723,43.4975463,-83.3860964
267,North State Street,48723,43.4904083,-83.3948771
1285,Cleaver Road,48723,43.5038007,-83.3888082
156,East Deckerville Road,48723,43.5091963,-83.3866145
1430,Cleaver Road,48723,43.5080610,-83.3868877
660,North State Street,48723,43.4930785,-83.3904409
660,North State Street,48723,43.4929734,-83.3902995
625,North State Street,48723,43.4930632,-83.3917563
615,North State Street,48723,43.4929342,-83.3918968
700,North State Street,48723,43.4940606,-83.3889156
165,3rd Street,48723,43.4807544,-83.4051260
1181,East Caro Road,48723,43.5016540,-83.3808207
1253,East Caro Road,48723,43.5036978,-83.3794809
1255,Cameron Road,48723,43.5039059,-83.3792020
1309,Cleaver Road,48723,43.5043173,-83.3912624
840,West Frank Street,48723,43.4890032,-83.4052743
910,West Frank Street,48723,43.4883023,-83.4060550
301,North Hooper Street,48723,43.4915648,-83.4095766
299,North Hooper Street,48723,43.4916282,-83.4077646
303,North Hooper Street,48723,43.4903827,-83.4090092
1130,Cleaver Road,48723,43.4996264,-83.3867681
1089,East Caro Road,48723,43.4985861,-83.3844353
1103,East Caro Road,48723,43.4990020,-83.3843971
1042,East Caro Road,48723,43.4966233,-83.3854599
1085,East Caro Road,48723,43.4989650,-83.3857811
1085,East Caro Road,48723,43.4991692,-83.3860533
755,North State Street,48723,43.4949067,-83.3894933
1012,Turner Drive,48723,43.4961287,-83.3914630
1303,Sugar Tree Court,48723,43.5042189,-83.3806536
325,East Frank Street,48723,43.4893842,-83.3933391
420,Court Street,48723,43.4902375,-83.3921561
1075,Cleaver Road,48723,43.4987220,-83.3881652
240,North State Street,48723,43.4899308,-83.3946738
