House number,Street name,Postal code,Latitude,Longitude
303,South Main Street,48017,42.5310202,-83.1458996
1331,West Maple Road,48017,42.5475186,-83.1653918
1365,West Maple Road,48017,42.5476254,-83.1660551
1129,West 14 Mile Road,48017,42.5320859,-83.1618958
425 / 429,South Main Street,48017,42.5296995,-83.1457241
107,North Main Street,48017,42.5342433,-83.1466158
22,S Main St,48017,42.5330920,-83.1465340
1377,North Main Street,48017,42.5455723,-83.1471505
7,North Rochester Road,48017,42.5340281,-83.1363182
650,West 14 Mile Road,48017,42.5336695,-83.1559373
1155,West 14 Mile Road,48017,42.5320793,-83.1624282
1402,West 14 Mile Road,48017,42.5337307,-83.1650486
1365,West Maple Road,48017,42.5474449,-83.1659447
1377,North Main Street,48017,42.5455410,-83.1473543
206,West 14 Mile Road,48017,42.5336230,-83.1500231
206,West 14 Mile Road,48017,42.5337614,-83.1500687
110,North Rochester Road,48017,42.5347605,-83.1349169
24,North Rochester Road,48017,42.5339333,-83.1354211
24,North Rochester Road,48017,42.5339292,-83.1350718
150,John M Avenue,48017,42.5365936,-83.1485250
101,John M Avenue,48017,42.5360085,-83.1482944
1185,West 14 Mile Road,48017,42.5320867,-83.1628732
1255,West 14 Mile Road,48017,42.5320593,-83.1639725
1213,West 14 Mile Road,48017,42.5320823,-83.1632651
1139,West 14 Mile Road,48017,42.5320826,-83.1622460
1077,West 14 Mile Road,48017,42.5320883,-83.1617017
1203,West 14 Mile Road,48017,42.5320857,-83.1630398
1207,West 14 Mile Road,48017,42.5320818,-83.1631396
1219,West 14 Mile Road,48017,42.5320796,-83.1634658
1241,West 14 Mile Road,48017,42.5320699,-83.1637011
1249,West 14 Mile Road,48017,42.5320634,-83.1638051
1145,West Maple Road,48017,42.5477207,-83.1625011
27,Tecumseh Street,48017,42.5286147,-83.1466254
935,North Custer Avenue,48017,42.5419478,-83.1531966
926,Grant Street,48017,42.5360070,-83.1312375
469,Parkland Boulevard,48017,42.5312450,-83.1399142
416,North Main Street,48017,42.5368521,-83.1460936
1119,W. Maple Rd,48017,42.5475720,-83.1620389
581,East 14 Mile Road,48017,42.5341728,-83.1386993
1212,West 14 Mile Road,48017,42.5336700,-83.1640659
1402,West 14 Mile Road,48017,42.5336534,-83.1651826
1301,West 14 Mile Road,48017,42.5324543,-83.1645087
1359,West 14 Mile Road,48017,42.5327202,-83.1652806
1035,West 14 Mile Road,48017,42.5319477,-83.1612574
131,South Crooks Road,48017,42.5318829,-83.1650608
240,Nahma Avenue,48017,42.5304367,-83.1543807
1120,West 14 Mile Road,48017,42.5334436,-83.1623833
1200,West 14 Mile Road,48017,42.5334861,-83.1634617
1176,West 14 Mile Road,48017,42.5336938,-83.1629038
1206,West 14 Mile Road,48017,42.5337030,-83.1637756
110,North Rochester Road,48017,42.5346937,-83.1350424
775,East 14 Mile Road,48017,42.5339895,-83.1345741
416,North Main Street,48017,42.5371717,-83.1461177
345,North Main Street,48017,42.5361331,-83.1468374
509,Fisher Court,48017,42.5366279,-83.1397739
425,North Main Street,48017,42.5367710,-83.1470072
940,North Selfridge Boulevard,48017,42.5412086,-83.1577609
1500,Crooks Road,48017,42.5440294,-83.1650573
650,West Elmwood Avenue,48017,42.5408672,-83.1551879
140,North Crooks Road,48017,42.5340385,-83.1651451
1000,N Crooks,48017,42.5412482,-83.1646074
1030,N Crooks,48017,42.5418485,-83.1645091
1421,North Main Street,48017,42.5460624,-83.1473721
1435,North Main Street,48017,42.5463336,-83.1473657
1345,North Main,48017,42.5451307,-83.1473131
303,South Main Street,48017,42.5309817,-83.1457167
629,West Maple Road,48017,42.5475437,-83.1555704
635,West 14 Mile Road,48017,42.5329383,-83.1560518
1068,West 14 Mile Road,48017,42.5334950,-83.1610929
1015,West 14 Mile Road,48017,42.5325435,-83.1607142
1339,West 14 Mile Road,48017,42.5325546,-83.1648957
