House number,Street name,Postal code,Latitude,Longitude
925,West Grand River Avenue,48843,42.6099400,-83.9415600
102,East Grand River Avenue,48843,42.6072290,-83.9293560
1200,West Grand River Avenue,48843,42.6163700,-83.9467181
1066,West Grand River Avenue,48843,42.6127909,-83.9443694
314,West Grand River Avenue,48843,42.6087428,-83.9319509
202,North Michigan Avenue,48843,42.6082947,-83.9290372
202,North Michigan Avenue,48843,42.6084083,-83.9291565
1009,South Michigan Avenue,48843,42.5975942,-83.9331731
763,South Michigan Avenue,48843,42.6005617,-83.9333770
763,South Michigan Avenue,48843,42.6005607,-83.9331114
1196,Pinckney Road,48843,42.5934971,-83.9339644
1196,Pinckney Road,48843,42.5934719,-83.9337739
401,East Grand River Avenue,48843,42.6057792,-83.9265856
401,East Grand River Avenue,48843,42.6056272,-83.9266165
106,West Highland Road,48843,42.6238063,-83.9264394
840,East Grand River Avenue,48843,42.6043711,-83.9201644
840,East Grand River Avenue,48843,42.6042339,-83.9201067
840,East Grand River Avenue,48843,42.6040286,-83.9202274
921,East Grand River Avenue,48843,42.6026861,-83.9184599
921,East Grand River Avenue,48843,42.6028075,-83.9183995
223,West Grand River Road,48843,42.6075472,-83.9315792
620,Byron Road,48843,42.6157404,-83.9413167
400,Thompson Street,48843,42.6153870,-83.9213926
619,Roosevelt Street,48843,42.6096944,-83.9207198
492,Factory Street,48843,42.6125645,-83.9329511
700,Spring Street,48843,42.6108763,-83.9382168
415,North Barnard Street,48843,42.6084214,-83.9231769
600,South Walnut Street,48843,42.6033333,-83.9339545
1401,Lakeside Drive,48843,42.6201841,-83.9188002
421,East Grand River Avenue,48843,42.6055309,-83.9260718
325,South Michigan Avenue,48843,42.6048300,-83.9303852
505,East Grand River Avenue,48843,42.6049938,-83.9255379
1002,East Grand River Avenue,48843,42.6036980,-83.9176976
1250,East Grand River Avenue,48843-1722,42.6026412,-83.9153440
809,East Grand River Avenue,48843,42.6039541,-83.9215050
1022,Pinckney Road,48843,42.5971497,-83.9340820
1031,South Michigan Avenue,48843,42.5969672,-83.9331496
1009,South Michigan Avenue,48843,42.5972579,-83.9331757
251,Mason Road,48843,42.5979587,-83.9361569
108,West Highland Road,48843,42.6244016,-83.9275082
114,West Highland,48843,42.6232466,-83.9274344
1333,West Grand River Avenue,48843,42.6102209,-83.9502336
217,East Grand River Avenue,48843,42.6062990,-83.9283991
215,East Grand River Avenue,48843,42.6063714,-83.9284421
213,East Grand River Avenue,48855,42.6064332,-83.9284739
211,East Grand River Avenue,48843,42.6064235,-83.9285771
290,East Grand River Avenue,48843,42.6064528,-83.9286500
207,East Grand River Avenue,48843,42.6065263,-83.9286906
117,East Grand River Avenue,48843,42.6065978,-83.9290146
115,East Grand River Avenue,48843,42.6066244,-83.9290862
111,West Grand River Avenue,48843,42.6066773,-83.9292323
107,East Grand River Avenue,48843,42.6067344,-83.9293792
101,East Grand River Avenue,48843,42.6067843,-83.9295846
111,North Michigan Avenue,48843,42.6074695,-83.9290703
113,North Michigan Avenue,48843,42.6075063,-83.9290465
115,North Michigan Avenue,48843,42.6075537,-83.9290113
117,North Michigan Avenue,48843,42.6076137,-83.9289686
119,North Michigan Avenue,48843,42.6076636,-83.9289352
121,North Michigan Avenue,48843,42.6077518,-83.9288789
428,Greenwich Street,48843,42.6130511,-83.9376055
428,Greenwich Street,48843,42.6128794,-83.9372822
428,Greenwich Street,48843,42.6132278,-83.9370931
428,Greenwich Street,48843,42.6130117,-83.9367713
428,Greenwich Street,48843,42.6138584,-83.9370603
428,Greenwich Street,48843,42.6140751,-83.9373822
428,Greenwich Street,48843,42.6136263,-83.9375340
428,Greenwich Street,48843,42.6137986,-83.9378567
300,South Highlander Way,48843,42.6106918,-83.9554411
