House number,Street name,Postal code,Latitude,Longitude
1414,West Fair Avenue,49855,46.5574189,-87.4170713
1414,West Fair Avenue,49855,46.5574687,-87.4170660
1414,West Fair Avenue,49855,46.5575240,-87.4170794
1414,West Fair Avenue,49855,46.5575719,-87.4170767
1475,West Washington Street,49855,46.5454875,-87.4251186
1021,West Washington Street,49855,46.5455004,-87.4161406
510,North McClellan Avenue,49855,46.5497394,-87.4199432
1140,West Washington Street,49855,46.5463737,-87.4210107
2025,US 41 West,49855,46.5473154,-87.4346285
105,East Washington Street,49855,46.5431745,-87.3916273
1401,Presque Isle Avenue,49855,46.5585330,-87.4058381
113,South Front Street,49855,46.5427651,-87.3928357
918,West Washington Street,49855,46.5460210,-87.4131344
130,West Washington Street,49855,46.5434568,-87.3940205
119,South Front Street,49855,46.5425512,-87.3928901
105,East Washington Street,49855,46.5431971,-87.3917880
333,West Washington Street,49855,46.5440007,-87.3990238
102,West Washington Street,49855,46.5436445,-87.3929322
137,West Washington Street,49855,46.5433169,-87.3943322
100,Coles Drive,49855,46.5470633,-87.4201339
301,West Fair Avenue,49855,46.5563716,-87.3953784
301,West Fair Avenue,49855,46.5564197,-87.3952018
1440,Presque Isle Road,49855,46.5577697,-87.3959665
327,Washington St.,49855,46.5439593,-87.3987497
1401,South Front Street,49855,46.5313452,-87.3960753
1320,South Front Street,49855,46.5318719,-87.3970169
338,West Washington Street,49855,46.5443639,-87.3988009
501,West Washington Street,49855,46.5443540,-87.4023362
918,West Washington Street,49855,46.5461385,-87.4131218
130,West Washington Street,49855,46.5435142,-87.3939421
130,West Washington Street,49855,46.5435633,-87.3939153
1375,Union Street,49855,46.5674665,-87.4153224
1924,Industrial Parkway,49855,46.5668777,-87.4153685
1910,Industrial Parkway,49855,46.5652162,-87.4157993
1922,Enterprise Street,49855,46.5668043,-87.4126991
130,West Washington Street,49855,46.5435653,-87.3941125
130,West Washington Street,49855,46.5433930,-87.3936573
130,West Washington Street,49855,46.5436172,-87.3940032
128,West Washington Street,49855,46.5436414,-87.3937690
128,West Washington Street,49855,46.5436741,-87.3939466
132,West Washington Street,49855,46.5434667,-87.3941777
128,North 3rd Street,49855,46.5443387,-87.3948499
153,West Washington Street,49855,46.5434299,-87.3951887
153,West Washington Street,49855,46.5434173,-87.3951149
153,West Washington Street,49855,46.5434134,-87.3950451
147,West Washington Street,49855,46.5433826,-87.3947930
149,West Washington Street,49855,46.5433925,-87.3948703
147,West Washington Street,49855,46.5433996,-87.3949539
1115,West Washington Street,49855,46.5452457,-87.4208589
560,Fern Place,49855,46.5477859,-87.3808390
129,East Hewitt Avenue,49855,46.5493640,-87.3906451
1471,West Washington Street,49855,46.5454897,-87.4250221
1467,West Washington Street,49855,46.5454881,-87.4249240
1465,West Washington Street,49855,46.5454930,-87.4247942
1203,West Fair Avenue,49855,46.5551954,-87.4136717
145,West Washington Street,49855,46.5433634,-87.3946278
121,West Washington Street,49855,46.5432418,-87.3937547
131,West Washington Street,49855,46.5432952,-87.3941611
127,West Washington Street,49855,46.5432873,-87.3940609
131,West Washington Street,49855,46.5432110,-87.3941747
412,West Washington Street,49855,46.5445405,-87.4007755
500,North 3rd Street,49855,46.5475817,-87.3945115
425,Fisher Street,49855,46.5394460,-87.4023215
1401,Odovero Drive,49855,46.5422978,-87.4239636
401,North 6th Street,49855,46.5481474,-87.4024558
400,South 3rd Street,49855,46.5416973,-87.3968401
236,West Baraga Avenue,49855,46.5418502,-87.3978800
234,West Baraga Avenue,49855,46.5417447,-87.3973485
300,West Baraga Avenue,49855,46.5419289,-87.3990117
145,West Spring Street,49855,46.5414175,-87.3956425
200,West Spring Street,49855,46.5423206,-87.3968656
112,South 3rd Street,49855,46.5427809,-87.3959026
418,South 3rd Street,49855,46.5404827,-87.3966151
502,West Washington Street,49855,46.5450022,-87.4026251
2025,US 41 West,49855,46.5470273,-87.4314404
1115,West Washington Street,49855,46.5453081,-87.4206545
919,West Baraga Avenue,49855,46.5440881,-87.4189468
1001,West Baraga Avenue,49855,46.5444139,-87.4207201
316,Pine Street,49855,46.5456785,-87.3886548
461,South Lakeshore Boulevard,49855,46.5394277,-87.3918769
114,West Spring Street,49855,46.5419217,-87.3938773
107,Main Street,49855,46.5424583,-87.3943796
100,Genesee Street,49855,46.5343529,-87.3967391
123,Genesee Street,49855,46.5337508,-87.3978782
1202,Division Street,49855,46.5338203,-87.3985290
1105,West Washington,49855-4001,46.5454983,-87.4183929
1100,West Washington Street,49855,46.5460609,-87.4183848
