House number,Street name,Postal code,Latitude,Longitude
415,East Main Street,48640,43.6113181,-84.2426464
1601,East Wheeler Street,48642,43.6414928,-84.2083302
5011,Saginaw Road,48642,43.6408678,-84.2910925
5908,Eastman Avenue,48640,43.6513429,-84.2466487
1615,North Saginaw Road,48640,43.6407283,-84.2462100
2106,North Saginaw Road,48640,43.6416837,-84.2522801
2500,North Saginaw Road,48640,43.6416966,-84.2571947
2929,South Saginaw Road,48640,43.6063581,-84.2069598
2029,South Saginaw Road,48640,43.6126676,-84.2113739
2029,South Saginaw Road,48640,43.6129090,-84.2109380
2910,South Jefferson Avenue,48640,43.6250141,-84.2266211
2003,South Saginaw Road,48640-6807,43.6136761,-84.2121190
1815,South Saginaw Road,48640,43.6141975,-84.2128559
1616,North Saginaw Road,48640,43.6418936,-84.2465046
2808,Ashman Street,48640,43.6246701,-84.2281854
5103,Eastman Avenue,48640,43.6442203,-84.2479969
6820,Eastman Avenue,48642,43.6588044,-84.2411978
1900,South Saginaw Road,48640,43.6132921,-84.2147566
301,South Saginaw Road,48640,43.6251073,-84.2249515
7142,Eastman Avenue,48640,43.6629045,-84.2462999
6080,Eastman Avenue,48642,43.6600666,-84.2421297
8040,Eastman Avenue,48642,43.6599264,-84.2447356
2026,North Saginaw Road,48640,43.6425702,-84.2507104
2022,North Saginaw Road,48640,43.6425414,-84.2501161
2018,North Saginaw Road,48640,43.6425430,-84.2499350
2014,North Saginaw Road,48640,43.6425430,-84.2497406
2008,North Saginaw Road,48640,43.6425462,-84.2495793
2006,North Saginaw Road,48640,43.6425830,-84.2494225
2030,North Saginaw Road,48640,43.6425382,-84.2512361
2032,North Saginaw Road,48640,43.6425382,-84.2514261
4951,Eastman Avenue,48640,43.6431724,-84.2473182
4955,Eastman Avenue,48640,43.6431821,-84.2476173
4959,Eastman Avenue,48640,43.6431811,-84.2477608
4963,Eastman Avenue,48640,43.6431811,-84.2479203
4983,Eastman Avenue,48640,43.6435800,-84.2483200
4979,Eastman Avenue,48640,43.6434577,-84.2483254
4975,Eastman Avenue,48640,43.6433102,-84.2483267
4973,Eastman Avenue,48640,43.6432685,-84.2483267
4971,Eastman Avenue,48640,43.6432306,-84.2483240
5027,Eastman Avenue,48640,43.6438798,-84.2473706
5023,Eastman Avenue,48640,43.6438051,-84.2471935
5019,Eastman Avenue,48640,43.6437245,-84.2471962
825,South Saginaw Road,48640,43.6208613,-84.2197485
913,South Saginaw Road,48640,43.6204362,-84.2192878
963,South Saginaw Road,48640,43.6201084,-84.2181905
967,South Saginaw Road,48640,43.6199867,-84.2180600
973,South Saginaw Road,48640,43.6199581,-84.2178939
979,South Saginaw Road,48640,43.6199238,-84.2176507
983,South Saginaw Road,48640,43.6196976,-84.2176072
921,South Saginaw Road,48640,43.6202754,-84.2192696
2525,Washington Street,48642,43.6209651,-84.2183797
2527,Washington Street,48642,43.6209737,-84.2180258
3126,Jefferson Avenue,48640,43.6277775,-84.2264065
3124,Jefferson Avenue,48640,43.6277775,-84.2265026
3114,Jefferson Avenue,48640,43.6274620,-84.2266453
3110,Jefferson Avenue,48640,43.6273225,-84.2266536
3102,Jefferson Avenue,48640,43.6272015,-84.2265981
86,Ashman Circle,48640,43.6269482,-84.2263041
94,Ashman Circle,48640,43.6270514,-84.2264110
111,East Ashman Street,48640,43.6268630,-84.2259342
113,East Ashman Street,48640,43.6268644,-84.2257796
109,East Ashman Street,48640,43.6268619,-84.2260584
84,Ashman Circle,48640,43.6268606,-84.2262134
3114B,Jefferson Avenue,48640,43.6274115,-84.2263985
3128,Jefferson Avenue,48640,43.6277811,-84.2262931
3128,Jefferson Avenue,48640,43.6278448,-84.2260994
7201,Eastman Avenue,48642,43.6626819,-84.2480240
7215,Eastman Avenue,48642,43.6628320,-84.2480268
1018,West Main Street,48640,43.6205408,-84.2532516
5910,Eastman Avenue,48640,43.6513352,-84.2460182
5816,Eastman Avenue,48640,43.6509532,-84.2460283
5912,Eastman Avenue,48640,43.6515846,-84.2460164
6018,Eastman Avenue,48640,43.6524593,-84.2467406
5021,Bay City Road,48642,43.6057397,-84.1657251
5121,Bay City Road,48642,43.6060992,-84.1656296
5115,Bay City Road,48642,43.6056762,-84.1663171
1300,Springfield Drive,48642,43.6124361,-84.1814375
1301,Illinois Drive,48642,43.6124432,-84.1785539
1302,Springfield Drive,48642,43.6124792,-84.1814379
1303,Illinois Drive,48642,43.6124860,-84.1785535
1304,Springfield Drive,48642,43.6125224,-84.1814383
1305,Illinois Drive,48642,43.6125289,-84.1785530
1306,Springfield Drive,48642,43.6125655,-84.1814387
1307,Illinois Drive,48642,43.6125717,-84.1785526
1308,Springfield Drive,48642,43.6126087,-84.1814390
1309,Illinois Drive,48642,43.6126145,-84.1785522
1310,Springfield Drive,48642,43.6126518,-84.1814394
1311,Illinois Drive,48642,43.6126574,-84.1785518
1314,Springfield Drive,48642,43.6127611,-84.1814394
1315,Illinois Drive,48642,43.6127747,-84.1785532
1316,Springfield Drive,48642,43.6128022,-84.1814394
1317,Illinois Drive,48642,43.6128168,-84.1785530
1318,Springfield Drive,48642,43.6128432,-84.1814394
1319,Illinois Drive,48642,43.6128588,-84.1785529
1320,Springfield Drive,48642,43.6128843,-84.1814394
1321,Illinois Drive,48642,43.6129009,-84.1785528
1322,Springfield Drive,48642,43.6129254,-84.1814394
1323,Illinois Drive,48642,43.6129429,-84.1785526
1324,Springfield Drive,48642,43.6129665,-84.1814394
