House number,Street name,Postal code,Latitude,Longitude
39500,"Orchard Hill Place, Suite 100",48375,42.4712289,-83.4414639
25345,Taft Road,48374,42.4761580,-83.4975647
41736,West 10 Mile Road,48375,42.4687028,-83.4568969
41728,West 10 Mile Road,48375,42.4687028,-83.4566737
43324,West 11 Mile Road,48375,42.4812587,-83.4736495
21051,Haggerty Road,48375,42.4412672,-83.4373343
25875,Novi Road,48375,42.4793059,-83.4759686
24210,Novi Road,48375,42.4670265,-83.4742660
24141,Novi Road,48375,42.4662977,-83.4751280
42875,Grand River Avenue,48375,42.4781815,-83.4688788
39555,West 10 Mile Road,48375,42.4674859,-83.4379968
44225,West 12 Mile Road,48337,42.4938607,-83.4853923
43227,Crescent Boulevard,48375,42.4833334,-83.4722784
42705,Grand River Avenue,48375,42.4779076,-83.4673823
39555,West 10 Mile Road,48375,42.4674942,-83.4378218
43205,Crescent Boulevard,48375,42.4828066,-83.4711492
26200,Town Center Drive,48375,42.4834693,-83.4671098
31204,Beck Road,48377,42.5238640,-83.5145452
43155,Main Street,48185,42.4782742,-83.4700281
43155,Main Street,48375,42.4781822,-83.4701984
42875,Grand River Avenue,48375,42.4780640,-83.4683812
43304,West 11 Mile Road,48375,42.4812526,-83.4731356
43300,West 11 Mile Road,48375,42.4812575,-83.4729800
42000,Grand River Avenue,42130,42.4783271,-83.4609783
43168,Grand River Avenue,48375,42.4805783,-83.4725654
27475,Huron Circle,48377,42.4929247,-83.4636277
27475,Huron Circle,48377,42.4932095,-83.4644233
26110,Ingersol Drive,48375,42.4830507,-83.4720442
43345,Crescent Boulevard,48375,42.4836425,-83.4741395
26401,Novi Road,48375,42.4839007,-83.4761791
28175,Haggerty Road,48377,42.5002433,-83.4374451
44225,West 12 Mile Road,48337,42.4937972,-83.4839095
39830,Grand River Avenue,48375,42.4737371,-83.4396013
39777,Grand River Avenue,48375,42.4713193,-83.4375199
31194,Novi Road,48377,42.5253879,-83.4661666
42270,Grand River Avenue,42130,42.4790631,-83.4632287
21526,Chase Drive,48375,42.4462762,-83.4641677
42400,Grand River Avenue,48375,42.4791854,-83.4655957
37682,W 12 Mile Road,48331,42.4992223,-83.4502657
27795,Novi Road,48377,42.4938803,-83.4767611
