House number,Street name,Postal code,Latitude,Longitude
2250,Crooks Road,48309,42.6488000,-83.1726000
1490,North Rochester Road,48307,42.6950910,-83.1333539
6980,North Rochester Road,48306,42.6960660,-83.1348628
1497,North Rochester Road,48307,42.6953216,-83.1347164
2831,Research Drive,48309,42.6406070,-83.1906506
3980,Crooks Road,48309,42.6223687,-83.1703016
1020,West Auburn Road,48309,42.6359335,-83.1525738
1495,North Rochester Road,48307,42.6949872,-83.1359902
201,East Auburn Road,48307,42.6368937,-83.1258952
2137,Auburn Rd,48309,42.6345429,-83.1732141
2021,West Auburn Road,48309,42.6347606,-83.1710681
2985,Crooks Road,48309,42.6357100,-83.1693153
1927,West Auburn Road,48309,42.6348132,-83.1692926
3045,Crooks Road,48309,42.6345330,-83.1699698
1959,West Auburn Road,48309,42.6347968,-83.1696983
2949,Crooks Road,48309,42.6363072,-83.1696326
2544,South Adams Road,48309,42.6415893,-83.2006276
3985,West Auburn Road,48309,42.6338174,-83.2095214
2010,West Auburn Road,48309,42.6354459,-83.1710913
2028,West Auburn Road,48309,42.6354392,-83.1714789
2590,Crooks Road,48309-3603,42.6418391,-83.1713962
2593,Crooks Road,48309-3627,42.6418568,-83.1700088
2500,South Adams Road,48309,42.6432547,-83.1987318
2508,South Adams Road,48309,42.6418195,-83.2000698
2528,South Adams Road,48309,42.6416968,-83.2003445
2552,South Adams Road,48309,42.6414881,-83.2009339
2929,Rochester Road South,48307,42.6366409,-83.1298133
2921,South Rochester Road,48307,42.6369344,-83.1303095
1830,Star-Batt Drive,48309,42.6480159,-83.1656438
6950,Rochester Road,48306,42.6972270,-83.1353624
1950,South Rochester Road,48307,42.6534289,-83.1340898
2011,South Rochester Road,48307,42.6518509,-83.1306554
2025,South Rochester Road,48307,42.6510485,-83.1305789
1549,W Hamlin Rd,48309,42.6513945,-83.1625898
1460,Walton Boulevard,48309,42.6820089,-83.1599290
3044,Walton Boulevard,48309,42.6828730,-83.1950866
1316,South Rochester Road,48307,42.6619619,-83.1347687
2995,Walton Boulevard,48309,42.6800918,-83.1935174
1310,Walton Boulevard,48309,42.6818840,-83.1539315
1295,Walton Boulevard,48307,42.6812640,-83.1529918
532,South Rochester Road,48307,42.6735992,-83.1336848
1010,South Rochester Road,48307,42.6659008,-83.1335441
2020,South Rochester Road,48307,42.6520443,-83.1329015
1015,East Auburn Road,48307,42.6369956,-83.1112516
981,East Auburn Road,48307,42.6371394,-83.1129487
823,East Auburn Road,48307,42.6373283,-83.1143970
934,East Auburn Road,48307,42.6362094,-83.1127416
2955,John R Road,48307,42.6374861,-83.1112347
2675,John R Road,48307,42.6424809,-83.1104831
2633,John R Road,48307,42.6427615,-83.1083540
1982,Star-Batt Drive,48309,42.6491420,-83.1703730
1194,Walton Boulevard,48307,42.6825220,-83.1506957
