House number,Street name,Postal code,Latitude,Longitude
637,North Main Street,48307,42.6845141,-83.1349488
345,Diversion Street,48307,42.6767034,-83.1341398
117,South Main Street,48307,42.6774227,-83.1339579
1005,Van Hoosen Road,48307,42.6955176,-83.1149054
607,woodward Avenue,48307,42.6884773,-83.1414531
333,North Hill Circle,48307,42.6913471,-83.1419616
1315,Oak Street,48307,42.6919750,-83.1378279
709,North Main Street,48307,42.6850993,-83.1344365
743,North Main Street,48307,42.6857460,-83.1342112
339,Walnut Boulevard,48307,42.6803121,-83.1355830
124,West 4th Street,48307,42.6808733,-83.1350375
146,South Main Street,48307,42.6779194,-83.1330655
133,South Main Street,48307,42.6779194,-83.1339694
139,South Main Street,48307,42.6781067,-83.1339895
103,South Street,48307,42.6753007,-83.1325612
100,West University Drive,48307,42.6822782,-83.1342845
138,South Main Street,48307,42.6781267,-83.1330681
500,North Main Street,48307,42.6822145,-83.1335856
400,South Main Street,48307,42.6808262,-83.1335355
439,South Main Street,48307,42.6819069,-83.1335537
434,South Main Street,48307,42.6817387,-83.1335509
426,South Main Street,48307,42.6815147,-83.1335471
100,West University Drive,48307,42.6824053,-83.1343670
1031,North Main Street,48307,42.6887122,-83.1343945
1031,North Main Street,48307,42.6886387,-83.1345682
418,South Main Street,48307,42.6813240,-83.1335439
415,South Main Street,48307,42.6811827,-83.1340572
419,South Main Street,48307,42.6812522,-83.1340588
335,South Main Street,48307,42.6804382,-83.1340428
430,South Main Street,48307,42.6816771,-83.1335499
439,South Main Street,48307,42.6818834,-83.1340686
950,West University Drive,48307,42.6823765,-83.1450366
205,South Main Street,48307,42.6784342,-83.1340050
601,Quarter Street,48307,42.6745411,-83.1399819
522,Renshaw Street,48307,42.6757198,-83.1401588
625,Renshaw Street,48307,42.6751984,-83.1411494
215,Hacker Street,48307,42.6751492,-83.1389161
211,Hacker Street,48307,42.6752132,-83.1389269
205,Hacker Street,48307,42.6753689,-83.1389483
201,Hacker Street,48307,42.6754695,-83.1389724
