House number,Street name,Postal code,Latitude,Longitude
7550,Auburn Road,48317,42.6257723,-83.0363629
11229,Hall Road,48317,42.6263718,-83.0191800
11335,Hall Road,48317,42.6264986,-83.0172718
13449,Hall Road,48315,42.6309209,-82.9951515
45100,Sterritt Street,48317,42.6270627,-83.0172820
11229,Hall Road,48317,42.6265086,-83.0192318
11335,Hall Road,48317,42.6266683,-83.0171476
45310,Van Dyke Avenue,48317,42.6288112,-83.0322070
45310,Van Dyke Avenue,48317,42.6288161,-83.0318677
45525,Van Dyke Avenue,48317,42.6304254,-83.0328132
45331,Utica Park Boulevard,48315,42.6286464,-83.0096966
45160,Utica Park Boulevard,48315,42.6281471,-83.0052575
45150,Utica Park Boulevard,48315,42.6275985,-83.0052361
45050,Northpointe Boulevard,48315,42.6279675,-82.9987586
45230,Northpointe Boulevard,48315,42.6294299,-82.9986888
13361,Hall Road,48315,42.6304225,-82.9956418
13477,Hall Road,48315,42.6315024,-82.9951132
44895,Utica Road,48317,42.6243412,-83.0417315
8100,Hall Road,48317,42.6253082,-83.0317269
45015,Van Dyke Avenue,48317,42.6260147,-83.0327851
45015,Van Dyke Avenue,48317,42.6259654,-83.0330747
7171,Auburn Road,48317,42.6259904,-83.0402073
7550,Auburn Road,48317,42.6257439,-83.0361365
8791,Hall Road,48317,42.6266391,-83.0237627
7715,Auburn Road,48317,42.6261659,-83.0344054
7636,Auburn Road,48317,42.6258891,-83.0354016
7616,Auburn Road,48317,42.6258832,-83.0355693
44633,Utica Road,48317,42.6217583,-83.0396720
44053,Van Dyke Avenue,48317,42.6189307,-83.0323815
8255,Hall Road,48317,42.6263336,-83.0298103
45461,Brownell Street,48317,42.6291131,-83.0382683
45400,Vanker Avenue,48317,42.6290646,-83.0232689
45400,Vanker Avenue,48317,42.6295307,-83.0233532
45520,Utica Park Boulevard,48315,42.6310436,-83.0061520
45600,Utica Park Boulevard,48315,42.6291129,-83.0086694
45600,Utica Park Boulevard,48315,42.6310427,-83.0077252
8243,Hahn Street,48317,42.6322863,-83.0298344
45001,Schoenherr Road,48315,42.6277317,-82.9939291
13221,Hall Road,48315,42.6281368,-82.9971793
45201,Schoenherr Road,48315,42.6287752,-82.9938891
44633,Utica Road,48317,42.6214449,-83.0410576
45010,Utica Park Boulevard,48315-5911,42.6276948,-83.0072905
45301,Northpointe Boulevard,48315,42.6320869,-83.0006109
45400,Park Avenue,48315,42.6293126,-83.0105571
45221,Utica Park Boulevard,48315,42.6280222,-83.0091449
45311,Park Avenue,48315,42.6283158,-83.0108675
8100,Hall Road,48317,42.6250531,-83.0318647
44800,Van Dyke Avenue,48317,42.6249629,-83.0312188
7530,Auburn Road,48317,42.6254418,-83.0368094
7505,Hahn Street,48317,42.6308257,-83.0384526
45525,Van Dyke Avenue,48317,42.6305633,-83.0329614
44895,Utica Road,48317,42.6241032,-83.0418072
7609,Auburn Road,48317,42.6262830,-83.0355845
46000,Utica Park Boulevard,48315,42.6321002,-83.0122700
8061,Hahn Street,48317,42.6317064,-83.0314970
44841,Van Dyke Avenue,48317,42.6251464,-83.0329551
44825,Van Dyke Avenue,48317,42.6248360,-83.0328160
6600,Dobry Drive,48314,42.6234575,-83.0433925
8230,Hall Road,48317,42.6252066,-83.0305030
11401,Hall Road,48317-5900,42.6274847,-83.0160523
