House number,Street name,Postal code,Latitude,Longitude
28055,South Wixom Road,48393,42.4962136,-83.5367196
28287,Beck Road,48393,42.4988716,-83.5185868
49070,Pontiac Trail,48393,42.5246284,-83.5333121
49761,Grand River Avenue,48393,42.4940993,-83.5398851
49605,Grand River Avenue,48393,42.4941628,-83.5385660
29830,Beck Road,48393,42.5117800,-83.5156827
28790,South Wixom Road,48393,42.5017799,-83.5354351
28790,South Wixom Road,48393,42.5017325,-83.5357435
31331,Old Wixom Road,48393,42.5237982,-83.5391271
31331,Old Wixom Road,48393,42.5238071,-83.5388736
29330,South Wixom Road,48393,42.5066839,-83.5358790
29330,South Wixom Road,48393,42.5066236,-83.5362156
2125,North Wixom Road,48393,42.5526260,-83.5398687
49880,Grand River Avenue,48393,42.4955862,-83.5398017
49435,Grand River Avenue,48393,42.4940920,-83.5367332
49435,Grand River Avenue,48393,42.4938774,-83.5367185
49200,Grand River Avenue,48393,42.4946448,-83.5349925
49200,Grand River Avenue,48393,42.4945518,-83.5349844
49130,Pontiac Trail,48393,42.5247543,-83.5344573
49126,Pontiac Trail,48393,42.5247580,-83.5343220
49122,Pontiac Trail,48393,42.5247635,-83.5342104
49348,Pontiac Trail,48393,42.5244839,-83.5369679
49438,Pontiac Trail,48393,42.5244720,-83.5378864
49342,Pontiac Trail,48393,42.5244906,-83.5371633
49175,West Road,48393,42.5075757,-83.5324373
28049,Wixom Road,48393,42.4964569,-83.5384997
28037,Wixom Road,48393,42.4953244,-83.5366982
49450,Grand River Avenue,48393,42.4948166,-83.5367537
49900,Grand River Avenue,48393,42.4977944,-83.5412925
28055,South Wixom Road,48393,42.4964259,-83.5367859
52221,Pontiac Trail,48393,42.5128912,-83.5600276
645,Mettala Lane,48393,42.5318499,-83.5216913
2400,Trombley Lane,48393,42.5557351,-83.5257187
2307,Orland,48393,42.5538559,-83.5209112
49015,Pontiac Trail,48393,42.5235744,-83.5312993
49045,Pontiac Trail,48393,42.5237931,-83.5327822
49015,Pontiac Trail,48393,42.5249739,-83.5321202
48660,Pontiac Trail,48393,42.5252940,-83.5298226
1135,North Wixom Road,48393,42.5391754,-83.5476138
3320,West Maple Road,48393,42.5328757,-83.5373617
49800,Grand River Avenue,48393,42.4954810,-83.5388292
48953,Alpha Drive,48393,42.5000583,-83.5333485
49880,Grand River Avenue,48393,42.4957249,-83.5396880
28020,Wixom Road,48393,42.4951881,-83.5350846
29480,Wixom Road,48393,42.5077069,-83.5361173
28040,South Wixom Road,48393,42.4958221,-83.5351498
49714,Grand River Avenue,48393,42.4953041,-83.5383551
49169,Alpha Drive,48393,42.5012083,-83.5355129
28990,South Wixom Road,48393,42.5038816,-83.5352830
2652,Loon Lake Road,48393,42.5531023,-83.5249763
2355,Glengary Road,48382,42.5575987,-83.5134258
1000,Beck Road,48393,42.5380602,-83.5145768
1345,North Wixom Road,48393,42.5407427,-83.5377122
27047,Wixom Road,48374,42.4903127,-83.5408683
1760,Charms Road,48393,42.5481334,-83.5419730
2167,North Wixom Road,48393,42.5528827,-83.5386553
2167,North Wixom Road,48393,42.5528820,-83.5384421
301,North Wixom Road,48393,42.5270089,-83.5381949
486,North Wixom Road,48393,42.5301211,-83.5348744
49805,Pontiac Trail,48393,42.5230967,-83.5417016
10400,Assembly Park Drive,48393,42.5022084,-83.5394551
48380,Pontiac Trail,48393,42.5252256,-83.5267074
28971,South Wixom Road,48393,42.5031380,-83.5370515
1,Clover Court,48393,42.5005855,-83.5532536
2524,Loon Lake Road,48393,42.5488548,-83.5180034
30900,Tamarack Street,48393,42.5215338,-83.5209472
2151,Loon Lake Road,48393,42.5423781,-83.5139050
28200,Napier Road,48393,42.4949454,-83.5529798
49097,Alpha Drive,48393,42.5006387,-83.5350533
48881,Alpha Drive,48393,42.4997430,-83.5326880
49025,Alpha Drive,48393,42.5002604,-83.5341535
28639,South Wixom Road,48393,42.5011213,-83.5369701
28703,South Wixom Road,48393,42.5017843,-83.5370724
