House number,Street name,Postal code,Latitude,Longitude
810,East Ohio Street,64735,38.3661611,-93.7613705
704,East Ohio Street,64735,38.3658910,-93.7653003
1701,East Ohio Street,64735,38.3665599,-93.7492517
201,West Franklin Street,64735,38.3709997,-93.7780219
137,West Franklin Street,64735,38.3710093,-93.7776590
135,West Franklin Street,64735,38.3709958,-93.7775726
133,West Franklin Street,64735,38.3709938,-93.7774859
131,West Franklin Street,64735,38.3709997,-93.7774113
129,West Franklin Street,64735,38.3710076,-93.7773345
123,West Franklin Street,64735,38.3709462,-93.7770975
117,West Franklin Street,64735,38.3709932,-93.7768680
113½,West Franklin Street,64735,38.3709839,-93.7766277
101,West Franklin Street,64735,38.3709739,-93.7763020
108,North Washington Street,64735,38.3712420,-93.7774409
112,North Washington Street,64735,38.3713736,-93.7774361
121,North Main Street,64735,38.3714863,-93.7767223
110,West Green Street,64735,38.3718071,-93.7768464
127,North Main Street,64735,38.3716210,-93.7764351
129,North Main Street,64735,38.3718321,-93.7764295
126,North Washington Street,64735,38.3719276,-93.7774129
113,North Washington Street,64735,38.3714073,-93.7780725
217,West Franklin Street,64735,38.3710023,-93.7786723
227,West Franklin Street,64735,38.3710364,-93.7789400
100,North Main Street,64735,38.3708419,-93.7758859
102,North Main Street,64735,38.3709229,-93.7758798
108,North Main Street,64735,38.3710049,-93.7758851
110,North Main Street,64735,38.3710832,-93.7759028
112,North Main Street,64735,38.3711381,-93.7759015
114,North Main Street,64735,38.3711937,-93.7758669
116,North Main Street,64735,38.3712582,-93.7759214
138,North Main Street,64735,38.3719018,-93.7758371
108,East Green Street,64735,38.3718001,-93.7755337
110,East Green Street,64735,38.3717975,-93.7753799
112,East Green Street,64735,38.3718540,-93.7752484
115,East Franklin Street,64735,38.3709760,-93.7753754
112,East Franklin Street,64735,38.3705424,-93.7753403
100,South Main Street,64735,38.3706248,-93.7758719
102,South Main Street,64735,38.3705512,-93.7758872
104,South Main Street,64735,38.3704873,-93.7759006
106,South Main Street,64735,38.3704135,-93.7759030
108,South Main Street,64735,38.3703417,-93.7759061
112,South Main Street,64735,38.3702844,-93.7758639
118,South Main Street,64735,38.3701014,-93.7757945
120,South Main Street,64735,38.3699949,-93.7757973
128,South Main Street,64735,38.3698807,-93.7759115
130,South Main Street,64735,38.3697796,-93.7758028
134,South Main Street,64735,38.3696992,-93.7758647
136,South Main Street,64735,38.3696482,-93.7759386
138-140,South Main Street,64735,38.3695633,-93.7759420
103,East Jefferson Street,64735,38.3695619,-93.7756696
200,South Main Street,64735,38.3691886,-93.7759341
212,South Main Street,64735,38.3688074,-93.7760583
215,South Main Street,64735,38.3687253,-93.7764618
213,South Main Street,64735,38.3687963,-93.7764590
211,South Main Street,64735,38.3688484,-93.7764573
207,South Main Street,64735,38.3689071,-93.7764813
205,South Main Street,64735,38.3689733,-93.7764792
203,South Main Street,64735,38.3690424,-93.7764773
116,West Jefferson Street,64735,38.3692109,-93.7768963
114,West Jefferson Street,64735,38.3692656,-93.7768310
110,West Jefferson Street,64735,38.3691308,-93.7767231
106,West Jefferson Street,64735,38.3692334,-93.7765999
104,West Jefferson Street,64735,38.3692314,-93.7765323
102,West Jefferson Street,64735,38.3692299,-93.7764607
100,West Jefferson Street,64735,38.3692283,-93.7763797
122,West Jefferson Street,64735,38.3691528,-93.7772983
200,West Franklin Street,64735,38.3706529,-93.7780940
105,South Washington Street,64735,38.3705685,-93.7780972
107,South Washington Street,64735,38.3705023,-93.7781014
109,South Washington Street,64735,38.3704123,-93.7781747
113,South Washington Street,64735,38.3703265,-93.7780963
115,South Washington Street,64735,38.3702659,-93.7781317
117,South Washington Street,64735,38.3702021,-93.7781347
119,South Washington Street,64735,38.3701418,-93.7782447
121,South Washington Street,64735,38.3700795,-93.7781187
123,South Washington Street,64735,38.3700247,-93.7781414
125,South Washington Street,64735,38.3699527,-93.7781431
127,South Washington Street,64735,38.3698830,-93.7780761
129,South Washington Street,64735,38.3698290,-93.7781504
131,South Washington Street,64735,38.3697662,-93.7781146
133,South Washington Street,64735,38.3697121,-93.7781171
135,South Washington Street,64735,38.3696557,-93.7781539
137,South Washington Street,64735,38.3695898,-93.7781152
207,West Jefferson Street,64735,38.3696528,-93.7784551
209,West Jefferson Street,64735,38.3696822,-93.7786000
214,West Jefferson Street,64735,38.3692685,-93.7784556
217,South Washington Street,64735,38.3688572,-93.7781648
221,South Washington Street,64735,38.3686081,-93.7780782
225,South Washington Street,64735,38.3684729,-93.7782761
227,South Washington Street,64735,38.3683056,-93.7782707
216,South Washington Street,64735,38.3689064,-93.7776535
212,South Washington Street,64735,38.3690120,-93.7776157
210,South Washington Street,64735,38.3691055,-93.7776133
140,West Jefferson Street,64735,38.3692628,-93.7777335
136,West Jefferson Street,64735,38.3692911,-93.7776554
134,West Jefferson Street,64735,38.3692901,-93.7775951
132,West Jefferson Street,64735,38.3692887,-93.7775320
130,West Jefferson Street,64735,38.3692636,-93.7774551
207,South Washington Street,64735,38.3691566,-93.7781297
205,South Washington Street,64735,38.3692209,-93.7781274
203,South Washington Street,64735,38.3692898,-93.7781533
201,South Washington Street,64735,38.3693581,-93.7781149
600,East Clinton Street,64735,38.3645856,-93.7673305
602,South 5th Street,64735,38.3636814,-93.7684738
809,South 8th Street,64735,38.3610093,-93.7646018
709,South 8th Street,64735,38.3624629,-93.7643379
1106,South 2nd Street,64735,38.3577213,-93.7714318
1712,East Ohio Street,64735,38.3627465,-93.7505601
313,East Jefferson Street,64735,38.3696015,-93.7709788
313,East Jefferson Street,64735,38.3696058,-93.7712336
127,West Franklin Street,64735,38.3709455,-93.7772618
125,West Franklin Street,64735,38.3709659,-93.7771827
105,West Franklin Street,64735,38.3709627,-93.7764638
103,West Franklin Street,64735,38.3709607,-93.7763838
114,South Main Street,64735,38.3702243,-93.7758666
116,South Main Street,64735,38.3701680,-93.7758690
611,Pawnee Street,64735,38.3637069,-93.7563324
431,Missouri Avenue,64735,38.3641147,-93.7567531
1600,North 2nd Street,64735,38.3895779,-93.7685037
106,S Baird St,64735,38.3690007,-93.7511891
506,Kansas Avenue,64735,38.3641371,-93.7529134
900,Kansas Avenue,64735,38.3605790,-93.7534016
