House number,Street name,Postal code,Latitude,Longitude
2144,West Terra Lane,63366,38.8051800,-90.7697582
950,Bent Oak Court,63367,38.8031258,-90.7568664
9915,Highway N,63367,38.7608179,-90.8181456
9925,Highway N,63367,38.7609477,-90.8185823
8566,Highway N,63367,38.7596360,-90.7951337
8999,Highway N,63367,38.7607530,-90.8175739
8749,Highway N,63367,38.7614273,-90.8044442
8653,Highway N,63367,38.7616293,-90.8019495
8656,Highway N,63367,38.7616148,-90.8020180
8637,Highway N,63367,38.7616845,-90.8013424
8641,Highway N,63367,38.7616771,-90.8014383
8631,Highway N,63367,38.7617029,-90.8011598
8635,Highway N,63367,38.7616954,-90.8012648
8429,Highway N,63367,38.7624444,-90.7912631
8649,Highway N,63367,38.7616441,-90.8017761
8647,Highway N,63367,38.7616587,-90.8016620
8625,Highway N,63367,38.7619910,-90.7991626
9933,Highway N,63367,38.7608963,-90.8191327
8621,Highway N,63367,38.7625105,-90.7980866
8645,Highway N,63367,38.7616552,-90.8016072
8651,Highway N,63367,38.7616438,-90.8018674
8643,Highway N,63367,38.7616626,-90.8015341
8757,Highway N,63367,38.7622072,-90.8034210
8980,Orf Road,63367,38.7662515,-90.8217621
8654,Orf Road,63367,38.7660548,-90.8032332
8850,Orf Road,63367,38.7662032,-90.8141761
8897,Orf Road,63367,38.7666643,-90.8166556
8670,Orf Road,63367,38.7660788,-90.8048657
8392,Orf Road,63367,38.7655000,-90.7894832
8701,Orf Road,63367,38.7670179,-90.8045441
8662,Orf Road,63367,38.7660267,-90.8040480
8701,Orf Road,63367,38.7730249,-90.8084768
8867,Orf Road,63367,38.7683770,-90.8141302
8706,Orf Road,63367,38.7661377,-90.8060503
8595,Orf Road,63367,38.7665977,-90.8001871
2998,Technology Drive,63367,38.7749846,-90.7810700
2891,Technology Drive,63367,38.7741338,-90.7762172
2893,Technology Drive,63367,38.7742012,-90.7757799
2887,Technology Drive,63367,38.7738164,-90.7761702
2889,Technology Drive,63367,38.7738514,-90.7765553
2883,Technology Drive,63367,38.7740354,-90.7753553
2881,Technology Drive,63367,38.7742977,-90.7751593
3401,Technology Drive,63367,38.7804202,-90.7919499
2885,Technology Drive,63367,38.7737573,-90.7756886
2901,Technology Drive,63367,38.7742215,-90.7776244
2081,Technology Drive,63367,38.7682613,-90.7704976
2811,Technology Drive,63367,38.7731355,-90.7706850
11000,Veterans Memorial Parkway,63367,38.8036712,-90.7875703
11210,Veterans Memorial Parkway,63367,38.8044530,-90.7979386
11120,Veterans Memorial Parkway,63367,38.8043421,-90.7954045
11410,Veterans Memorial Parkway,63367,38.8035538,-90.8070946
10600,Veterans Memorial Parkway,63367,38.8027886,-90.7659958
10712,Veterans Memorial Parkway,63367,38.8028209,-90.7720799
11400,Veterans Memorial Parkway,63367,38.8035807,-90.8068930
11236,Veterans Memorial Parkway,63367,38.8045186,-90.7986993
10340,Veterans Memorial Parkway,63367,38.8030287,-90.7560701
11110,Veterans Memorial Parkway,63367,38.8042475,-90.7942495
10880,Veterans Memorial Parkway,63367,38.8028712,-90.7736316
10604,Veterans Memorial Parkway,63367,38.8028093,-90.7660568
10890,Veterans Memorial Parkway,63367,38.8035559,-90.7764845
10390,Veterans Memorial Parkway,63367,38.8030853,-90.7583048
723,Robert Raymond Drive,63367,38.7736098,-90.7838734
885,Robert Raymond Drive,63367,38.7687265,-90.7825438
861,Robert Raymond Drive,63367,38.7704905,-90.7817910
901,Robert Raymond Drive,63367,38.7681271,-90.7831966
909,Robert Raymond Drive,63367,38.7669746,-90.7838826
906,Robert Raymond Drive,63367,38.7675675,-90.7845358
905,Robert Raymond Drive,63367,38.7674797,-90.7836959
719,Robert Raymond Drive,63367,38.7738925,-90.7842856
859,Robert Raymond Drive,63367,38.7709448,-90.7821112
913,Robert Raymond Drive,63367,38.7668375,-90.7844581
873,Robert Raymond Drive,63367,38.7696419,-90.7818892
6315,Ronald Reagan Drive,63367,38.7680717,-90.7843155
6313,Ronald Reagan Drive,63367,38.7681690,-90.7843183
6311,Ronald Reagan Drive,63367,38.7682453,-90.7843089
6309,Ronald Reagan Drive,63367,38.7683159,-90.7843043
6303,Ronald Reagan Drive,63367,38.7683764,-90.7842990
6285,Ronald Reagan Drive,63367,38.7694572,-90.7842794
6283,Ronald Reagan Drive,63367,38.7694801,-90.7842795
6325,Ronald Reagan Drive,63367,38.7676548,-90.7845291
6301,Ronald Reagan Drive,63367,38.7685163,-90.7847916
6281,Ronald Reagan Drive,63367,38.7695163,-90.7842820
6293,Ronald Reagan Drive,63367,38.7692970,-90.7842836
6299,Ronald Reagan Drive,63367,38.7691731,-90.7842807
6297,Ronald Reagan Drive,63367,38.7692169,-90.7842809
6295,Ronald Reagan Drive,63367,38.7692646,-90.7842835
6291,Ronald Reagan Drive,63367,38.7693275,-90.7842813
6401,Ronald Reagan Drive,63367,38.7658119,-90.7844528
6289,Ronald Reagan Drive,63367,38.7693981,-90.7842840
6287,Ronald Reagan Drive,63367,38.7694305,-90.7842841
6237,Ronald Reagan Drive,63367,38.7698407,-90.7833350
6247,Ronald Reagan Drive,63367,38.7695071,-90.7832728
6207,Ronald Reagan Drive,63367,38.7707951,-90.7840383
6245,Ronald Reagan Drive,63367,38.7695787,-90.7832670
6243,Ronald Reagan Drive,63367,38.7696358,-90.7832794
6249,Ronald Reagan Drive,63367,38.7694357,-90.7832664
6219,Ronald Reagan Drive,63367,38.7705176,-90.7833255
6217,Ronald Reagan Drive,63367,38.7705795,-90.7833744
6241,Ronald Reagan Drive,63367,38.7697073,-90.7832797
6239,Ronald Reagan Drive,63367,38.7697693,-90.7832921
6227,Ronald Reagan Drive,63367,38.7701984,-90.7832694
6261,Ronald Reagan Drive,63367,38.7690490,-90.7834902
6259,Ronald Reagan Drive,63367,38.7690968,-90.7834477
6257,Ronald Reagan Drive,63367,38.7691636,-90.7834054
6235,Ronald Reagan Drive,63367,38.7698979,-90.7833352
6233,Ronald Reagan Drive,63367,38.7699742,-90.7833294
6231,Ronald Reagan Drive,63367,38.7700459,-90.7832627
6229,Ronald Reagan Drive,63367,38.7701221,-90.7832691
6449,Ronald Reagan Drive,63367,38.7648464,-90.7850974
6215,Ronald Reagan Drive,63367,38.7706414,-90.7834173
6255,Ronald Reagan Drive,63367,38.7692257,-90.7833569
6253,Ronald Reagan Drive,63367,38.7692973,-90.7833146
6251,Ronald Reagan Drive,63367,38.7693832,-90.7832784
1000,Ronald Reagan Drive,63367,38.7803965,-90.7804885
6225,Ronald Reagan Drive,63367,38.7702747,-90.7832636
6290,Ronald Reagan Drive,63368,38.7697940,-90.7862203
6223,Ronald Reagan Drive,63367,38.7703747,-90.7832823
6221,Ronald Reagan Drive,63367,38.7704557,-90.7832948
6282,Ronald Reagan Drive,63368,38.7700634,-90.7861879
6298,Ronald Reagan Drive,63368,38.7693553,-90.7862673
6125,Ronald Reagan Drive,63367,38.7716455,-90.7833173
6288,Ronald Reagan Drive,63368,38.7699132,-90.7862056
6123,Ronald Reagan Drive,63367,38.7716990,-90.7833586
6292,Ronald Reagan Drive,63368,38.7696485,-90.7862685
6121,Ronald Reagan Drive,63367,38.7717490,-90.7833908
6278,Ronald Reagan Drive,63368,38.7703587,-90.7861473
6127,Ronald Reagan Drive,63367,38.7715990,-90.7833080
6280,Ronald Reagan Drive,63368,38.7701633,-90.7860938
6475,Ronald Reagan Drive,63367,38.7643679,-90.7856088
6103,Ronald Reagan Drive,63367,38.7723630,-90.7837723
6131,Ronald Reagan Drive,63367,38.7714702,-90.7833394
6302,Ronald Reagan Drive,63367,38.7672200,-90.7865998
6119,Ronald Reagan Drive,63367,38.7718025,-90.7834275
6425,Ronald Reagan Drive,63367,38.7652451,-90.7847175
6117,Ronald Reagan Drive,63367,38.7718632,-90.7834552
6115,Ronald Reagan Drive,63367,38.7719346,-90.7834920
6113,Ronald Reagan Drive,63367,38.7720095,-90.7835608
6111,Ronald Reagan Drive,63367,38.7720774,-90.7835885
6109,Ronald Reagan Drive,63367,38.7721702,-90.7836573
6137,Ronald Reagan Drive,63367,38.7712770,-90.7833980
6135,Ronald Reagan Drive,63367,38.7713450,-90.7833755
6133,Ronald Reagan Drive,63367,38.7714094,-90.7833529
6129,Ronald Reagan Drive,63367,38.7715275,-90.7833214
6107,Ronald Reagan Drive,63367,38.7722416,-90.7836850
6105,Ronald Reagan Drive,63367,38.7723023,-90.7837264
6319,Ronald Reagan Drive,63367,38.7679592,-90.7843248
6317,Ronald Reagan Drive,63367,38.7680336,-90.7843178
157,Pond Fort Trail,63367,38.7633856,-90.7874046
109,Pond Fort Trail,63367,38.7630029,-90.7883304
159,Pond Fort Trail,63367,38.7635498,-90.7867406
151,Pond Fort Trail,63367,38.7633457,-90.7875938
105,Pond Fort Trail,63367,38.7629346,-90.7885005
105,Pond Fort Trail,63367,38.7628681,-90.7887576
155,Pond Fort Trail,63367,38.7633617,-90.7875173
97,Pond Fort Trail,63367,38.7626634,-90.7894474
111,Pond Fort Trail,63367,38.7631032,-90.7880828
1324,Silver Fern Drive,63367,38.7869253,-90.8157146
1316,Silver Fern Drive,63367,38.7865106,-90.8161970
1321,Silver Fern Drive,63367,38.7869326,-90.8162236
1320,Silver Fern Drive,63367,38.7867224,-90.8159200
1312,Silver Fern Drive,63367,38.7862904,-90.8163996
1313,Silver Fern Drive,63367,38.7865181,-90.8166234
1309,Silver Fern Drive,63367,38.7862871,-90.8168232
1317,Silver Fern Drive,63367,38.7866973,-90.8164344
1301,Silver Fern Drive,63367,38.7858575,-90.8172340
1308,Silver Fern Drive,63367,38.7860961,-90.8165996
1304,Silver Fern Drive,63367,38.7858457,-90.8168130
1305,Silver Fern Drive,63367,38.7860476,-90.8170065
1328,Silver Fern Drive,63367,38.7871180,-90.8154576
1333,Silver Fern Drive,63367,38.7874708,-90.8154317
1340,Silver Fern Drive,63367,38.7874714,-90.8147739
1329,Silver Fern Drive,63367,38.7873301,-90.8156748
1337,Silver Fern Drive,63367,38.7876650,-90.8152156
1336,Silver Fern Drive,63367,38.7872889,-90.8150586
1344,Silver Fern Drive,63367,38.7876239,-90.8145576
1325,Silver Fern Drive,63367,38.7871388,-90.8159168
1341,Silver Fern Drive,63367,38.7877332,-90.8149007
460,Hawk Ridge Trail,63367,38.7670009,-90.7814251
