House number,Street name,Postal code,Latitude,Longitude
1624,Northwest Chipman Road,64081,38.9295508,-94.4069643
1860,Northwest Chipman Road,64081,38.9311783,-94.4083269
1608,Northwest Chipman Road,64081,38.9303119,-94.4074059
1616,Northwest Chipman Road,64081-3934,38.9299364,-94.4071698
900,Northeast Langsford Road,64086,38.9179815,-94.3608676
1305,Northeast Douglas Street,64086,38.9354512,-94.3776958
900,Northeast Columbus Street,64086,38.9212875,-94.3597143
300,Rice Road,64086,38.9184218,-94.3609119
125,"Southeast State Route 291, Lee's Summit",64063,38.9155546,-94.3615230
103,South 291 Highway,64063-2938,38.9162139,-94.3606815
301,Northeast Rice Road,64086,38.9191005,-94.3595427
1686,Northwest Chipman Road,64081,38.9266462,-94.4065028
951,Northeast Sam Walton Lane,64086,38.9294005,-94.3608408
1027,Northeast Rice Road,64086,38.9313117,-94.3587809
1808,Northwest Chipman Road,64063,38.9267380,-94.4109660
1716,Northwest Chipman Road,64081,38.9285909,-94.4090240
1850,Northwest Chipman Road,64081-3938,38.9313117,-94.4093352
1850,Northwest Chipman Road,64081,38.9314286,-94.4099789
206,Southeast 2nd Street,64063,38.9153565,-94.3748035
970,Northwest Blue Parkway,64086,38.9318064,-94.4029958
901,East Langsford Road,64063,38.9169694,-94.3605582
1211,Northeast Rice Road,64086,38.9338286,-94.3587914
1800,Southwest State Route 150,64082,38.8553101,-94.4137701
180,Southeast Mo-150 Highway,64082,38.8528539,-94.3708226
783,NE Anderson Ln,64064,39.0025684,-94.3592429
3680,Northeast Akin Drive,64064,38.9810443,-94.3620725
310,Southwest Ward Road,64081,38.9097297,-94.3976302
310,Southwest Ward Road,64081,38.9099307,-94.3975417
300,Southwest Blue Parkway,64063,38.9054097,-94.3796300
1553,NE Tawny Drive,64086,38.9411346,-94.3462444
2150,East Langsford Road,64063,38.9172869,-94.3305139
4045,NE Lakewood Way,64064,38.9859641,-94.3552636
900,Northeast Deerbrook,64086,38.9360589,-94.3588268
1014,Southeast Blue Parkway,64063,38.9036127,-94.3558124
880F,Northwest Blue Parkway,64086,38.9306845,-94.4031427
312,SW Greenwich Dr,64082,38.8503947,-94.3819975
3151,Northeast Carnegie Drive,64064,38.9691948,-94.3596659
910,Northwest Blue Parkway,64086,38.9312649,-94.4022631
226,Southeast Douglas Street,64063,38.9127392,-94.3764612
1624,Southeast Blue Parkway,64029,38.9038815,-94.3443956
4045,Northeast Lakewood Way,64064,38.9857702,-94.3552062
314,Southwest Blue Parkway,64086,38.9058127,-94.3809246
211,NW Executive Way,64063,38.9158384,-94.3972072
688,SE Bayberry Lane,64063,38.9073922,-94.3605847
601,NE Woods Chapel Road,64064,38.9824183,-94.3658891
250,NW Commerce Ct,64086,38.9291817,-94.3873661
3365,Southwest Fascination Drive,64081,38.9110606,-94.4504253
2603,Northeast Hagen Road,64064,38.9591420,-94.3610280
1720,Southeast Blue Parkway,64063,38.9038856,-94.3417465
901,Chipman Road,64063-2317,38.9252160,-94.3990980
611,Northeast Ridgeview Drive,64086,38.9240070,-94.3578721
222,Southwest Main Street,64063,38.9121854,-94.3784675
17,Northeast Skyline Drive,64086,38.9349776,-94.3802860
1809,Southeast Blue Parkway,64063,38.9036381,-94.3389072
319,Southeast Douglas Street,64063,38.9120067,-94.3756516
307,Southeast Douglas Street,64063,38.9123823,-94.3759058
309,Southeast Douglas Street,64063,38.9123376,-94.3758752
1255,Northeast Rice Road,64086,38.9351655,-94.3588177
210,Southeast Douglas Street,64063,38.9133941,-94.3770076
410D,Southeast 3rd Street,64063,38.9147548,-94.3710415
1701,Northeast Douglas Street,64086,38.9422622,-94.3775074
901,Northeast Bluestem Drive,64086,38.9270468,-94.3127295
905,Northeast Bluestem Drive,64086,38.9276127,-94.3111679
1830,Northwest Chipman Road,64081,38.9298257,-94.4117898
1820,Northwest Chipman Road,64081,38.9279612,-94.4115356
901,Northeast Douglas Street,64086,38.9288522,-94.3774605
