House number,Street name,Postal code,Latitude,Longitude
96,Saint Charles Street,63385,38.7080736,-90.8785498
90,Saint Charles Street,63385,38.7080678,-90.8782001
85,Saint Charles Street,63385,38.7083667,-90.8775843
93,Saint Charles Street,63385,38.7088069,-90.8785435
88,Saint Charles Street,63341,38.7080656,-90.8778061
142,Saint Charles Street,63385,38.7080618,-90.8814084
4574,Highway Z,63385,38.7170149,-90.8798728
4848,Highway Z,63385,38.7119681,-90.8776930
3960,Highway Z,63385,38.7323966,-90.8777076
4548,Highway Z,63385,38.7189257,-90.8790178
4711,Highway Z,63385,38.7128034,-90.8790502
4551,Highway Z,63385,38.7170606,-90.8818518
4583,Highway Z,63385,38.7158642,-90.8801380
4487,Highway Z,63385,38.7179176,-90.8812203
4580,Highway Z,63385,38.7161703,-90.8796124
4665,Highway Z,63385,38.7138158,-90.8787545
4134,Highway Z,63385,38.7276237,-90.8795925
4535,Highway Z,63385,38.7175757,-90.8813921
4481,Highway Z,63385,38.7185990,-90.8813179
4695,Highway Z,63385,38.7106510,-90.8785463
4814,Highway Z,63385,38.7124104,-90.8775757
4542,Highway Z,63385,38.7193968,-90.8793141
4671,Highway Z,63385,38.7138123,-90.8797245
4689,Highway Z,63385,38.7134132,-90.8787968
4577,Highway Z,63385,38.7162723,-90.8801864
3390,Highway F,63341,38.7046587,-90.8828588
3402,Highway F,63341,38.7051336,-90.8821142
3543,Highway F,63385,38.7081782,-90.8791082
3406,Highway F,63341,38.7063991,-90.8815576
3408,Highway F,63341,38.7057226,-90.8828936
3511,Highway F,63341,38.7076568,-90.8766700
3410,Highway F,63341,38.7058416,-90.8805779
3537,Highway F,63385,38.7079176,-90.8790162
3555,Highway F,63385,38.7086488,-90.8793561
3519,Highway F,63341,38.7070019,-90.8786094
3531,Highway F,63341,38.7073300,-90.8787270
155,Lockard Lane,63341,38.7041497,-90.8759487
130,Centennial Farms Drive,63341,38.7040911,-90.8769995
127,Almeling Street,63385,38.7088121,-90.8804484
136,Almeling Street,63385,38.7085965,-90.8809724
140,Almeling Street,63385,38.7086609,-90.8812966
133,Almeling Street,63385,38.7087863,-90.8807757
128,Almeling Street,63385,38.7083532,-90.8805593
110,Almeling Street,63385,38.7084261,-90.8799219
122,Almeling Street,63385,38.7085564,-90.8802796
139,Almeling Street,63385,38.7088226,-90.8809579
241,Fiddlecreek Ridge Road,63385,38.7282071,-90.8868215
239,Fiddlecreek Ridge Road,63385,38.7278636,-90.8866649
246,Fiddlecreek Ridge Road,63385,38.7288670,-90.8864891
219,Fiddlecreek Ridge Road,63385,38.7255120,-90.8848401
504,Conifer Court,63385,38.7267050,-90.8861955
606,Birdnest Walk,63385,38.7282146,-90.8874765
501,Conifer Court,63385,38.7262574,-90.8859796
304,Spotted Fawn Road,63385,38.7249053,-90.8849849
505,Conifer Court,63385,38.7265358,-90.8863821
306,Spotted Fawn Road,63385,38.7247791,-90.8851638
403,Barleyfield Court,63385,38.7253177,-90.8851732
406,Barleyfield Court,63385,38.7255943,-90.8856483
305,Spotted Fawn Road,63385,38.7244581,-90.8850747
404,Barleyfield Court,63385,38.7256922,-90.8854091
503,Conifer Court,63385,38.7262792,-90.8862359
407,Barleyfield Court,63385,38.7253307,-90.8856261
405,Barleyfield Court,63385,38.7252234,-90.8854312
604,Birdnest Walk,63385,38.7282926,-90.8872321
603,Birdnest Walk,63385,38.7278548,-90.8872978
605,Birdnest Walk,63385,38.7279954,-90.8875188
502,Conifer Court,63385,38.7267310,-90.8859294
904,Windy Meadow Court,63385,38.7278657,-90.8855152
902,Windy Meadow Court,63385,38.7276787,-90.8856270
601,Birdnest Walk,63385,38.7278601,-90.8870717
1005,Fiddlecreek Court,63385,38.7253600,-90.8834291
901,Windy Meadow Court,63385,38.7281053,-90.8859123
1003,Fiddlecreek Court,63385,38.7253600,-90.8836469
1004,Fiddlecreek Court,63385,38.7250224,-90.8834450
903,Windy Meadow Court,63385,38.7280628,-90.8856384
1006,Fiddlecreek Court,63385,38.7251614,-90.8833005
303,Spotted Fawn Road,63385,38.7244190,-90.8848594
4754,Jacob Lane,63385,38.7188811,-90.8755394
4744,Jacob Lane,63385,38.7172325,-90.8746870
4640,Jacob Lane,63385,38.7161770,-90.8745843
4743,Jacob Lane,63385,38.7177147,-90.8753415
104,Willow Ridge Court,63385,38.7202287,-90.8800215
4741,Jacob Lane,63385,38.7172080,-90.8752791
305,Crescent Oak Court,63385,38.7200095,-90.8786467
4650,Jacob Lane,63385,38.7184643,-90.8747790
307,Crescent Oak Court,63385,38.7196164,-90.8781049
4748,Jacob Lane,63385,38.7182271,-90.8746306
306,Crescent Oak Court,63385,38.7199563,-90.8778258
303,Crescent Oak Court,63385,38.7205366,-90.8787877
304,Crescent Oak Court,63385,38.7204547,-90.8782075
105,Willow Ridge Court,63385,38.7201537,-90.8804939
15,Golden Oak Court,63385,38.7195884,-90.8748892
14,Golden Oak Court,63385,38.7199951,-90.8744364
103,Willow Ridge Court,63385,38.7205829,-90.8806701
302,Crescent Oak Court,63385,38.7211819,-90.8783170
10,Golden Oak Court,63385,38.7202384,-90.8748524
4745,Brooke Street,63385,38.7182533,-90.8762613
4806,Brooke Street,63385,38.7178485,-90.8764620
4807,Brooke Street,63385,38.7181635,-90.8770975
4809,Brooke Street,63385,38.7185718,-90.8768824
4805,Brooke Street,63385,38.7176438,-90.8770230
4804,Brooke Street,63385,38.7173329,-90.8763001
4811,Brooke Street,63385,38.7187068,-90.8764822
4803,Brooke Street,63385,38.7170298,-90.8768882
4908,Bette Court,63385,38.7182958,-90.8781509
4902,Bette Court,63385,38.7168886,-90.8781312
4910,Bette Court,63385,38.7189387,-90.8781409
4904,Bette Court,63385,38.7173980,-90.8780221
4906,Bette Court,63385,38.7178186,-90.8778778
4735,Francis Street,63385,38.7164989,-90.8761227
4734,Francis Street,63385,38.7160292,-90.8763019
4632,Francis Street,63385,38.7159688,-90.8768929
4638,Francis Street,63385,38.7159840,-90.8749315
4630,Francis Street,63385,38.7160278,-90.8775886
