House number,Street name,Postal code,Latitude,Longitude
2502,Northwest Vivion Road,64150,39.1797793,-94.6096952
2422,Northwest Vivion Road,64150,39.1798365,-94.6092592
2424,Northwest Vivion Road,64150,39.1798194,-94.6093846
2500,Northwest Vivion Road,64150,39.1798027,-94.6095243
2504,Northwest Vivion Road,64150,39.1797555,-94.6097902
2506,Northwest Vivion Road,64150,39.1797450,-94.6098611
2508,Northwest Vivion Road,64150,39.1797335,-94.6099482
4901,Northwest Waukomis Drive,64151,39.1832051,-94.6053550
2516,Northwest Vivion Road,64150,39.1796240,-94.6102060
2514,Northwest Vivion Road,64150,39.1797092,-94.6100887
2506,Northwest Vivion Road,64150,39.1797230,-94.6100092
2520,Northwest Vivion Road,64150,39.1795969,-94.6104440
4907,Northwest Waukomis Drive,64151,39.1836696,-94.6054816
2039,Northwest 49th Terrace,64151,39.1837444,-94.6052507
1802,Northwest Vivion Road,64150,39.1816943,-94.6027873
1800,Northwest Vivion Road,64150,39.1825207,-94.6018031
2230,Northwest Vivion Road,64150,39.1812879,-94.6041112
2250,Northwest Vivion Road,64150,39.1810804,-94.6046910
4800,Northwest Northmoor Avenue,64151,39.1815354,-94.6044624
4801,Northwest Northmoor Avenue,64151,39.1815359,-94.6038845
4802,Northwest Northmoor Avenue,64151,39.1817523,-94.6044753
4804,Northwest Northmoor Avenue,64151,39.1819455,-94.6044758
4805,Northwest Northmoor Avenue,64151,39.1819450,-94.6039228
4806,Northwest Northmoor Avenue,64151,39.1821371,-94.6044719
4807,Northwest Northmoor Avenue,64151,39.1821374,-94.6039211
4808,Northwest Northmoor Avenue,64151,39.1823166,-94.6044798
4809,Northwest Northmoor Avenue,64151,39.1823323,-94.6039211
4810,Northwest Northmoor Avenue,64151,39.1825116,-94.6044659
4811,Northwest Northmoor Avenue,64151,39.1825085,-94.6039446
4811,Northwest Waukomis Drive,64151,39.1821022,-94.6051748
4859,Northwest Waukomis Drive,64151,39.1829046,-94.6050917
2031,Northwest 49th Street,64151,39.1828701,-94.6048614
2025,Northwest 49th Street,64151,39.1828553,-94.6046643
2017,Northwest 49th Street,64151,39.1828633,-94.6044212
1851,Northwest 49th Street,64151,39.1828491,-94.6040369
1849,Northwest 49th Street,64151,39.1828751,-94.6038137
1847,Northwest 49th Street,64151,39.1828861,-94.6035646
2022,Northwest 49th Street,64151,39.1832499,-94.6046528
2010,Northwest 49th Street,64151,39.1832881,-94.6043231
2008,Northwest 49th Street,64151,39.1832914,-94.6040709
2006,Northwest 49th Street,64151,39.1833029,-94.6038658
2004,Northwest 49th Street,64151,39.1833035,-94.6037626
1840,Northwest 49th Street,64151,39.1832645,-94.6031490
1830,Northwest 49th Street,64151,39.1832641,-94.6028224
1836,Northwest 49th Street,64151,39.1832709,-94.6022732
1820,Northwest 49th Street,64151,39.1832580,-94.6020649
1802,Northwest 49th Street,64151,39.1832307,-94.6015668
1802,Northwest 49th Street,64151,39.1833786,-94.6015181
