House number,Street name,Postal code,Latitude,Longitude
3101,West Broadway,65301-2116,38.7081749,-93.2654657
2923,West Broadway,65301,38.7075735,-93.2637067
2915,West Broadway Boulevard,65301,38.7075065,-93.2635028
3175,West Broadway Boulevard,65301,38.7092122,-93.2684829
2701,West Broadway,65301,38.7058381,-93.2589658
820,South Highway 65,65301,38.7041239,-93.2509271
1811,South Limit Avenue,65301-6945,38.6955123,-93.2504478
1513,South Limit Avenue,65301,38.6991263,-93.2502704
1400,South Limit Avenue,65301,38.6999696,-93.2518509
2800,South Limit,65301,38.6876015,-93.2515183
3200,South Limit Avenue,65301,38.6831377,-93.2517651
3701,West Broadway,65301,38.7110777,-93.2754011
3201,West 16th Street,65301,38.6969174,-93.2691016
2111,West Broadway Boulevard,65301,38.7048557,-93.2530188
1601,East Broadway Boulevard,65301,38.7038508,-93.2082046
1800,West 5th Street,65301,38.7076993,-93.2506533
3040,West Broadway Boulevard,65301,38.7090573,-93.2653409
1439,Thompson Boulevard,65301,38.7009122,-93.2648714
1400,South Limit Avenue,65301,38.6988495,-93.2511689
1400,South Limit Avenue,65301,38.6989269,-93.2511729
2111,West Broadway Boulevard,65301,38.7047735,-93.2530676
1435,Thompson Boulevard,65301,38.7011036,-93.2648136
103,East 4th Street,65301,38.7079508,-93.2279677
3811,West Broadway,65301,38.7108785,-93.2772198
3201,West Broadway Boulevard,65301,38.7066936,-93.2709298
416,West 3rd Street,65301,38.7091722,-93.2322263
312,East Broadway Boulevard,65301,38.7031872,-93.2254923
601,East 14th Street,65301,38.6991721,-93.2210017
3601,West Boadway,65301,38.7101541,-93.2730652
2503,West 16th Street,65301,38.6940292,-93.2578218
2000,South Limit Avenue,65301,38.6944126,-93.2515871
2200,South Grand Avenue,65301,38.6920339,-93.2392958
1200,South Vermont Avenue,65301,38.7006492,-93.2334146
1400,East 16th Street,65301,38.6929524,-93.2109589
2010,Tiger Pride Boulevard,65301,38.6728907,-93.2592578
421,West 3rd Street,65301,38.7085657,-93.2317419
415,East 4th Street,65301,38.7078625,-93.2243764
901,West 24th Street,65301,38.6902446,-93.2380302
507,West 24th Street,65301,38.6894080,-93.2340040
420,South Ohio Avenue,65301,38.7070201,-93.2285574
418,West 5th Street,65301,38.7070857,-93.2285534
416,South Ohio Avenue,65301,38.7071484,-93.2285501
414,South Ohio Avenue,65301,38.7072192,-93.2285464
412,South Ohio Avenue,65301,38.7072901,-93.2285411
106,West 5th Street,65301,38.7071233,-93.2288210
108,West 5th Street,65301,38.7070844,-93.2289363
120,West 5th Street,65301,38.7070791,-93.2290960
111,West 4th Street,65301,38.7075464,-93.2287856
400,South Ohio Avenue,65301,38.7076584,-93.2285118
404,South Ohio Avenue,65301,38.7075857,-93.2285162
406,South Ohio Avenue,65301,38.7075255,-93.2285193
408,South Ohio Avenue,65301,38.7074663,-93.2285232
410,South Ohio Avenue,65301,38.7074017,-93.2285275
113,East 4th Street,65301,38.7079074,-93.2275149
121,East 4th Street,65301,38.7079320,-93.2273084
322,South Ohio Avenue,65301,38.7078966,-93.2285033
314,South Ohio Avenue,65301,38.7081242,-93.2284871
310,South Ohio Avenue,65301,38.7082676,-93.2284650
308,South Ohio Avenue,65301,38.7083253,-93.2284709
304,South Ohio Avenue,65301,38.7084167,-93.2284650
300,South Ohio Avenue,65301,38.7085172,-93.2284608
111,West 3rd Street,65301,38.7084038,-93.2287668
218,South Ohio Avenue,65301,38.7091489,-93.2283534
216,South Ohio Avenue,65301,38.7092555,-93.2283203
110,West 3rd Street,65301,38.7088404,-93.2288607
214,South Ohio Avenue,65301,38.7093242,-93.2282997
301,South Ohio Avenue,65301,38.7084882,-93.2279286
305,South Ohio Avenue,65301,38.7083930,-93.2279349
307,South Ohio Avenue,65301,38.7083170,-93.2279521
309,South Ohio Avenue,65301,38.7082474,-93.2279564
315,South Ohio Avenue,65301,38.7080888,-93.2279587
313,South Ohio Avenue,65301,38.7081467,-93.2279881
231,South Ohio Avenue,65301,38.7087776,-93.2278527
227,South Ohio Avenue,65301,38.7088760,-93.2278140
219,South Ohio Avenue,65301,38.7090054,-93.2277782
211,South Ohio Avenue,65301,38.7092748,-93.2276903
209,South Ohio Avenue,65301,38.7093586,-93.2276342
207,South Ohio Avenue,65301,38.7094251,-93.2276486
205,South Ohio Avenue,65301,38.7094881,-93.2276298
113,East 3rd Street,65301,38.7087914,-93.2275256
119,East 3rd Street,65301,38.7087688,-93.2273431
121,East 3rd Street,65301,38.7087729,-93.2272493
123,East 3rd Street,65301,38.7087567,-93.2271152
400,South Osage Avenue,65301,38.7075760,-93.2297697
210,West 4th Street,65301,38.7081423,-93.2298279
202,West 4th Street,65301,38.7080194,-93.2294701
200,West 4th Street,65301,38.7080454,-93.2293849
116,West 4th Street,65301,38.7079773,-93.2290665
112-114,West 4th Street,65301,38.7079981,-93.2289012
209,West 3rd Street,65301,38.7084512,-93.2299563
301,West 3rd Street,65301,38.7084554,-93.2308297
222,South Osage Avenue,65301,38.7091012,-93.2293851
217,South Kentucky Street,65301,38.7092131,-93.2297839
218,South Osage Avenue,65301,38.7093773,-93.2293796
200,South Osage Avenue,65301,38.7098373,-93.2295496
316,West 4th Street,65301,38.7081111,-93.2310466
312,West 4th Street,65301,38.7081093,-93.2308527
320,South Kentucky Street,65301,38.7081191,-93.2306057
420,South Osage Avenue,65301,38.7072535,-93.2295430
424,South Osage Avenue,65301,38.7071090,-93.2295912
421,South Kentucky Street,65301,38.7072027,-93.2300284
111,West 5th Street,65301,38.7066805,-93.2288693
500,South Ohio Avenue,65301,38.7067546,-93.2285836
516,South Ohio Avenue,65301,38.7062796,-93.2286051
520,South Ohio Avenue,65301,38.7061832,-93.2286119
501,South Ohio Avenue,65301,38.7066438,-93.2280403
108,East 5th Street,65301,38.7066863,-93.2278377
110,East 5th Street,65301,38.7066582,-93.2277458
114,East 5th Street,65301,38.7066826,-93.2275897
120,East 5th Street,65301,38.7066850,-93.2273507
515,South Ohio Avenue,65301,38.7063520,-93.2279749
519,East 6th Street,65301,38.7061814,-93.2280623
510,South Lamine Avenue,65301,38.7063265,-93.2273699
520,South Lamine Avenue,65301,38.7061604,-93.2274065
109,West 6th Street,65301,38.7058088,-93.2290331
601,South Ohio Avenue,65301,38.7057671,-93.2280879
622,South Ohio Avenue,65301,38.7053135,-93.2286245
616,South Ohio Avenue,65301,38.7054105,-93.2285978
614,South Ohio Avenue,65301,38.7054824,-93.2286070
608,South Ohio Avenue,65301,38.7056514,-93.2285929
606,South Ohio Avenue,65301,38.7057156,-93.2285894
604,South Ohio Avenue,65301,38.7057791,-93.2285857
600,South Ohio Avenue,65301,38.7059041,-93.2286043
701,South Ohio Avenue,65301,38.7050388,-93.2281394
703,South Ohio Avenue,65301,38.7049745,-93.2281528
700,South Ohio Avenue,65301,38.7050588,-93.2286534
702,South Ohio Avenue,65301,38.7049966,-93.2286572
704,South Ohio Avenue,65301,38.7049445,-93.2286237
708,South Ohio Avenue,65301,38.7048945,-93.2286656
710,South Ohio Avenue,65301,38.7048400,-93.2286696
712,South Ohio Avenue,65301,38.7047844,-93.2286740
100,West Broadway,65301,38.7045780,-93.2287668
220,East 5th Street,65301,38.7065624,-93.2262912
202,East 5th Street,65301,38.7066844,-93.2269188
201,East 6th Street,65301,38.7062040,-93.2269428
215,East 5th Street,65301,38.7070032,-93.2263881
225,East 5th Street,65301,38.7070603,-93.2261628
415,South Lamine Avenue,65301,38.7071124,-93.2268124
401,South Lamine Avenue,65301,38.7075932,-93.2268057
403,South Lamine Avenue,65301,38.7074125,-93.2267271
204,East 4th Street,65301,38.7075269,-93.2265398
303,South Lamine Avenue,65301,38.7083332,-93.2268153
210,East 3rd Street,65301,38.7083263,-93.2263472
208,South Lamine Avenue,65301,38.7092625,-93.2269801
109,South Lamine Avenue,65301,38.7096734,-93.2263898
520,South Osage Avenue,65301,38.7062959,-93.2296056
515,South Kentucky Street,65301,38.7063196,-93.2300414
218,South Kentucky Street,65301,38.7095326,-93.2303603
118-120,South Osage Avenue,65301,38.7101191,-93.2290577
321,West Main Street,65301,38.7108983,-93.2305849
401,West Main Street,65301,38.7109748,-93.2310071
400,West 2nd Street,65301,38.7105909,-93.2312524
420,West 2nd Street,65301,38.7106503,-93.2316126
324,West 2nd Street,65301,38.7104927,-93.2306536
314,West 2nd Street,65301,38.7104051,-93.2304443
306,West 2nd Street,65301,38.7103489,-93.2303007
302,West 2nd Street,65301,38.7103900,-93.2300367
200,South Kentucky Street,65301,38.7099266,-93.2301558
210,West 2nd Street,65301,38.7102761,-93.2293930
208,West 2nd Street,65301,38.7102509,-93.2292561
119,West Main Street,65301,38.7105488,-93.2285112
117,West Main Street,65301,38.7105809,-93.2284138
115,West Main Street,65301,38.7105668,-93.2283386
113,West Main Street,65301,38.7105078,-93.2282688
103,West Main Street,65301,38.7105047,-93.2279314
100,South Ohio Avenue,65301,38.7104319,-93.2278825
116,South Ohio Avenue,65301,38.7101456,-93.2280448
120,South Ohio Avenue,65301,38.7100453,-93.2280574
124,South Ohio Avenue,65301,38.7099591,-93.2281380
122,South Ohio Avenue,65301,38.7099880,-93.2280746
101,East Main Street,65301,38.7108918,-93.2272733
503,West Main Street,65301,38.7110475,-93.2322701
500,West 2nd Street,65301,38.7107487,-93.2322036
504,West 2nd Street,65301,38.7107732,-93.2323506
101,South Washington Avenue,65301,38.7097721,-93.2238713
300,East Main Street,65301,38.7099634,-93.2251153
201,West 3rd Street,65301,38.7084392,-93.2293877
316,South Ohio Avenue,65301,38.7080002,-93.2284964
308,West Main Street,65301,38.7113435,-93.2298860
304,West Main Street,65301,38.7113205,-93.2297638
302,West Main Street,65301,38.7112999,-93.2296499
220,West Main Street,65301,38.7112575,-93.2293682
218,West Main Street,65301,38.7112434,-93.2292880
214,West Main Street,65301,38.7112249,-93.2291893
212,West Main Street,65301,38.7112060,-93.2290862
104,West Main Street,65301,38.7109774,-93.2277601
108,West Main Street,65301,38.7110069,-93.2279142
106,West Main Street,65301,38.7109928,-93.2278410
112,West Main Street,65301,38.7110411,-93.2280856
116,West Main Street,65301,38.7110711,-93.2282454
114,West Main Street,65301,38.7110560,-93.2281656
110,West Main Street,65301,38.7110090,-93.2280048
101,South Ohio Avenue,65301,38.7104566,-93.2275101
106,East Main Street,65301,38.7104304,-93.2273620
110,East Main Street,65301,38.7104198,-93.2272431
112,East Main Street,65301,38.7104052,-93.2271607
114,East Main Street,65301,38.7103906,-93.2270795
116,East Main Street,65301,38.7103573,-93.2270029
118,East Main Street,65301,38.7103584,-93.2269175
120,East Main Street,65301,38.7103606,-93.2268312
122,East Main Street,65301,38.7102428,-93.2267411
121,South Ohio Avenue,65301,38.7099618,-93.2275424
117,South Ohio Avenue,65301,38.7100375,-93.2275504
115,South Ohio Avenue,65301,38.7100998,-93.2275310
109,East 2nd Street,65301,38.7099178,-93.2273122
200,East Main Street,65301,38.7100841,-93.2263018
207,East Main Street,65301,38.7106210,-93.2260472
215,East Main Street,65301,38.7106276,-93.2257638
217,East Main Street,65301,38.7105908,-93.2255032
315,East Main Street,65301,38.7104052,-93.2246315
317,East Main Street,65301,38.7103884,-93.2245382
321,East Main Street,65301,38.7103929,-93.2243246
501,East Main Street,65301,38.7102244,-93.2238178
207-209,West Main Street,65301,38.7107296,-93.2290873
418,West 4th Street,65301,38.7081833,-93.2323040
113,East 2nd Street,65301,38.7098018,-93.2272177
602,South Ohio Avenue,65301,38.7058454,-93.2286084
412,South Osage Avenue,65301,38.7073113,-93.2295237
1019,East 5th Street,65301,38.7068137,-93.2151468
610,South Engineer Avenue,65301,38.7051223,-93.2139825
1124,East Broadway Boulevard,65301,38.7033415,-93.2137877
715,East Broadway Boulevard,65301,38.7042518,-93.2183714
300,West Broadway,65302,38.7046150,-93.2308834
600,South Hancock Avenue,65301,38.7058841,-93.2199417
2606,West 16th Street,65301,38.6993141,-93.2589207
1301,South Limit Avenue,65301,38.7013976,-93.2501217
1101,South Limit Avenue,65301-5127,38.7021422,-93.2500940
3120,South Limit,65301-6862,38.6844584,-93.2519489
2750,South Limit,65301,38.6879111,-93.2515123
2424,South Limit Avenue,65301,38.6901616,-93.2531836
1611,South Limit Avenue,65301-6943,38.6972983,-93.2501915
1217,South Limit Avenue,65301,38.7017155,-93.2498575
3901,West Broadway Boulevard,65301,38.7119178,-93.2789030
3600,West Broadway Boulevard,65301,38.7117832,-93.2725511
3040,West Broadway Boulevard,65301,38.7086516,-93.2645902
1425,South Limit Avenue,65301,38.6999056,-93.2502428
3615,South Limit Avenue,65301,38.6793866,-93.2509413
3402,West Broadway Boulevard,65301,38.7112365,-93.2707304
3615,South Limit Avenue,65301,38.6791616,-93.2508845
3501,West Broadway Boulevard,65301,38.7096984,-93.2715873
4104,West Main Street,65301,38.7137906,-93.2775594
228,Dundee Avenue,65301,38.7102806,-93.2516859
3909,West 9th Street,65301,38.7111070,-93.2795043
1800,W 3rd St,65301,38.7104835,-93.2493882
