House number,Street name,Postal code,Latitude,Longitude
26,Hillcrest Boulevard,63021,38.5893153,-90.5305910
333,Orchard Avenue,63021,38.5907742,-90.5227415
434,Orchard Avenue,63021,38.5902226,-90.5209663
212,Lindy Boulevard,63021,38.5915309,-90.5268991
421,Lindy Boulevard,63021,38.5874674,-90.5287577
412,Lakeside Drive,63021,38.5921660,-90.5215462
309,Ballwin Avenue,63021,38.5915521,-90.5234933
233,Roland Avenue,63021,38.5864551,-90.5258962
212,Lakeside Drive,63021,38.5918771,-90.5264370
49,Hillcrest Boulevard,63021,38.5896593,-90.5291650
408,Lakeside Drive,63021,38.5921436,-90.5217394
33,Roland Avenue,63021,38.5865131,-90.5308762
308,Orchard Avenue,63021,38.5902166,-90.5236809
428,Lindy Boulevard,63021,38.5872678,-90.5283475
453,Rosedale Terrace,63021,38.5870629,-90.5264609
408,Fairview Court,63021,38.5882755,-90.5318892
53,Evergreen Court,63021,38.5871983,-90.5295589
8,Saint Lawrence Drive,63021,38.5885308,-90.5317446
417,Fairview Court,63021,38.5879986,-90.5325001
453,Fairview Court,63021,38.5865304,-90.5328623
432,Ballwin Avenue,63021,38.5912933,-90.5209444
405,Fairview Court,63021,38.5884755,-90.5323181
350,Orchard Avenue,63021,38.5903769,-90.5225265
209,Chamberlin Drive,63021,38.5916462,-90.5241488
328,Lakeside Drive,63021,38.5921856,-90.5223721
200,Solley Drive,63021,38.5919779,-90.5281098
213,Solley Drive,63021,38.5915545,-90.5286132
120,Solley Drive,63021,38.5921283,-90.5281197
249,Roland Avenue,63021,38.5864411,-90.5252244
413,Fairview Court,63021,38.5881534,-90.5324024
457,Chamberlin Drive,63021,38.5866700,-90.5252647
324,Lakeside Drive,63021,38.5921592,-90.5225823
37,Hillcrest Boulevard,63021,38.5896755,-90.5299977
44,Saint Lawrence Drive,63021,38.5884787,-90.5295318
456,Chamberlin Drive,63021,38.5865889,-90.5248324
325,Sulphur Spring Road,63021,38.5893875,-90.5201701
228,Ballwin Avenue,63021,38.5910132,-90.5257604
449,Hillcrest Boulevard,63021,38.5897230,-90.5201569
425,Orchard Avenue,63021,38.5907203,-90.5213034
433,Saint Lawrence Drive,63021,38.5887943,-90.5210057
25,James Court,63021,38.5880494,-90.5308271
204,Lindy Boulevard,63021,38.5917873,-90.5269133
234,Lindy Boulevard,63021,38.5906243,-90.5269276
229,Ballwin Avenue,63021,38.5914208,-90.5257269
437,Hillcrest Boulevard,63021,38.5897393,-90.5208012
326,Fairview Court,63021,38.5891753,-90.5316438
341,Sulphur Spring Road,63021,38.5888473,-90.5201733
417,Saint Lawrence Drive,63021,38.5888178,-90.5217061
436,Ballwin Avenue,63021,38.5912870,-90.5207694
440,Chamberlin Drive,63021,38.5872380,-90.5247905
404,Ballwin Avenue,63021,38.5913303,-90.5221692
61,Evergreen Court,63021,38.5871647,-90.5290079
61,Hillcrest Boulevard,63021,38.5896491,-90.5285330
334,Fairview Court,63021,38.5890108,-90.5316956
432,Lindy Boulevard,63021,38.5871096,-90.5284117
53,Hillcrest Boulevard,63021,38.5896566,-90.5289508
421,Rosedale Terrace,63021,38.5880690,-90.5264664
57,Hillcrest Boulevard,63021,38.5896542,-90.5287452
41,James Court,63021,38.5880158,-90.5299590
433,Hillcrest Boulevard,63021,38.5897453,-90.5209748
428,Hillcrest Boulevard,63021,38.5893865,-90.5212162
417,Rosedale Terrace,63021,38.5883515,-90.5264354
46,Hillcrest Boulevard,63021,38.5893115,-90.5295152
337,Sulphur Spring Road,63021,38.5889818,-90.5201695
432,Hillcrest Boulevard,63021,38.5893756,-90.5209603
305,Lakeside Drive,63021,38.5924568,-90.5234667
121,Lindy Boulevard,63021,38.5921215,-90.5273488
34,Hillcrest Boulevard,63021,38.5893162,-90.5301369
24,Evergreen Court,63021,38.5868662,-90.5310432
112,Solley Drive,63021,38.5924170,-90.5281391
201,Lindy Boulevard,63021,38.5919830,-90.5273752
209,Solley Drive,63021,38.5916921,-90.5286790
121,Solley Drive,63021,38.5921042,-90.5285953
57,Evergreen Court,63021,38.5871945,-90.5293307
312,Ballwin Avenue,63021,38.5911821,-90.5233259
32,Saint Lawrence Drive,63021,38.5884880,-90.5301667
204,Solley Drive,63021,38.5918574,-90.5281465
230,Lindy Boulevard,63021,38.5907422,-90.5269215
208,Solley Drive,63021,38.5917119,-90.5281527
52,Saint Lawrence Drive,63021,38.5884712,-90.5291105
24,Saint Lawrence Drive,63021,38.5885000,-90.5306243
413,Chamberlin Drive,63021,38.5881817,-90.5252337
411,Rosedale Terrace,63021,38.5886265,-90.5264166
424,Lindy Boulevard,63021,38.5874155,-90.5282630
416,Chamberlin Drive,63021,38.5881444,-90.5248105
440,Rosedale Terrace,63021,38.5875135,-90.5260278
16,Evergreen Court,63021,38.5868692,-90.5315120
449,Fairview Court,63021,38.5867094,-90.5328207
337,Orchard Avenue,63021,38.5907736,-90.5225552
405,Chamberlin Drive,63021,38.5886198,-90.5252075
424,Ballwin Avenue,63021,38.5913039,-90.5212949
236,Lakeside Drive,63021,38.5919078,-90.5253770
57,Roland Avenue,63021,38.5864908,-90.5295766
404,Orchard Avenue,63021,38.5903527,-90.5221904
121,Roland Avenue,63021,38.5864616,-90.5275847
456,Fairview Court,63021,38.5866075,-90.5323869
326,Orchard Avenue,63021,38.5903455,-90.5228628
213,Chamberlin Drive,63021,38.5915108,-90.5241695
216,Solley Drive,63021,38.5913983,-90.5281574
32,James Court,63021,38.5876493,-90.5304067
321,Lindy Boulevard,63021,38.5892946,-90.5276936
300,Lindy Boulevard,63021,38.5901910,-90.5269000
308,Saint Lawrence Drive,63021,38.5885293,-90.5244693
316,Saint Lawrence Drive,63021,38.5885169,-90.5241191
312,Saint Lawrence Drive,63021,38.5885225,-90.5242930
