House number,Street name,Postal code,Latitude,Longitude
405,University Avenue,59801,46.8597939,-113.9919176
102,Mc Leod Avenue,59801,46.8593118,-113.9971650
202,Brooks Street,59801,46.8618514,-113.9983240
4616,Gharrett Street,59803,46.8299255,-114.0418422
5425,Gharrett Street,59803,46.8207939,-114.0434120
2651,South Avenue West,59804,46.8480908,-114.0453825
1301,East Broadway Street,59802,46.8639883,-113.9739605
500,West Broadway Street,59807,46.8745710,-114.0001816
2815,Old Fort Road,59804,46.8468502,-114.0449771
1600,South 3rd Street West,59801,46.8676559,-114.0203150
223,West Broadway St,59802,46.8726692,-113.9965225
602,Myrtle Street,59801,46.8655785,-113.9987260
201,North Higgins Avenue,59801,46.8714127,-113.9947089
211,North Higgins Avenue,59801,46.8715397,-113.9946235
223,North Higgins Avenue,59801,46.8720832,-113.9951195
206,West Main Street,59802,46.8718073,-113.9962667
136,East Broadway Street,59802,46.8718987,-113.9927110
2615,Connery Way,59808,46.8899973,-114.0470225
2205,Oxford Street,59801,46.8510311,-114.0178037
5055,North Reserve Street,59808,46.9122654,-114.0352152
3015,Paxson Street,59801,46.8430219,-114.0313330
5450,Momont Road,59808,46.9228876,-114.0792920
4620,Expressway Road,59808,46.9145590,-114.0609192
231,West Front Street,59802,46.8709917,-113.9973025
1507,Montana Street,59801,46.8725436,-114.0201837
229,East Front Street,59802,46.8694278,-113.9927957
128,West Alder Street,59802,46.8754459,-113.9930974
701,Orange Street,59801,46.8642527,-114.0040896
428,North Higgins Avenue,59802,46.8737134,-113.9927410
4950,North Reserve Street,59808,46.9113244,-114.0341470
2995,North Reserve Street,59808,46.8923125,-114.0398724
2995,North Reserve Street,59808,46.8921698,-114.0398590
208,North Higgins Avenue,59802,46.8713488,-113.9942562
214,North Higgins Avenue,59802,46.8714141,-113.9942310
201,East Front Street,59802,46.8696243,-113.9936974
304,North Higgins Avenue,59802,46.8722770,-113.9936860
304,North Higgins Avenue,59802,46.8722217,-113.9933950
2300,West Broadway Street,59808,46.8862029,-114.0253968
1130,West Broadway Street,59802,46.8772115,-114.0095911
425,North 5th Street West,59802,46.8802163,-113.9940504
