House number,Street name,Postal code,Latitude,Longitude
1600,North Buffalo Bill Avenue,69101,41.1520876,-100.7910966
715,South Jeffers Street,69101,41.1273458,-100.7634429
200,South Silber Avenue,69101,41.1320081,-100.7560193
510,Centennial Circle,69101,41.1198664,-100.7690478
110,South Sherman Avenue,69101,41.1332298,-100.7839141
420,West 4th Street,69101,41.1368073,-100.7677764
100,McDonald Road,69101,41.1331151,-100.7825747
2801,West E Street,69101,41.1304688,-100.7961861
202,West 8th Street,69101,41.1423204,-100.7634790
402,South Baytree Avenue,69101,41.1308583,-100.7944585
808,West Philip Avenue,69101,41.1259870,-100.7730384
120,West 4th Street,69101,41.1363871,-100.7640344
221,East 5th Street,69101,41.1374982,-100.7609789
3211,South Newberry Road,69101,41.1026468,-100.7238580
501,Halligan Drive,69101,41.1119291,-100.7592420
300,Holiday Frontage Road,69101,41.1097063,-100.7669420
3211,Newberry Access Road,69101,41.1028085,-100.7239491
3201,South Jeffers Street,69101-6880,41.1055669,-100.7625090
235,East 6th Street,69101-4132,41.1385000,-100.7603500
2102,South Jeffers Street,69101,41.1153544,-100.7653219
2102,South Jeffers Street,69101,41.1148331,-100.7657759
2020,South Jeffers Street,69101,41.1157719,-100.7651140
201,South Jeffers Street,69101,41.1320071,-100.7637030
520,East Philip Avenue,69101,41.1258304,-100.7582145
1802,East 2nd Street,69101,41.1315799,-100.7426688
1001,Deerwood Drive,69101,41.1256179,-100.7978036
946,South Taft Avenue,69101,41.1255089,-100.7519981
2615,Rose Court,69101,41.1235118,-100.7931660
801,West Walker Road,69101,41.1049166,-100.7731031
220,West Eugene Avenue,69101,41.1076365,-100.7656850
3102,South Jeffers Street,69101,41.1066947,-100.7647700
4571,South Parkway Drive,69101,41.0937904,-100.7619690
321,South Dewey Street,69101,41.1309585,-100.7626302
601,Halligan Drive,69101,41.1115490,-100.7575474
920,North Jeffers Street,69101,41.1439697,-100.7619780
220,South Jeffers Street,69101,41.1318718,-100.7643433
102,East Philip Avenue,69101,41.1255884,-100.7634348
4000,West Philip Avenue,69101,41.1254522,-100.8096036
701,South Jeffers Street,69101,41.1278063,-100.7632929
414,North Willow Street,69101,41.1375929,-100.7670614
1300,East 4th Street,69101,41.1342200,-100.7482272
821,South Dewey Street,69101,41.1263491,-100.7626124
451,Halligan Drive,69101,41.1115868,-100.7598977
695,Halligan Drive,69101,41.1112630,-100.7559794
509,East 4th Street,69101,41.1360169,-100.7581150
1845,West A Street,69101,41.1350563,-100.7854456
920,North Jeffers Street,69101,41.1441137,-100.7623250
1220,East 4th Street,69101,41.1342545,-100.7490473
402,North Dewey Street,69101,41.1365353,-100.7621616
1815,West A Street,69101,41.1344827,-100.7852243
418,East Leota Street,69101,41.1196715,-100.7593131
418,East Leota Street,69101,41.1195815,-100.7593168
1220,South Cottonwood Street,69101,41.1227653,-100.7582071
601,West Leota Street,69101,41.1216559,-100.7701690
319,West South River Road,69101,41.1139421,-100.7671953
200,Platte Oasis Parkway,69101,41.1145702,-100.7619991
2302,South Jeffers Street,69101,41.1139576,-100.7658749
2320,South Jeffers Street,69101,41.1135472,-100.7657863
1200,McDonald Road,69101,41.1237115,-100.7793578
3900,West A Street,69101,41.1329760,-100.8070662
2401,Halligan Drive,69101,41.1118871,-100.7347497
700,East 3rd Street,69101,41.1340998,-100.7562286
200,West 9th Street,69101,41.1441623,-100.7640211
601,McDonald Road,69101,41.1281186,-100.7809256
1220,West 2nd Street,69101,41.1350380,-100.7774341
1008,West 18th Street,69101,41.1531933,-100.7685591
2000,West 2nd Street,69101,41.1370979,-100.7876443
1520,South Jeffers Street,69101,41.1197336,-100.7644674
