House number,Street name,Postal code,Latitude,Longitude
118,East Haskell Street,89445,40.9712116,-117.7275249
1139,West Winnemucca Boulevard,89445,40.9644960,-117.7433336
530,Melarkey Street,89445,40.9708163,-117.7335297
1125,West Winnemucca Boulevard,89445,40.9648419,-117.7419624
1051,West 4th Street,89445,40.9651867,-117.7412985
1059,West 4th Street,89445,40.9650968,-117.7413747
1061,West 4th Street,89445,40.9650358,-117.7414265
508,West Winnemucca Boulevard,89445,40.9701042,-117.7400047
508,West Winnemucca Boulevard,89445,40.9700506,-117.7400810
508,West Winnemucca Boulevard,89445,40.9699713,-117.7401863
1440,West Winnemucca Boulevard,89445,40.9640616,-117.7448096
1460,West Winnemucca Boulevard,89445,40.9638692,-117.7449436
1480,West Winnemucca Boulevard,89445,40.9637426,-117.7450318
1490,West Winnemucca Boulevard,89445,40.9636529,-117.7450943
1500,West Winnemucca Boulevard,89445,40.9634603,-117.7452285
1985,West Winnemucca Boulevard,89445,40.9584071,-117.7470753
3300,Traders Way,89445,40.9575225,-117.7421897
3200,Traders Way,89445,40.9585290,-117.7453713
195,Melarkey Street,89445,40.9738107,-117.7366992
3013,Potato Road,89445,40.9545497,-117.7451506
3013,Potato Road,89445,40.9545771,-117.7452137
33,West 4th Street,89445,40.9724720,-117.7340606
33,West 4th Street,89445,40.9724248,-117.7341181
311,East Winnemucca Boulevard,89445,40.9737140,-117.7344119
311,East Winnemucca Boulevard,89445,40.9736325,-117.7345113
311,East Winnemucca Boulevard,89445,40.9735606,-117.7345412
350,South Bridge Street,89445,40.9728730,-117.7342008
346,South Bridge Street,89445,40.9729699,-117.7343374
342,South Bridge Street,89445,40.9730146,-117.7344005
332,South Bridge Street,89445,40.9730513,-117.7344523
324,South Bridge Street,89445,40.9731371,-117.7345733
318,South Bridge Street,89445,40.9732058,-117.7346703
352,South Bridge Street,89445,40.9728305,-117.7341408
47,East Winnemucca Boulevard,89445,40.9741426,-117.7344191
49,East Winnemucca Boulevard,89445,40.9742631,-117.7342670
16,East 2nd Street,89445,40.9743865,-117.7354100
201,South Bridge Street,89445,40.9742508,-117.7355784
251,South Bridge Street,89445,40.9738476,-117.7350081
1038,Grass Valley Road,89445,40.9609916,-117.7370144
3010,Potato Road,89445,40.9540864,-117.7457189
566,Hanson Street,89445,40.9659371,-117.7381500
566,Hanson Street,89445,40.9658463,-117.7380230
566,Hanson Street,89445,40.9657686,-117.7379143
401,South Bridge Street,89445,40.9728495,-117.7335953
423,South Bridge Street,89445,40.9727378,-117.7334353
407,South Bridge Street,89445,40.9727931,-117.7335144
1063,West 4th Street,89445,40.9649488,-117.7415003
20,West 4th Street,89445,40.9730439,-117.7333573
329,South Bridge Street,89445,40.9733225,-117.7342811
331,South Bridge Street,89445,40.9732770,-117.7342160
337,South Bridge Street,89445,40.9733223,-117.7340447
341,South Bridge Street,89445,40.9731850,-117.7340843
345,South Bridge Street,89445,40.9731506,-117.7340350
40,West 4th Street,89445,40.9726566,-117.7343570
135,West 2nd Street,89445,40.9729368,-117.7371111
227,South Bridge Street,89445,40.9740911,-117.7353524
221,South Bridge Street,89445,40.9741461,-117.7354302
215,South Bridge Street,89445,40.9741925,-117.7354959
233,South Bridge Street,89445,40.9740328,-117.7352700
237,South Bridge Street,89445,40.9739858,-117.7352035
241,South Bridge Street,89445,40.9739300,-117.7351245
259,South Bridge Street,89445,40.9737550,-117.7348770
45,East Winnemucca Boulevard,89445,40.9740647,-117.7345174
1178,East Winnemucca Boulevard,89445,40.9749391,-117.7196755
4530,Grass Valley Road,89445,40.9539818,-117.7419376
4550,Grass Valley Road,89445,40.9535874,-117.7421448
4570,Grass Valley Road,89445,40.9533179,-117.7423916
4590,Grass Valley Road,89445,40.9530789,-117.7425727
4600,Grass Valley Road,89445,40.9527819,-117.7427726
4602,Grass Valley Road,89445,40.9526441,-117.7428705
4610,Grass Valley Road,89445,40.9524393,-117.7431187
4620,Grass Valley Road,89445,40.9523096,-117.7432152
221,South Bridge Street,89445-3108,40.9745857,-117.7349135
