House number,Street name,Postal code,Latitude,Longitude
73,Fort Eddy Road,03301,43.2128662,-71.5328584
76,Fort Eddy Road,03301,43.2125323,-71.5313476
68,Fort Eddy Road,03301,43.2124076,-71.5303092
354,Sheep Davis Road,03301,43.2395157,-71.4670821
55,Fort Eddy Road,03301,43.2112791,-71.5327040
18,Loudon Road,03301,43.2078140,-71.5260990
11,Hills Avenue,03301,43.2031823,-71.5343592
39,South Main Street,03301,43.2025371,-71.5348527
17,Depot Street,03301,43.2052977,-71.5349439
24,South Main Street,03301,43.2031823,-71.5356896
75,Fort Eddy Road,03301,43.2137782,-71.5323851
39,North Main Street,03301,43.2052838,-71.5362665
1,Bicentennial Square,03301,43.2049399,-71.5365457
270,Loudon Road,03301,43.2223243,-71.4870809
270,Loudon Road,03301,43.2226955,-71.4845170
333,Loudon Road,03301,43.2298467,-71.4821335
77,Old Turnpike Road,03301,43.2000111,-71.5173637
3,Industrial Park Drive,03301,43.2128082,-71.4845339
22,Bridge Street,03301,43.2081276,-71.5341610
17,Depot Street,03301,43.2053037,-71.5348918
35,Fort Eddy Road,03301,43.2106504,-71.5321745
10,Foster Street,03301,43.2186089,-71.5477918
12,Foster Street,03301,43.2186125,-71.5475239
14,Foster Street,03301,43.2186455,-71.5474298
2,Foster Street,03301,43.2184311,-71.5481466
55,North Main Street,03301,43.2055535,-71.5366351
465,Josiah Bartlett Road,03301,43.2466374,-71.4667186
50,Storrs Street,03302,43.2050836,-71.5331304
15,Pleasant Street,03301,43.2038251,-71.5365899
344,Loudon Road,03301,43.2275093,-71.4804107
9,South Spring Street,03301,43.2013856,-71.5402426
321,Loudon Road,03301,43.2288600,-71.4833231
105,Manchester Street,03301,43.1898844,-71.5076420
2,South Main Street,03301,43.2040474,-71.5358882
41,South Main Street,03301,43.2023901,-71.5347225
265,Loudon Road,03301,43.2245097,-71.4900974
188,Sewalls Falls Road,03301,43.2680784,-71.5656133
189,Fisherville Road,03303,43.2645715,-71.5853124
100,North Main Street,03301,43.2070118,-71.5362671
80,Damante Drive,03301,43.2186094,-71.4851567
