House number,Street name,Postal code,Latitude,Longitude
243,Central Avenue,03820,43.1922757,-70.8728697
245,Central Avenue,03820,43.1923188,-70.8728851
259,County Farm Road,03820,43.2173610,-70.9410530
11,Fourth Street,03820,43.1993468,-70.8757144
376,Central Avenue,03820,43.1958624,-70.8746109
7,Main Street,03820,43.1955181,-70.8714532
2,Orchard Street,03820,43.1956445,-70.8748799
99,Oak Street,03820,43.2026852,-70.8591163
2,Washington Street,03820,43.1943798,-70.8720023
24,Red Barn Drive,03820,43.1754807,-70.8731508
2,Waldron Court,03820,43.1962074,-70.8748922
77,Spur Road,03820,43.1516572,-70.8476134
446,Central Avenue,03820,43.1974530,-70.8742462
421,Central Avenue,03801,43.1968413,-70.8739920
421,Central Avenue,03820,43.1968174,-70.8736880
421,Central Avenue,03820,43.1967929,-70.8739993
20,Weeks Lane,03820,43.2227526,-70.8867581
40,Chestnut Street,03820,43.1959804,-70.8764325
40,Chestnut Street,03820,43.1959821,-70.8760741
1,Washington Street,03820,43.1950322,-70.8721821
517,Central Avenue,03820,43.1989808,-70.8744645
511,Central Avenue,03820,43.1989056,-70.8744154
487,Central Avenue,03820,43.1984995,-70.8739541
474,Central Avenue,03820,43.1981500,-70.8743537
472,Central Avenue,03820,43.1981130,-70.8743372
314,Central Avenue,03820,43.1943499,-70.8749185
301,Central Avenue,03820,43.1939485,-70.8744269
299,Central Avenue,03820,43.1939029,-70.8743941
291,Central Avenue,03820,43.1937395,-70.8740585
286,Central Avenue,03820,43.1934261,-70.8743729
280,Central Avenue,03820,43.1933478,-70.8742388
7,George Street,03820,43.1918722,-70.8721345
5,George Street,03820,43.1918411,-70.8721524
9,Main Street,03820,43.1956825,-70.8714722
542,Central Avenue,03820,43.2001916,-70.8756539
74,Industrial Park Drive,03820,43.1845724,-70.9053284
1,Washington Street,03820,43.1949095,-70.8707994
23,Indian Brook Drive,03820,43.2134921,-70.9018369
41,First Street,03820,43.1974845,-70.8768891
10,Littleworth Road,03820,43.1839654,-70.8924982
245,Back River Road,03820,43.1798902,-70.8417347
271,Mast Road,03820,43.1685892,-70.8981657
10,Durham Road,03820,43.1789330,-70.8785507
10B,Hidden Valley Drive,03820,43.1498024,-70.8768913
10A,Hidden Valley Drive,03820,43.1498918,-70.8781005
5,Hidden Valley Drive,03820,43.1532471,-70.8746233
11,Hidden Valley Drive,03820,43.1531112,-70.8754540
75,Hidden Valley Drive,03820,43.1493107,-70.8783213
79,Hidden Valley Drive,03820,43.1489708,-70.8775527
86,Hidden Valley Drive,03820,43.1480816,-70.8771645
82,Hidden Valley Drive,03820,43.1482487,-70.8767608
70,Hidden Valley Drive,03820,43.1484497,-70.8750877
66,Hidden Valley Drive,03820,43.1491804,-70.8753944
1,Sumner Drive,03820,43.1794135,-70.9016346
191,Back Road,03820,43.1844076,-70.8449527
83,Washington Street,03820,43.1951533,-70.8748694
40,Chestnut Street,03820,43.1959505,-70.8766183
