House number,Street name,Postal code,Latitude,Longitude
501,Trades Road,88101,34.4025111,-103.1631986
701,North Main Street,88101,34.4051424,-103.2046584
2800,East Mabry Drive,88101,34.3961939,-103.1697296
2904,East Mabry Drive,88101-8373,34.3960103,-103.1680881
2000,North Prince Street,88101,34.4187792,-103.1969701
3501,North Prince Street,88101,34.4342794,-103.1958381
1917,North Prince,88101,34.4170930,-103.1961574
811,East 21st Street,88101,34.4189044,-103.1954312
2120,North Prince Street,88101,34.4202837,-103.1969192
2829,North Prince Street,88101,34.4259999,-103.1961097
1111,East 1st Street,88101,34.3980906,-103.1919244
1101,Mabry Drive,88101,34.3982808,-103.1923241
1101,Mabry Drive,88101,34.3982212,-103.1923793
601,Texas Street,88101,34.4364845,-103.1975363
3608,North Prince Street,88101,34.4351088,-103.1969969
1020,North Main Street,88101,34.4086940,-103.2056112
305,East Llano Estacado Boulevard,88101,34.4334195,-103.2050484
1201,North Thornton Street,88101,34.4101308,-103.2140147
3608,N Prince St,88101,34.4353188,-103.1969842
305,East Llano Estacado Boulevard,88101,34.4334972,-103.2049747
201,West 14th Street,88101,34.4116918,-103.2070201
120,East Grand Avenue,88101,34.4010681,-103.2042319
1300,Colonial Parkway,88101,34.4075053,-103.1827488
1701,C R G,88101,34.5098574,-103.1385955
1208,North Norris Street,88101,34.4094328,-103.1848339
1400,Cameo Street,88101,34.4120043,-103.2250904
1900,Thornton Street,88101,34.4174526,-103.2164404
100,East Plains Avenue,88101,34.4262380,-103.2061422
1113,South Oak Street,88101,34.3841357,-103.1918299
100,Commerce Way,88101,34.4163727,-103.2043602
4801,North Norris Street,88101,34.4475154,-103.1770571
1121,Maple Street,88101,34.4099399,-103.1921100
2801,Lore Street,88101,34.4271877,-103.2246154
1500,Sycamore Street,88101,34.4136003,-103.1895815
2400,North Norris Street,88101,34.4231768,-103.1797001
400,North Davis Street,88101,34.4026058,-103.2179474
206,Alphon Street,88101,34.4001502,-103.2260379
3401,North Thornton Street,88101,34.4329145,-103.2130072
1500,Cameo Street,88101,34.4136879,-103.2239617
2900,Cesar Chavez Drive,88101,34.4108977,-103.2414339
500,West 14th Street,88101,34.4129861,-103.2104851
417,Schepps Boulevard,88101,34.4023926,-103.1653272
2100,North Dr Martin Luther King Jr Boulevard,88101,34.4205815,-103.2336767
820,East 21st Street,88101,34.4203886,-103.1952522
2809,North Prince Street,88101,34.4251272,-103.1939301
3601,North Prince Street,88101,34.4348686,-103.1946679
600,Texas Street,88101,34.4377367,-103.1975591
4000,North Prince Street,88101,34.4386912,-103.1969074
3801,North Prince Street,88101,34.4364189,-103.1958576
3728,North Prince Street,88101,34.4376339,-103.2004894
3916,North Prince Street,88101,34.4381614,-103.1969318
108,North Davis Street,88101,34.3991573,-103.2167311
921,North Merriwether Street,88101,34.4073357,-103.2098405
4305,North Prince Street,88101,34.4413601,-103.1958141
4521,North Prince Street,88101,34.4437600,-103.1956232
414,West 7th Street,88101,34.4052565,-103.2100860
600,West 7th Street,88101,34.4050040,-103.2119675
501,West 7th Street,88101,34.4043625,-103.2108180
313,Sunland Drive,88101,34.4234873,-103.2220026
1720,Mabry Drive,88101,34.3971086,-103.1824229
1632,Arbor Drive,88101,34.4272395,-103.1840644
321,Sunland Drive,88101,34.4236999,-103.2224451
317,Sunland Drive,88101,34.4236185,-103.2222397
309,Sunland Drive,88101,34.4234034,-103.2217998
120,Maple Street,88101,34.3993638,-103.1930789
2809,North Prince Street,88101,34.4240724,-103.1911358
300,North Connelly Street,88101,34.4012427,-103.2082716
520,West 7th Street,88101,34.4049402,-103.2115333
506,West 7th Street,88101,34.4048645,-103.2108731
510,West 7th Street,88101,34.4048703,-103.2109906
516,West 7th Street,88101,34.4048955,-103.2114119
500,West 7th Street,88101,34.4049088,-103.2106788
421,West 7th Street,88101,34.4043933,-103.2100770
105,West Llano Estacado Boulevard,88101,34.4329860,-103.2062339
101,West Llano Estacado Boulevard,88101,34.4331828,-103.2075247
205,East Llano Estacado Boulevard,88101,34.4328014,-103.2051930
1313,West 7th Street,88101,34.4043300,-103.2213880
